optimizer,momentum,mean_accuracy,std_accuracy
AdamCurvature,,0.641747572815534,0.006796116504854344
HeavyBallCurvature,,0.683495145631068,0.001941747572815511
NAGCurvature,,0.683495145631068,0.001941747572815511
AdagradCurvature,,0.6873786407766991,0.0019417475728155664
AdadeltaCurvature,,0.6864077669902913,0.002912621359223322
RMSPropCurvature,,0.6427184466019418,0.013592233009708743
RMSPropMomentumCurvature,,0.6621359223300971,0.0
AdamWCurvature,,0.641747572815534,0.006796116504854344
NAdamCurvature,,0.6330097087378641,0.01941747572815533
NAdamWCurvature,,0.6233009708737864,0.0019417475728155664
AMSGradCurvature,,0.641747572815534,0.006796116504854344
