Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,2623.63671875,2930.15625,42.67236328125,101.5947265625,46.0,234.0
SimpleSGD,2,2931.234375,2931.72265625,58.92236328125,101.5947265625,174.0,220.0
SimpleSGDCurvature,1,2931.54296875,2936.75390625,58.92236328125,101.5947265625,130.0,310.0
SimpleSGDCurvature,2,2936.765625,2937.546875,58.92236328125,101.5947265625,174.0,310.0
Adam,1,2934.40234375,2938.77734375,58.92236328125,186.939453125,130.0,266.0
Adam,2,2936.828125,2938.5625,58.92236328125,186.939453125,264.0,266.0
AdamCurvature,1,2935.13671875,2938.5546875,58.92236328125,186.939453125,220.0,530.0
AdamCurvature,2,2938.79296875,2938.79296875,58.92236328125,186.939453125,264.0,530.0
HeavyBall,1,2935.23828125,2938.80078125,58.92236328125,144.26708984375,220.0,266.0
HeavyBall,2,2938.81640625,2938.81640625,58.92236328125,144.26708984375,218.0,266.0
HeavyBallCurvature,1,2935.46484375,2938.62890625,58.92236328125,144.26708984375,174.0,486.0
HeavyBallCurvature,2,2938.87890625,2939.6484375,58.92236328125,144.26708984375,220.0,486.0
NAG,1,2935.61328125,2938.62109375,58.92236328125,144.26708984375,176.0,220.0
NAG,2,2938.8671875,2939.63671875,58.92236328125,144.26708984375,218.0,222.0
NAGCurvature,1,2938.03515625,2938.8046875,58.92236328125,144.26708984375,174.0,442.0
NAGCurvature,2,2939.0234375,2939.79296875,58.92236328125,144.26708984375,220.0,442.0
Adagrad,1,2940.00390625,2940.00390625,58.92236328125,144.26708984375,176.0,220.0
Adagrad,2,2940.00390625,2940.00390625,58.92236328125,144.26708984375,218.0,220.0
AdagradCurvature,1,2940.00390625,2940.00390625,58.92236328125,144.26708984375,174.0,442.0
AdagradCurvature,2,2940.00390625,2940.00390625,58.92236328125,144.26708984375,220.0,442.0
Adadelta,1,2940.00390625,2940.00390625,58.92236328125,186.939453125,176.0,310.0
Adadelta,2,2940.00390625,2940.00390625,58.92236328125,186.939453125,264.0,310.0
AdadeltaCurvature,1,2940.00390625,2940.00390625,58.92236328125,186.939453125,220.0,574.0
AdadeltaCurvature,2,2940.00390625,2940.00390625,58.92236328125,186.939453125,264.0,574.0
RMSProp,1,2940.00390625,2940.00390625,58.92236328125,144.26708984375,220.0,220.0
RMSProp,2,2940.00390625,2940.00390625,58.92236328125,144.26708984375,218.0,222.0
RMSPropCurvature,1,2940.00390625,2940.00390625,58.92236328125,144.26708984375,174.0,442.0
RMSPropCurvature,2,2940.00390625,2940.00390625,58.92236328125,144.26708984375,220.0,442.0
RMSPropMomentum,1,2940.00390625,2940.00390625,58.92236328125,186.939453125,174.0,266.0
RMSPropMomentum,2,2940.00390625,2940.00390625,58.92236328125,186.939453125,264.0,266.0
RMSPropMomentumCurvature,1,2940.00390625,2940.00390625,58.92236328125,186.939453125,220.0,530.0
RMSPropMomentumCurvature,2,2940.00390625,2940.00390625,58.92236328125,186.939453125,264.0,530.0
AdamW,1,2940.00390625,2940.00390625,58.92236328125,186.939453125,220.0,266.0
AdamW,2,2940.00390625,2940.00390625,58.92236328125,186.939453125,264.0,266.0
AdamWCurvature,1,2940.00390625,2940.00390625,58.92236328125,186.939453125,220.0,530.0
AdamWCurvature,2,2940.00390625,2940.00390625,58.92236328125,186.939453125,264.0,530.0
NAdam,1,2940.00390625,2940.00390625,58.92236328125,186.939453125,220.0,266.0
NAdam,2,2940.00390625,2940.00390625,58.92236328125,186.939453125,264.0,266.0
NAdamCurvature,1,2940.00390625,2940.00390625,58.92236328125,186.939453125,220.0,530.0
NAdamCurvature,2,2940.00390625,2940.00390625,58.92236328125,186.939453125,264.0,530.0
NAdamW,1,2940.00390625,2940.00390625,58.92236328125,186.939453125,220.0,266.0
NAdamW,2,2940.00390625,2940.00390625,58.92236328125,186.939453125,264.0,266.0
NAdamWCurvature,1,2940.00390625,2940.00390625,58.92236328125,186.939453125,218.0,530.0
NAdamWCurvature,2,2940.00390625,2940.00390625,58.92236328125,186.939453125,264.0,530.0
AMSGrad,1,2940.00390625,2940.00390625,58.92236328125,229.61181640625,220.0,310.0
AMSGrad,2,2940.1328125,2940.1328125,58.92236328125,229.61181640625,308.0,310.0
AMSGradCurvature,1,2940.1328125,2940.1328125,58.92236328125,229.61181640625,264.0,620.0
AMSGradCurvature,2,2940.1328125,2940.1328125,58.92236328125,229.61181640625,308.0,620.0
