,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,1.381722785504659
1,SimpleSGD,1,2,1.3661651866912843
2,SimpleSGD,1,3,1.355293348948161
3,SimpleSGD,1,4,1.3456744057973227
4,SimpleSGD,1,5,1.3358474401473999
5,SimpleSGD,2,1,1.379726751391093
6,SimpleSGD,2,2,1.3634638850529988
7,SimpleSGD,2,3,1.3519600980758666
8,SimpleSGD,2,4,1.3415349994023642
9,SimpleSGD,2,5,1.3305583139419557
10,SimpleSGDCurvature,1,1,1.1757153882662454
11,SimpleSGDCurvature,1,2,0.9818978848139445
12,SimpleSGDCurvature,1,3,0.9065260930379232
13,SimpleSGDCurvature,1,4,0.8403686443010966
14,SimpleSGDCurvature,1,5,0.7845230127652486
15,SimpleSGDCurvature,2,1,1.1691596754074096
16,SimpleSGDCurvature,2,2,0.9644570050239563
17,SimpleSGDCurvature,2,3,0.898909087562561
18,SimpleSGDCurvature,2,4,0.8434767329216003
19,SimpleSGDCurvature,2,5,0.792673511838913
20,Adam,1,1,0.9148513492743174
21,Adam,1,2,0.5853163233836491
22,Adam,1,3,0.5297070682446162
23,Adam,1,4,0.3999854792435964
24,Adam,1,5,0.33862683316469194
25,Adam,2,1,1.101528399880727
26,Adam,2,2,0.8373812224388123
27,Adam,2,3,0.6474200527350108
28,Adam,2,4,0.5973223442872365
29,Adam,2,5,0.5062782729466756
30,AdamCurvature,1,1,0.9986658840497334
31,AdamCurvature,1,2,0.6487185260454814
32,AdamCurvature,1,3,0.535767839940389
33,AdamCurvature,1,4,0.4579364446163178
34,AdamCurvature,1,5,0.3976931288043658
35,AdamCurvature,2,1,0.9586268667697907
36,AdamCurvature,2,2,0.6375657606760661
37,AdamCurvature,2,3,0.5002290527979533
38,AdamCurvature,2,4,0.42523808155059817
39,AdamCurvature,2,5,0.36508900515238446
40,HeavyBall,1,1,1.2918457719484966
41,HeavyBall,1,2,1.1181950293858847
42,HeavyBall,1,3,0.8988081775665283
43,HeavyBall,1,4,0.6954761659781138
44,HeavyBall,1,5,0.5764914143403371
45,HeavyBall,2,1,1.3061070757865905
46,HeavyBall,2,2,1.1028916628837586
47,HeavyBall,2,3,0.8882335660775502
48,HeavyBall,2,4,0.6962612477143606
49,HeavyBall,2,5,0.5774768473148346
50,HeavyBallCurvature,1,1,1.1160104033152263
51,HeavyBallCurvature,1,2,0.7952460616270701
52,HeavyBallCurvature,1,3,0.7090249625047048
53,HeavyBallCurvature,1,4,0.651772276687622
54,HeavyBallCurvature,1,5,0.604040245103836
55,HeavyBallCurvature,2,1,1.0987034483273823
56,HeavyBallCurvature,2,2,0.7943726718902588
57,HeavyBallCurvature,2,3,0.7053010356585184
58,HeavyBallCurvature,2,4,0.649303190612793
59,HeavyBallCurvature,2,5,0.6009880214532216
60,NAG,1,1,1.3020306986808776
61,NAG,1,2,1.109628564421336
62,NAG,1,3,0.9075896599769592
63,NAG,1,4,0.7055593834241232
64,NAG,1,5,0.5921253392219543
65,NAG,2,1,1.2901364593187967
66,NAG,2,2,1.0730783276875815
67,NAG,2,3,0.888995884958903
68,NAG,2,4,0.6983047688325246
69,NAG,2,5,0.5901370385169983
70,NAGCurvature,1,1,1.0960264342943826
71,NAGCurvature,1,2,0.8290838453133901
72,NAGCurvature,1,3,0.7420045049349467
73,NAGCurvature,1,4,0.6856355677127838
74,NAGCurvature,1,5,0.634179595899582
75,NAGCurvature,2,1,1.1068692196528116
76,NAGCurvature,2,2,0.8030907100041708
77,NAGCurvature,2,3,0.7065749741236369
78,NAGCurvature,2,4,0.6464675739924113
79,NAGCurvature,2,5,0.6008176843802134
80,Adagrad,1,1,1.235197049109141
81,Adagrad,1,2,1.1383930355389913
82,Adagrad,1,3,1.12243020251592
83,Adagrad,1,4,1.1103686776161195
84,Adagrad,1,5,1.0972540699958802
85,Adagrad,2,1,1.241994118754069
86,Adagrad,2,2,1.1451882983843487
87,Adagrad,2,3,1.110465432802836
88,Adagrad,2,4,1.0975292624791464
89,Adagrad,2,5,1.08623679300944
90,AdagradCurvature,1,1,1.184885711034139
91,AdagradCurvature,1,2,1.052631733640035
92,AdagradCurvature,1,3,0.9610254872639974
93,AdagradCurvature,1,4,0.9054834365844726
94,AdagradCurvature,1,5,0.8603913624127706
95,AdagradCurvature,2,1,1.1791013496081035
96,AdagradCurvature,2,2,1.022866147104899
97,AdagradCurvature,2,3,0.932119666226705
98,AdagradCurvature,2,4,0.8816964272499085
99,AdagradCurvature,2,5,0.8441238789876302
100,Adadelta,1,1,1.38372434647878
101,Adadelta,1,2,1.3720664699554443
102,Adadelta,1,3,1.3630428499221803
103,Adadelta,1,4,1.3551145190556844
104,Adadelta,1,5,1.3474019816716511
105,Adadelta,2,1,1.3892430169423422
106,Adadelta,2,2,1.376950436782837
107,Adadelta,2,3,1.3682053975423176
108,Adadelta,2,4,1.360914218266805
109,Adadelta,2,5,1.354306756401062
110,AdadeltaCurvature,1,1,1.379510125796
111,AdadeltaCurvature,1,2,1.3554746622085572
112,AdadeltaCurvature,1,3,1.3350511806488037
113,AdadeltaCurvature,1,4,1.2642622357050577
114,AdadeltaCurvature,1,5,1.207353191057841
115,AdadeltaCurvature,2,1,1.377160119819641
116,AdadeltaCurvature,2,2,1.3563951299031576
117,AdadeltaCurvature,2,3,1.339151931889852
118,AdadeltaCurvature,2,4,1.304974819501241
119,AdadeltaCurvature,2,5,1.219873996734619
