,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,1.6057413945019041
1,SimpleSGD,1,2,1.5969591416596554
2,SimpleSGD,1,3,1.5945205379264753
3,SimpleSGD,1,4,1.5926682324946537
4,SimpleSGD,1,5,1.5910691041588376
5,SimpleSGD,2,1,1.6032994413538597
6,SimpleSGD,2,2,1.5962362217821766
7,SimpleSGD,2,3,1.5937484066640966
8,SimpleSGD,2,4,1.5917070178855401
9,SimpleSGD,2,5,1.5898811843208078
10,SimpleSGDCurvature,1,1,1.5209561520469066
11,SimpleSGDCurvature,1,2,1.4601925395047706
12,SimpleSGDCurvature,1,3,1.4490707271335068
13,SimpleSGDCurvature,1,4,1.4394082894504274
14,SimpleSGDCurvature,1,5,1.429617189303193
15,SimpleSGDCurvature,2,1,1.5279386321839212
16,SimpleSGDCurvature,2,2,1.4668523424721416
17,SimpleSGDCurvature,2,3,1.4550776459658106
18,SimpleSGDCurvature,2,4,1.4472720125022602
19,SimpleSGDCurvature,2,5,1.4397294743476061
20,Adam,1,1,1.5127556372014328
21,Adam,1,2,1.532881841724643
22,Adam,1,3,1.518651632237353
23,Adam,1,4,1.4903453463173564
24,Adam,1,5,1.460035731686667
