Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,4688.57421875,5006.7734375,152.93994140625,322.1298828125,156.0,6786.0
SimpleSGD,2,5008.09375,5008.09375,169.18994140625,322.1298828125,546.0,6866.0
SimpleSGDCurvature,1,4994.390625,5016.53515625,169.18994140625,322.1298828125,392.0,7380.0
SimpleSGDCurvature,2,5016.6796875,5016.6796875,169.18994140625,322.1298828125,578.0,6900.0
Adam,1,5016.81640625,5017.7734375,169.18994140625,628.009765625,424.0,7200.0
Adam,2,5017.81640625,5017.81640625,169.18994140625,628.009765625,962.0,6898.0
AdamCurvature,1,5017.5703125,5017.5703125,169.18994140625,628.009765625,774.0,7754.0
AdamCurvature,2,5017.828125,5017.828125,169.18994140625,628.009765625,930.0,7972.0
HeavyBall,1,5017.5703125,5017.5703125,169.18994140625,475.06982421875,962.0,6896.0
HeavyBall,2,5017.83203125,5017.83203125,169.18994140625,475.06982421875,772.0,6894.0
HeavyBallCurvature,1,5017.5859375,5019.12890625,169.18994140625,475.06982421875,804.0,7270.0
HeavyBallCurvature,2,5020.18359375,5020.18359375,169.18994140625,475.06982421875,796.0,7324.0
NAG,1,5019.9296875,5020.18359375,169.18994140625,475.06982421875,806.0,6734.0
