|Peak CPU Memory (MB)|Peak CPU Memory (MB)|Peak GPU Memory Allocated (MB)|Peak GPU Memory Allocated (MB)|Peak GPU Memory Reserved (MB)|Peak GPU Memory Reserved (MB)
|mean|std|mean|std|mean|std
Optimizer Name||||||
Adadelta|5020.15|0.22|628.01|0.0|6914.0|22.63
AdadeltaCurvature|5020.18|0.19|628.01|0.0|7863.0|154.15
Adagrad|5020.09|0.18|475.07|0.0|7302.0|22.63
AdagradCurvature|5020.1|0.17|475.07|0.0|7436.0|0.0
Adam|5017.79|0.03|628.01|0.0|7049.0|213.55
AdamCurvature|5017.7|0.18|628.01|0.0|7863.0|154.15
HeavyBall|5017.7|0.19|475.07|0.0|6895.0|1.41
HeavyBallCurvature|5019.66|0.75|475.07|0.0|7297.0|38.18
NAG|5020.19|0.01|475.07|0.0|7010.0|390.32
NAGCurvature|5020.09|0.17|475.07|0.0|7436.0|0.0
RMSProp|5020.2|0.19|475.07|0.0|6784.0|115.97
RMSPropCurvature|5020.32|0.02|475.07|0.0|7359.0|108.89
RMSPropMomentum|5020.19|0.19|628.01|0.0|6914.0|22.63
RMSPropMomentumCurvature|5020.2|0.18|628.01|0.0|7863.0|154.15
SimpleSGD|5007.43|0.93|322.13|0.0|6826.0|56.57
SimpleSGDCurvature|5016.61|0.1|322.13|0.0|7140.0|339.41
