,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,0.6883160932343432
1,SimpleSGD,1,2,0.6824890394463067
2,SimpleSGD,1,3,0.6793212731950519
3,SimpleSGD,1,4,0.6766401938543114
4,SimpleSGD,1,5,0.6740266495936289
5,SimpleSGD,1,6,0.6711840905562738
6,SimpleSGD,1,7,0.6677549291525007
7,SimpleSGD,1,8,0.6630635951498398
8,SimpleSGD,1,9,0.6548997980539303
9,SimpleSGD,1,10,0.6167301268436531
10,SimpleSGD,2,1,0.68863197157543
11,SimpleSGD,2,2,0.6822251723962703
12,SimpleSGD,2,3,0.6786669660211287
13,SimpleSGD,2,4,0.6756393994216354
14,SimpleSGD,2,5,0.6727080382788141
15,SimpleSGD,2,6,0.6695619909022855
16,SimpleSGD,2,7,0.6657845563720381
17,SimpleSGD,2,8,0.660448963562105
18,SimpleSGD,2,9,0.6492993243386178
19,SimpleSGD,2,10,0.6003322830175783
20,SimpleSGDCurvature,1,1,0.564288993235741
21,SimpleSGDCurvature,1,2,0.5289262532001198
22,SimpleSGDCurvature,1,3,0.5162800204123247
23,SimpleSGDCurvature,1,4,0.503085536575019
24,SimpleSGDCurvature,1,5,0.4877435236457265
25,SimpleSGDCurvature,1,6,0.47464134322905294
26,SimpleSGDCurvature,1,7,0.46181297607389327
27,SimpleSGDCurvature,1,8,0.45025334811522555
28,SimpleSGDCurvature,1,9,0.4399985420995469
29,SimpleSGDCurvature,1,10,0.43139964022564536
30,SimpleSGDCurvature,2,1,0.5648867787964922
31,SimpleSGDCurvature,2,2,0.5266190943084614
32,SimpleSGDCurvature,2,3,0.5155533654392783
33,SimpleSGDCurvature,2,4,0.5029568745414552
34,SimpleSGDCurvature,2,5,0.4905022914702575
35,SimpleSGDCurvature,2,6,0.47880579037877885
36,SimpleSGDCurvature,2,7,0.4668371765042599
37,SimpleSGDCurvature,2,8,0.4545013384895656
38,SimpleSGDCurvature,2,9,0.44426169679569033
39,SimpleSGDCurvature,2,10,0.43549314758340923
40,Adam,1,1,0.6334582505847272
41,Adam,1,2,0.5438347242357245
42,Adam,1,3,0.5473168927824402
43,Adam,1,4,0.6158485895741108
44,Adam,1,5,0.5875811261528588
45,Adam,1,6,0.5628562268204521
46,Adam,1,7,0.5103198603321125
47,Adam,1,8,0.4960719580604219
48,Adam,1,9,0.526278273101824
49,Adam,1,10,0.5354443392859384
50,Adam,2,1,0.5857593476162022
51,Adam,2,2,0.58166748514151
52,Adam,2,3,0.5412162262967558
53,Adam,2,4,0.5297596976923861
54,Adam,2,5,0.4994535657902491
55,Adam,2,6,0.4679182581052574
56,Adam,2,7,0.4710801680475914
57,Adam,2,8,0.4715317406006098
58,Adam,2,9,0.44228461483097187
59,Adam,2,10,0.4692271135162575
60,AdamCurvature,1,1,0.4420201587866869
61,AdamCurvature,1,2,0.3211227109543428
62,AdamCurvature,1,3,0.3087279076292789
63,AdamCurvature,1,4,0.2908217603249626
64,AdamCurvature,1,5,0.28029945239306037
65,AdamCurvature,1,6,0.25969754966384856
66,AdamCurvature,1,7,0.24051810478933572
67,AdamCurvature,1,8,0.23771444063917632
68,AdamCurvature,1,9,0.23944134399108377
69,AdamCurvature,1,10,0.23944250979080406
70,AdamCurvature,2,1,0.44858898683551773
71,AdamCurvature,2,2,0.3435005444664597
72,AdamCurvature,2,3,0.28438267555931185
73,AdamCurvature,2,4,0.3320830425033526
74,AdamCurvature,2,5,0.3608884316136948
75,AdamCurvature,2,6,0.29356103682036555
76,AdamCurvature,2,7,0.3781492750884052
77,AdamCurvature,2,8,0.35719276829045243
78,AdamCurvature,2,9,0.3217174292831291
79,AdamCurvature,2,10,0.3497322254111742
80,HeavyBall,1,1,0.6751588231738788
81,HeavyBall,1,2,0.5783133405060491
82,HeavyBall,1,3,0.462438481846089
83,HeavyBall,1,4,0.43032364369252435
84,HeavyBall,1,5,0.35272409325302395
85,HeavyBall,1,6,0.32655964293374135
86,HeavyBall,1,7,0.3068902516934652
87,HeavyBall,1,8,0.29500974350279374
88,HeavyBall,1,9,0.28296281132885215
89,HeavyBall,1,10,0.2713825616888083
90,HeavyBall,2,1,0.6456789353669571
91,HeavyBall,2,2,0.5254312607717189
92,HeavyBall,2,3,0.43858164647197834
93,HeavyBall,2,4,0.378088109559709
94,HeavyBall,2,5,0.3407492906838418
95,HeavyBall,2,6,0.31912989259206936
96,HeavyBall,2,7,0.29967508031917783
97,HeavyBall,2,8,0.2854754973342801
98,HeavyBall,2,9,0.27466987223450234
99,HeavyBall,2,10,0.2671065567415186
100,HeavyBallCurvature,1,1,0.5544932135237769
101,HeavyBallCurvature,1,2,0.5275998953835821
102,HeavyBallCurvature,1,3,0.5136155827358722
103,HeavyBallCurvature,1,4,0.5008515376211976
104,HeavyBallCurvature,1,5,0.4832431323088884
105,HeavyBallCurvature,1,6,0.4678589558235208
106,HeavyBallCurvature,1,7,0.4530416575342044
107,HeavyBallCurvature,1,8,0.44038192290427064
108,HeavyBallCurvature,1,9,0.4271767629952561
109,HeavyBallCurvature,1,10,0.4154916120199349
110,HeavyBallCurvature,2,1,0.5577343003029709
111,HeavyBallCurvature,2,2,0.5311157273995321
112,HeavyBallCurvature,2,3,0.5145968393050769
113,HeavyBallCurvature,2,4,0.5023519355757109
114,HeavyBallCurvature,2,5,0.4872692239399792
115,HeavyBallCurvature,2,6,0.472254620765392
116,HeavyBallCurvature,2,7,0.46139057579877296
117,HeavyBallCurvature,2,8,0.4527577082282176
118,HeavyBallCurvature,2,9,0.4402870342084572
119,HeavyBallCurvature,2,10,0.4292878127986389
120,NAG,1,1,0.6603812876414927
121,NAG,1,2,0.5524376624680216
122,NAG,1,3,0.4830908521891183
123,NAG,1,4,0.38896834233243854
124,NAG,1,5,0.3464851004831213
125,NAG,1,6,0.31959045204557524
126,NAG,1,7,0.2997288180174003
127,NAG,1,8,0.2872465864942749
128,NAG,1,9,0.2761210668598968
129,NAG,1,10,0.2662818870073835
