|Optimizer Name|Running loop number|Epoch number|Average Training Loss
0|SimpleSGD|1|1|4.3738
1|SimpleSGD|1|2|4.1425
2|SimpleSGD|1|3|4.0457
3|SimpleSGD|1|4|3.9662
4|SimpleSGD|1|5|3.9022
5|SimpleSGD|1|6|3.8434
6|SimpleSGD|1|7|3.7865
7|SimpleSGD|1|8|3.743
8|SimpleSGD|1|9|3.7036
9|SimpleSGD|1|10|3.6728
10|SimpleSGD|2|1|4.4477
11|SimpleSGD|2|2|4.1519
12|SimpleSGD|2|3|4.0341
13|SimpleSGD|2|4|3.9618
14|SimpleSGD|2|5|3.903
15|SimpleSGD|2|6|3.8469
16|SimpleSGD|2|7|3.7963
17|SimpleSGD|2|8|3.7465
18|SimpleSGD|2|9|3.7128
19|SimpleSGD|2|10|3.6754
20|SimpleSGD|3|1|4.4153
21|SimpleSGD|3|2|4.1422
22|SimpleSGD|3|3|4.0407
23|SimpleSGD|3|4|3.9638
24|SimpleSGD|3|5|3.8977
25|SimpleSGD|3|6|3.84
26|SimpleSGD|3|7|3.7885
27|SimpleSGD|3|8|3.7487
28|SimpleSGD|3|9|3.7063
29|SimpleSGD|3|10|3.6743
30|SimpleSGD|4|1|4.4486
31|SimpleSGD|4|2|4.1765
32|SimpleSGD|4|3|4.0605
33|SimpleSGD|4|4|3.9792
34|SimpleSGD|4|5|3.9131
35|SimpleSGD|4|6|3.8503
36|SimpleSGD|4|7|3.7944
37|SimpleSGD|4|8|3.7466
38|SimpleSGD|4|9|3.7058
39|SimpleSGD|4|10|3.6708
40|SimpleSGDCurvature|1|1|3.739
41|SimpleSGDCurvature|1|2|2.7229
42|SimpleSGDCurvature|1|3|2.278
43|SimpleSGDCurvature|1|4|1.902
44|SimpleSGDCurvature|1|5|1.6306
45|SimpleSGDCurvature|1|6|1.3422
46|SimpleSGDCurvature|1|7|1.0691
47|SimpleSGDCurvature|1|8|0.8382
48|SimpleSGDCurvature|1|9|0.6074
49|SimpleSGDCurvature|1|10|0.3979
50|SimpleSGDCurvature|2|1|3.7512
51|SimpleSGDCurvature|2|2|2.7804
52|SimpleSGDCurvature|2|3|2.3017
53|SimpleSGDCurvature|2|4|1.9561
54|SimpleSGDCurvature|2|5|1.6268
55|SimpleSGDCurvature|2|6|1.366
56|SimpleSGDCurvature|2|7|1.0917
57|SimpleSGDCurvature|2|8|0.8297
58|SimpleSGDCurvature|2|9|0.6167
59|SimpleSGDCurvature|2|10|0.4096
60|SimpleSGDCurvature|3|1|3.6566
61|SimpleSGDCurvature|3|2|2.7561
62|SimpleSGDCurvature|3|3|2.2838
63|SimpleSGDCurvature|3|4|1.9275
64|SimpleSGDCurvature|3|5|1.581
65|SimpleSGDCurvature|3|6|1.2827
66|SimpleSGDCurvature|3|7|1.0008
67|SimpleSGDCurvature|3|8|0.7568
68|SimpleSGDCurvature|3|9|0.511
69|SimpleSGDCurvature|3|10|0.3176
70|SimpleSGDCurvature|4|1|3.6795
71|SimpleSGDCurvature|4|2|2.7701
72|SimpleSGDCurvature|4|3|2.3205
73|SimpleSGDCurvature|4|4|1.966
74|SimpleSGDCurvature|4|5|1.6437
75|SimpleSGDCurvature|4|6|1.3471
76|SimpleSGDCurvature|4|7|1.0912
77|SimpleSGDCurvature|4|8|0.851
78|SimpleSGDCurvature|4|9|0.605
79|SimpleSGDCurvature|4|10|0.3757
80|Adam|1|1|3.1572
81|Adam|1|2|2.2532
82|Adam|1|3|1.735
83|Adam|1|4|1.328
84|Adam|1|5|1.0056
85|Adam|1|6|0.7389
86|Adam|1|7|0.5256
87|Adam|1|8|0.3412
88|Adam|1|9|0.1991
89|Adam|1|10|0.0884
90|Adam|2|1|3.2964
91|Adam|2|2|2.4077
92|Adam|2|3|1.86
93|Adam|2|4|1.4366
94|Adam|2|5|1.1167
95|Adam|2|6|0.8382
96|Adam|2|7|0.6186
97|Adam|2|8|0.4278
98|Adam|2|9|0.2698
99|Adam|2|10|0.1363
100|Adam|3|1|3.1788
101|Adam|3|2|2.2498
102|Adam|3|3|1.7089
103|Adam|3|4|1.3624
104|Adam|3|5|1.0072
105|Adam|3|6|0.7714
106|Adam|3|7|0.557
107|Adam|3|8|0.369
108|Adam|3|9|0.2146
109|Adam|3|10|0.1073
110|Adam|4|1|3.2337
111|Adam|4|2|2.3348
112|Adam|4|3|1.7799
113|Adam|4|4|1.3506
114|Adam|4|5|1.0456
115|Adam|4|6|0.7836
116|Adam|4|7|0.5684
117|Adam|4|8|0.3902
118|Adam|4|9|0.233
119|Adam|4|10|0.11
120|HeavyBall|1|1|4.048
121|HeavyBall|1|2|3.6341
122|HeavyBall|1|3|3.41
123|HeavyBall|1|4|3.1835
124|HeavyBall|1|5|3.0004
125|HeavyBall|1|6|2.8503
126|HeavyBall|1|7|2.7166
127|HeavyBall|1|8|2.6039
128|HeavyBall|1|9|2.4864
129|HeavyBall|1|10|2.3989
130|HeavyBall|2|1|4.0697
131|HeavyBall|2|2|3.6416
132|HeavyBall|2|3|3.3963
133|HeavyBall|2|4|3.1747
134|HeavyBall|2|5|2.994
135|HeavyBall|2|6|2.8339
136|HeavyBall|2|7|2.6943
137|HeavyBall|2|8|2.5563
138|HeavyBall|2|9|2.4617
139|HeavyBall|2|10|2.3719
140|HeavyBall|3|1|4.0531
141|HeavyBall|3|2|3.6259
142|HeavyBall|3|3|3.3902
143|HeavyBall|3|4|3.1791
144|HeavyBall|3|5|3.0144
145|HeavyBall|3|6|2.8671
146|HeavyBall|3|7|2.7419
147|HeavyBall|3|8|2.6238
148|HeavyBall|3|9|2.5137
149|HeavyBall|3|10|2.4238
150|HeavyBall|4|1|4.0552
151|HeavyBall|4|2|3.6201
152|HeavyBall|4|3|3.3972
153|HeavyBall|4|4|3.1761
154|HeavyBall|4|5|2.9884
155|HeavyBall|4|6|2.8247
156|HeavyBall|4|7|2.681
157|HeavyBall|4|8|2.5715
158|HeavyBall|4|9|2.4671
159|HeavyBall|4|10|2.382
160|HeavyBallCurvature|1|1|3.8686
161|HeavyBallCurvature|1|2|2.817
162|HeavyBallCurvature|1|3|2.2991
163|HeavyBallCurvature|1|4|1.8551
164|HeavyBallCurvature|1|5|1.4828
165|HeavyBallCurvature|1|6|1.1308
166|HeavyBallCurvature|1|7|0.8389
167|HeavyBallCurvature|1|8|0.5715
168|HeavyBallCurvature|1|9|0.3451
169|HeavyBallCurvature|1|10|0.1344
170|HeavyBallCurvature|2|1|3.5888
171|HeavyBallCurvature|2|2|2.5484
172|HeavyBallCurvature|2|3|2.0044
173|HeavyBallCurvature|2|4|1.5856
174|HeavyBallCurvature|2|5|1.2083
175|HeavyBallCurvature|2|6|0.8959
176|HeavyBallCurvature|2|7|0.609
177|HeavyBallCurvature|2|8|0.3467
178|HeavyBallCurvature|2|9|0.1528
179|HeavyBallCurvature|2|10|0.0431
180|HeavyBallCurvature|3|1|3.5473
181|HeavyBallCurvature|3|2|2.5855
182|HeavyBallCurvature|3|3|2.0513
183|HeavyBallCurvature|3|4|1.5965
184|HeavyBallCurvature|3|5|1.1933
185|HeavyBallCurvature|3|6|0.9076
186|HeavyBallCurvature|3|7|0.5973
187|HeavyBallCurvature|3|8|0.3467
188|HeavyBallCurvature|3|9|0.1501
189|HeavyBallCurvature|3|10|0.0465
190|HeavyBallCurvature|4|1|3.6166
191|HeavyBallCurvature|4|2|2.5438
192|HeavyBallCurvature|4|3|1.9983
193|HeavyBallCurvature|4|4|1.5543
194|HeavyBallCurvature|4|5|1.1554
195|HeavyBallCurvature|4|6|0.8584
196|HeavyBallCurvature|4|7|0.5711
197|HeavyBallCurvature|4|8|0.3139
198|HeavyBallCurvature|4|9|0.1081
199|HeavyBallCurvature|4|10|0.0309
200|NAG|1|1|4.047
201|NAG|1|2|3.6285
202|NAG|1|3|3.4108
203|NAG|1|4|3.2093
204|NAG|1|5|3.036
205|NAG|1|6|2.8866
206|NAG|1|7|2.7559
207|NAG|1|8|2.6345
208|NAG|1|9|2.5059
209|NAG|1|10|2.4098
210|NAG|2|1|4.0488
211|NAG|2|2|3.6247
212|NAG|2|3|3.4122
213|NAG|2|4|3.2004
214|NAG|2|5|3.0228
215|NAG|2|6|2.8672
216|NAG|2|7|2.7347
217|NAG|2|8|2.592
218|NAG|2|9|2.4885
219|NAG|2|10|2.3888
220|NAG|3|1|4.0436
221|NAG|3|2|3.6252
222|NAG|3|3|3.414
223|NAG|3|4|3.193
224|NAG|3|5|3.0148
225|NAG|3|6|2.8563
226|NAG|3|7|2.7276
227|NAG|3|8|2.6132
228|NAG|3|9|2.5092
229|NAG|3|10|2.4254
230|NAG|4|1|4.0605
231|NAG|4|2|3.6264
232|NAG|4|3|3.3993
233|NAG|4|4|3.1713
234|NAG|4|5|2.9869
235|NAG|4|6|2.829
236|NAG|4|7|2.6893
237|NAG|4|8|2.5868
238|NAG|4|9|2.4818
239|NAG|4|10|2.3951
240|NAGCurvature|1|1|3.8798
241|NAGCurvature|1|2|2.8498
242|NAGCurvature|1|3|2.3152
243|NAGCurvature|1|4|1.8893
244|NAGCurvature|1|5|1.5617
245|NAGCurvature|1|6|1.2423
246|NAGCurvature|1|7|0.9612
247|NAGCurvature|1|8|0.7037
248|NAGCurvature|1|9|0.4737
249|NAGCurvature|1|10|0.2392
250|NAGCurvature|2|1|3.6049
251|NAGCurvature|2|2|2.5881
252|NAGCurvature|2|3|2.0224
253|NAGCurvature|2|4|1.5841
254|NAGCurvature|2|5|1.1931
255|NAGCurvature|2|6|0.8806
256|NAGCurvature|2|7|0.5792
257|NAGCurvature|2|8|0.335
258|NAGCurvature|2|9|0.1372
259|NAGCurvature|2|10|0.0428
260|NAGCurvature|3|1|3.6045
261|NAGCurvature|3|2|2.5918
262|NAGCurvature|3|3|2.0128
263|NAGCurvature|3|4|1.5534
264|NAGCurvature|3|5|1.1451
265|NAGCurvature|3|6|0.854
266|NAGCurvature|3|7|0.5522
267|NAGCurvature|3|8|0.2956
268|NAGCurvature|3|9|0.1124
269|NAGCurvature|3|10|0.0331
270|NAGCurvature|4|1|3.5845
271|NAGCurvature|4|2|2.5525
272|NAGCurvature|4|3|2.022
273|NAGCurvature|4|4|1.5712
274|NAGCurvature|4|5|1.1863
275|NAGCurvature|4|6|0.8784
276|NAGCurvature|4|7|0.6005
277|NAGCurvature|4|8|0.331
278|NAGCurvature|4|9|0.1284
279|NAGCurvature|4|10|0.0389
280|Adagrad|1|1|3.7485
281|Adagrad|1|2|2.8786
282|Adagrad|1|3|2.4051
283|Adagrad|1|4|1.9663
284|Adagrad|1|5|1.6168
285|Adagrad|1|6|1.311
286|Adagrad|1|7|1.0448
287|Adagrad|1|8|0.8342
288|Adagrad|1|9|0.6445
289|Adagrad|1|10|0.4765
290|Adagrad|2|1|3.7562
291|Adagrad|2|2|2.9186
292|Adagrad|2|3|2.3866
293|Adagrad|2|4|1.9737
294|Adagrad|2|5|1.6299
295|Adagrad|2|6|1.3532
296|Adagrad|2|7|1.1094
297|Adagrad|2|8|0.8878
298|Adagrad|2|9|0.7041
299|Adagrad|2|10|0.5443
300|Adagrad|3|1|3.7176
301|Adagrad|3|2|2.8674
302|Adagrad|3|3|2.3725
303|Adagrad|3|4|1.9733
304|Adagrad|3|5|1.6312
305|Adagrad|3|6|1.3625
306|Adagrad|3|7|1.1162
307|Adagrad|3|8|0.9142
308|Adagrad|3|9|0.7283
309|Adagrad|3|10|0.5611
310|Adagrad|4|1|3.76
311|Adagrad|4|2|2.9792
312|Adagrad|4|3|2.4688
313|Adagrad|4|4|2.0832
314|Adagrad|4|5|1.7601
315|Adagrad|4|6|1.4974
316|Adagrad|4|7|1.2658
317|Adagrad|4|8|1.0619
318|Adagrad|4|9|0.8766
319|Adagrad|4|10|0.7206
320|RMSProp|1|1|4.267
321|RMSProp|1|2|3.2957
322|RMSProp|1|3|2.7254
323|RMSProp|1|4|2.1998
324|RMSProp|1|5|1.7403
325|RMSProp|1|6|1.3498
326|RMSProp|1|7|1.0381
327|RMSProp|1|8|0.7827
328|RMSProp|1|9|0.5687
329|RMSProp|1|10|0.3984
330|RMSProp|2|1|4.3115
331|RMSProp|2|2|3.2837
332|RMSProp|2|3|2.699
333|RMSProp|2|4|2.2066
334|RMSProp|2|5|1.7502
335|RMSProp|2|6|1.3838
336|RMSProp|2|7|1.0649
337|RMSProp|2|8|0.81
338|RMSProp|2|9|0.6046
339|RMSProp|2|10|0.4277
340|RMSProp|3|1|4.2587
341|RMSProp|3|2|3.2745
342|RMSProp|3|3|2.739
343|RMSProp|3|4|2.2735
344|RMSProp|3|5|1.8669
345|RMSProp|3|6|1.4812
346|RMSProp|3|7|1.1399
347|RMSProp|3|8|0.881
348|RMSProp|3|9|0.6417
349|RMSProp|3|10|0.4612
350|RMSProp|4|1|4.358
351|RMSProp|4|2|3.3536
352|RMSProp|4|3|2.7425
353|RMSProp|4|4|2.2228
354|RMSProp|4|5|1.7541
355|RMSProp|4|6|1.368
356|RMSProp|4|7|1.0765
357|RMSProp|4|8|0.809
358|RMSProp|4|9|0.5857
359|RMSProp|4|10|0.4025
360|RMSPropMomentum|1|1|4.3059
361|RMSPropMomentum|1|2|3.5561
362|RMSPropMomentum|1|3|2.8776
363|RMSPropMomentum|1|4|2.1978
364|RMSPropMomentum|1|5|1.7306
365|RMSPropMomentum|1|6|1.3419
366|RMSPropMomentum|1|7|1.019
367|RMSPropMomentum|1|8|0.7652
368|RMSPropMomentum|1|9|0.539
369|RMSPropMomentum|1|10|0.3786
370|RMSPropMomentum|2|1|4.3125
371|RMSPropMomentum|2|2|3.3955
372|RMSPropMomentum|2|3|2.7803
373|RMSPropMomentum|2|4|2.2259
374|RMSPropMomentum|2|5|1.7682
375|RMSPropMomentum|2|6|1.3888
376|RMSPropMomentum|2|7|1.0778
377|RMSPropMomentum|2|8|0.7996
378|RMSPropMomentum|2|9|0.5806
379|RMSPropMomentum|2|10|0.4143
380|RMSPropMomentum|3|1|4.2589
381|RMSPropMomentum|3|2|3.3101
382|RMSPropMomentum|3|3|2.6522
383|RMSPropMomentum|3|4|2.1669
384|RMSPropMomentum|3|5|1.7819
385|RMSPropMomentum|3|6|1.4178
386|RMSPropMomentum|3|7|1.1141
387|RMSPropMomentum|3|8|0.8759
388|RMSPropMomentum|3|9|0.6525
389|RMSPropMomentum|3|10|0.4753
390|RMSPropMomentum|4|1|4.3582
391|RMSPropMomentum|4|2|3.3944
392|RMSPropMomentum|4|3|2.8098
393|RMSPropMomentum|4|4|2.3374
394|RMSPropMomentum|4|5|1.9001
395|RMSPropMomentum|4|6|1.5301
396|RMSPropMomentum|4|7|1.1971
397|RMSPropMomentum|4|8|0.9218
398|RMSPropMomentum|4|9|0.6712
399|RMSPropMomentum|4|10|0.4765
400|AdamW|1|1|3.194
401|AdamW|1|2|2.3139
402|AdamW|1|3|1.7633
403|AdamW|1|4|1.3686
404|AdamW|1|5|1.051
405|AdamW|1|6|0.7854
406|AdamW|1|7|0.5757
407|AdamW|1|8|0.3657
408|AdamW|1|9|0.2133
409|AdamW|1|10|0.1152
410|AdamW|2|1|3.2834
411|AdamW|2|2|2.4157
412|AdamW|2|3|1.8735
413|AdamW|2|4|1.4671
414|AdamW|2|5|1.129
415|AdamW|2|6|0.8817
416|AdamW|2|7|0.659
417|AdamW|2|8|0.4568
418|AdamW|2|9|0.291
419|AdamW|2|10|0.1668
420|AdamW|3|1|3.2132
421|AdamW|3|2|2.2887
422|AdamW|3|3|1.7405
423|AdamW|3|4|1.3785
424|AdamW|3|5|1.0392
425|AdamW|3|6|0.7955
426|AdamW|3|7|0.5741
427|AdamW|3|8|0.3825
428|AdamW|3|9|0.2354
429|AdamW|3|10|0.1331
430|AdamW|4|1|3.2463
431|AdamW|4|2|2.3471
432|AdamW|4|3|1.8294
433|AdamW|4|4|1.3874
434|AdamW|4|5|1.0736
435|AdamW|4|6|0.8136
436|AdamW|4|7|0.5769
437|AdamW|4|8|0.4065
438|AdamW|4|9|0.2304
439|AdamW|4|10|0.1126
440|NAdam|1|1|3.6643
441|NAdam|1|2|2.7479
442|NAdam|1|3|2.1754
