,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,4.355137781185262
1,SimpleSGD,1,2,4.1007206808118255
2,SimpleSGD,1,3,4.000056080958423
3,SimpleSGD,1,4,3.928134238018709
4,SimpleSGD,1,5,3.8672411546987644
5,SimpleSGD,1,6,3.80872801472159
6,SimpleSGD,1,7,3.760271649150287
7,SimpleSGD,1,8,3.7215071863987865
8,SimpleSGD,1,9,3.6871435519526985
9,SimpleSGD,1,10,3.6584023307351505
10,SimpleSGD,2,1,4.3858413520981285
11,SimpleSGD,2,2,4.1059276531724365
12,SimpleSGD,2,3,3.9896834720583523
13,SimpleSGD,2,4,3.910605407813016
14,SimpleSGD,2,5,3.8424754984238567
15,SimpleSGD,2,6,3.791648989214617
16,SimpleSGD,2,7,3.750156705870348
17,SimpleSGD,2,8,3.7092628075796017
18,SimpleSGD,2,9,3.678844201214173
19,SimpleSGD,2,10,3.6523423615623924
20,SimpleSGD,3,1,4.356579500086167
21,SimpleSGD,3,2,4.1214525296407585
22,SimpleSGD,3,3,4.028799057006836
23,SimpleSGD,3,4,3.9550031774184284
24,SimpleSGD,3,5,3.895388448939604
25,SimpleSGD,3,6,3.835157713469337
26,SimpleSGD,3,7,3.7864873286555794
27,SimpleSGD,3,8,3.740886977490257
28,SimpleSGD,3,9,3.7023242466589985
29,SimpleSGD,3,10,3.6685667896971985
30,SimpleSGD,4,1,4.405027312390945
31,SimpleSGD,4,2,4.119564385975108
32,SimpleSGD,4,3,3.997060074525721
33,SimpleSGD,4,4,3.9171535425326405
34,SimpleSGD,4,5,3.8496809514129864
35,SimpleSGD,4,6,3.7956103963010452
36,SimpleSGD,4,7,3.7514085944961097
37,SimpleSGD,4,8,3.717760583933662
38,SimpleSGD,4,9,3.6875534811440636
39,SimpleSGD,4,10,3.6649916522643147
40,SimpleSGDCurvature,1,1,4.165883451700211
41,SimpleSGDCurvature,1,2,3.8444843064336216
42,SimpleSGDCurvature,1,3,3.682882738464019
43,SimpleSGDCurvature,1,4,3.5844569188707016
44,SimpleSGDCurvature,1,5,3.497523668934317
45,SimpleSGDCurvature,1,6,3.41204771399498
46,SimpleSGDCurvature,1,7,3.3132414256825165
47,SimpleSGDCurvature,1,8,3.2259534387027515
48,SimpleSGDCurvature,1,9,3.138875235529507
49,SimpleSGDCurvature,1,10,3.063080098699121
50,SimpleSGDCurvature,2,1,4.1874555138980645
51,SimpleSGDCurvature,2,2,3.904915494077346
52,SimpleSGDCurvature,2,3,3.749546739984961
53,SimpleSGDCurvature,2,4,3.6088453969534706
54,SimpleSGDCurvature,2,5,3.4960620753905354
55,SimpleSGDCurvature,2,6,3.3857620183159325
56,SimpleSGDCurvature,2,7,3.280228151994593
57,SimpleSGDCurvature,2,8,3.1882597155430736
58,SimpleSGDCurvature,2,9,3.110288793549818
59,SimpleSGDCurvature,2,10,3.0388517800499413
60,SimpleSGDCurvature,3,1,4.178428772617789
61,SimpleSGDCurvature,3,2,3.8842399225515476
62,SimpleSGDCurvature,3,3,3.7302050678169025
63,SimpleSGDCurvature,3,4,3.620263573001413
64,SimpleSGDCurvature,3,5,3.5284888919662025
65,SimpleSGDCurvature,3,6,3.436886563020594
66,SimpleSGDCurvature,3,7,3.349118362454807
67,SimpleSGDCurvature,3,8,3.258758809636621
68,SimpleSGDCurvature,3,9,3.184576020521276
69,SimpleSGDCurvature,3,10,3.1175424298819374
70,SimpleSGDCurvature,4,1,4.189858464633717
71,SimpleSGDCurvature,4,2,3.9127870850703297
72,SimpleSGDCurvature,4,3,3.7521145431434406
73,SimpleSGDCurvature,4,4,3.634712082498214
74,SimpleSGDCurvature,4,5,3.5516919143059673
75,SimpleSGDCurvature,4,6,3.4779233126079334
76,SimpleSGDCurvature,4,7,3.4017226362929627
77,SimpleSGDCurvature,4,8,3.3200429064386032
78,SimpleSGDCurvature,4,9,3.2430091780774735
79,SimpleSGDCurvature,4,10,3.1659355251228107
