Optimizer Name|Mean_Training_Loss_epoch1|Std_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Std_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Std_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Std_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Std_Training_Loss_epoch5|Mean_Training_Loss_epoch6|Std_Training_Loss_epoch6|Mean_Training_Loss_epoch7|Std_Training_Loss_epoch7|Mean_Training_Loss_epoch8|Std_Training_Loss_epoch8|Mean_Training_Loss_epoch9|Std_Training_Loss_epoch9|Mean_Training_Loss_epoch10|Std_Training_Loss_epoch10
AMSGrad|3.6186249999999998|0.16497475311897486|2.1117500000000002|0.3193472978853379|1.31175|0.4469230992762252|0.713|0.48885719114413506|0.342075|0.3898351735028536|0.14504999999999998|0.1727630072285924|0.06005|0.054616877733291685|0.025925|0.017808682339428332|0.017325|0.010080467912420203|0.010374999999999999|0.00736947533184464
AMSGradCurvature|3.620425|0.16707416267434452|2.1256|0.3193037112217771|1.3169|0.42666713802057293|0.6722750000000001|0.40080222367147617|0.275725|0.26186673932874077|0.11420000000000001|0.09855830761534007|0.051449999999999996|0.032434806407109426|0.025875|0.011050301655007732|0.018275|0.005404550551772706|0.0109|0.007777317446695015
Adadelta|4.357825|0.03988361192269355|4.11025|0.04818966002508557|3.960825|0.0672013082709952|3.82575|0.08004684045399103|3.701575|0.08008459589708862|3.5869|0.07365790294779431|3.47975|0.06880419076383833|3.38|0.06623050656608326|3.2871|0.06445360088208148|3.20125|0.06395115323432429
AdadeltaCurvature|4.3166|0.028329842922261417|4.04155|0.03520421376293827|3.8782|0.043639508093775155|3.73975|0.0452039452555488|3.61905|0.04117325183497993|3.5120750000000003|0.035642799646866445|3.416025|0.03370285596206958|3.32825|0.03410742832091954|3.248|0.03424548632058436|3.1740500000000003|0.03484006314575191
Adagrad|3.464875|0.08408275189756029|2.52655|0.07795607737694335|2.1239999999999997|0.08573027469919849|1.8585|0.09173821450191835|1.66315|0.09442339046373346|1.5031750000000001|0.09972226013617358|1.3716249999999999|0.10136854788345348|1.25505|0.10459447085450238|1.149925|0.1089839858266648|1.0584500000000001|0.10907518813491293
AdagradCurvature|3.401|0.1010316452074959|2.3543250000000002|0.09385234413694729|1.9161000000000001|0.10290885935298935|1.6341999999999999|0.11158754410775425|1.42585|0.11577629291007725|1.2565|0.12031771828510271|1.116675|0.12137384053685814|0.994875|0.12394327667660456|0.886975|0.12552838656388976|0.794425|0.1236755803166764
Adam|3.620375|0.16299671520207598|2.117|0.3151516248834306|1.317875|0.4397374320735803|0.699525|0.45827433832439995|0.3131|0.3370962572718164|0.135975|0.14708712554129272|0.057324999999999994|0.05196328030446115|0.03295|0.014601940510311176|0.036500000000000005|0.018517739242862954|0.03315|0.025255560443857378
AdamCurvature|3.62005|0.16712144286915026|2.12785|0.31868369375709626|1.3285|0.44854732191821184|0.7232500000000001|0.48274485669623307|0.329575|0.3554572864635075|0.136425|0.14100532791352247|0.061200000000000004|0.0493037523926932|0.036574999999999996|0.025143107073974234|0.0309|0.013116656077928808|0.025349999999999998|0.014200586842333896
AdamW|3.6182499999999997|0.16102613659486048|2.11325|0.31161546281702174|1.318325|0.44054972761312655|0.71155|0.47112541500821914|0.309875|0.32663982585308443|0.1209|0.10598078442183123|0.044774999999999995|0.029015211527748677|0.038075|0.008260901887808616|0.03125|0.015826244026931974|0.02865|0.025239189104776457
AdamWCurvature|3.619975|0.16762723277160752|2.1315|0.32251018588565533|1.342225|0.4486568798462064|0.726|0.4678799489897667|0.310025|0.3091722537680249|0.1151|0.10127174663580493|0.04504999999999999|0.02902096943016664|0.03145|0.013488390069488154|0.020775|0.007688248608536709|0.01575|0.009152959448542677
HeavyBall|3.84775|0.04603219887571445|3.0512|0.06165014193008802|2.662425|0.05540964867842652|2.377625|0.06715069495793277|2.1274|0.08632183964675458|1.885825|0.1171991858617911|1.657|0.12741143329126048|1.4275|0.1445464631182652|1.208475|0.1434629191347599|0.992625|0.1485503814647856
HeavyBallCurvature|3.9516750000000003|0.3535946019101535|2.6232|0.4287410873709214|1.7163000000000002|0.3705623969050287|0.9264000000000001|0.33870996442384155|0.43196666666666667|0.23280657923120068|0.35356666666666675|0.1934388361558592|0.15796666666666667|0.08284058989006135|0.08323333333333334|0.06412030359670276|0.04973333333333333|0.03572734713539942|0.0378|0.018757398540309365
NAG|3.847725|0.04599509937663654|3.050975|0.06229319786300905|2.66215|0.055973892723899965|2.378225|0.06791049869742777|2.127975|0.08867800835983344|1.8874750000000002|0.11708897969777808|1.654375|0.12891561516485625|1.426025|0.14238561198379565|1.208925|0.14196235122970688|0.9934000000000001|0.14882678970310864
NAGCurvature|4.111974999999999|0.18918379731537965|2.6422499999999998|0.3073173658180309|1.7607|0.36463140292629753|0.997975|0.37722160043313174|0.798875|0.8560246740018653|0.19733333333333333|0.04296327889411298|0.10103333333333335|0.033678677725429394|0.06036666666666666|0.0099359616209672|0.05709999999999999|0.029889964871173735|0.0362|0.017412926233117743
NAdam|3.1481000000000003|0.1054990363305118|1.5501749999999999|0.09684617958391539|0.507225|0.08318583112525836|0.11627499999999999|0.011297307938914761|0.0715|0.036926323041068326|0.0406|0.013328915934913836|0.04655|0.00725005747103658|0.051175|0.02266147612138274|0.1239|0.05693628017354137|0.126525|0.043548162992254905
NAdamCurvature|3.14165|0.08118610308010435|1.58685|0.082456069111578|0.52885|0.06617177142357106|0.150875|0.06544786092761168|0.06765|0.01591424938014148|0.04485|0.01387671911272017|0.085425|0.06316636103707943|0.11907499999999999|0.1392684308568648|0.076925|0.04310617705155492|0.0695|0.03156950004883405
NAdamW|3.13955|0.08869026628290916|1.554975|0.08470306468284765|0.5123|0.08900273404040278|0.11347499999999999|0.013542371776514382|0.058249999999999996|0.011091588404432133|0.030350000000000002|0.011917633993373014|0.0584|0.007993747556684538|0.088|0.027262061550807196|0.10305|0.03813384323668413|0.0951|0.026485090145211894
NAdamWCurvature|3.1580250000000003|0.11907124967850136|1.5647|0.13689161162515884|0.5397000000000001|0.15401789939267885|0.1329|0.04315514646790886|0.0625|0.008897565210026093|0.049025|0.01861762158100044|0.12177500000000001|0.18107225767632104|0.1498|0.13927969461961545|0.118275|0.06386743432036915|0.106975|0.0752620034723144
RMSProp|5.829475|0.5758085756858203|2.23435|0.10184944771573382|1.471875|0.14449773642979083|0.81685|0.13216327023799007|0.3291|0.07334134804687824|0.11875|0.014328642643321104|0.079625|0.017148833779589794|0.059875|0.02939199153964676|0.049125|0.02751101294633357|0.033275|0.013439587047227308
RMSPropCurvature|6.00795|0.6970645713753255|2.28015|0.1769794809198702|1.4549500000000002|0.14516644469940929|0.76635|0.10581135729841736|0.29445|0.04777883073775106|0.10097500000000001|0.015755924811532544|0.084275|0.027675545763965224|0.051725|0.013107599576835825|0.055825|0.01120725211637536|0.0212|0.010743370048546218
RMSPropMomentum|6.1761|0.7596981549712138|2.2906500000000003|0.22116511931134156|1.468575|0.19319277721143377|0.77205|0.1713846842632095|0.28835|0.10155866941494128|0.099925|0.021669083198572723|0.063775|0.005096649226043849|0.057|0.009033271832508976|0.046375|0.00728943299120949|0.057675|0.049450808891260814
RMSPropMomentumCurvature|6.1491|0.7336663592305883|2.2908|0.23368849636499736|1.487375|0.1890049448206757|0.7913250000000001|0.12310162129991085|0.288825|0.07889454459382263|0.097475|0.01990952452136079|0.068925|0.016210567540959196|0.049100000000000005|0.014312465429361453|0.0592|0.02221681045214786|0.058774999999999994|0.0365866437378451
SimpleSGD|4.31405|0.049611860141166336|4.0283999999999995|0.07629351217502073|3.8193|0.1030043041171906|3.6265|0.0978438551979632|3.445425|0.08509999510379934|3.2785|0.07850685744994942|3.1296749999999998|0.0780367167855405|2.99755|0.08046997369619717|2.8843|0.07976277327174616|2.7836499999999997|0.07943452230191463
SimpleSGDCurvature|3.712875|0.09080897073894555|2.484575|0.12902817198839417|1.698975|0.1873573479566075|1.005425|0.24185434149504126|0.472775|0.2013656106853071|0.2202|0.07644348675110697|0.245925|0.30819702978235636|0.14295000000000002|0.15461885396031108|0.036075|0.036332205639992|0.010374999999999999|0.005542186692392573
