Optimizer Name|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Mean_Training_Loss_epoch6|Mean_Training_Loss_epoch7|Mean_Training_Loss_epoch8|Mean_Training_Loss_epoch9|Mean_Training_Loss_epoch10|Std_Training_Loss_epoch1|Std_Training_Loss_epoch2|Std_Training_Loss_epoch3|Std_Training_Loss_epoch4|Std_Training_Loss_epoch5|Std_Training_Loss_epoch6|Std_Training_Loss_epoch7|Std_Training_Loss_epoch8|Std_Training_Loss_epoch9|Std_Training_Loss_epoch10
SimpleSGD|4.3235476052059845|4.01423142879617|3.7926179895214003|3.5940257784198315|3.410920486146329|3.247051049681271|3.096823297879275|2.9686332987804036|2.8506828879608825|2.75100081633119|0.053090075608499813|0.06680404299956053|0.08940082971661384|0.07815987052086884|0.06637652019193714|0.06407434464285279|0.058192790018046184|0.05320544429432903|0.05117376882643356|0.04868435047321353
SimpleSGDCurvature|4.050473011007496|3.6611718547110463|3.5062085600460278|3.395504455940396|3.30686278612006|3.2364278634389243|3.1765681885036767|3.1272675932622427|3.0871066281608512|3.050246004380432|0.00866704027194018|0.026249401335925387|0.05511952572627079|0.07124270701206181|0.08144143536349902|0.08703106921019807|0.09200038938916005|0.09657710901481122|0.1009322330288797|0.10217986700221038
Adam|3.357671335339546|1.9076915519202455|1.0724904714700054|0.44432176501654524|0.14082934815372683|0.06926709259563467|0.04203418022370894|0.033777513023404204|0.0405048128374676|0.04200827720028336|0.2609829588574429|0.3534927800854012|0.34882683825078326|0.23500409096151775|0.07783618266690602|0.035501101034049944|0.010176769417474526|0.007543823097089789|0.023719500076954232|0.02580572182393772
AdamCurvature|2.938066152088782|1.2394719416019964|0.3754752819042872|0.12166052895789853|0.08357716212106191|0.05658098282212587|0.043011814987645836|0.03785656893153056|0.036453821988449264|0.03335258988566717|0.06087089115248911|0.03963436125029696|0.03483011183668706|0.012847255682480244|0.00837391518067057|0.0066850282078561776|0.003230540346404734|0.004250601458813253|0.004544914531863403|0.006321161698489621
HeavyBall|3.8493650292648987|3.075147104613922|2.689523495587648|2.4197645006226556|2.185619927796663|1.9521450371134514|1.7283113517013249|1.5010476886641746|1.286411557711807|1.074610276111201|0.01151735326896478|0.03211502867418602|0.024635865362794024|0.022964006311359482|0.027345299433772924|0.03617149073953548|0.03725109009128372|0.050697113457992285|0.05099864241112207|0.07583349265197377
HeavyBallCurvature|3.8632267333713233|3.460852133292778|3.285376701284857|3.163268228371938|3.0769689860297187|3.011590279784857|2.9601023658817893|2.9139117808902966|2.8746415324070873|2.8396527276319614|0.014934888370523269|0.05132467045949317|0.0693804074984171|0.08166950897072402|0.08404347667784651|0.09156187788659685|0.09545431728840056|0.0985548053385189|0.10041216369040123|0.10245971700348006
NAG|3.834001990509968|3.0469233586507687|2.663293214697464|2.391380715019563|2.162548837416312|1.9341346379004272|1.7105405351110534|1.490230995650385|1.2709233883549185|1.0565715785704406|0.004098351827640157|0.0013207047318879916|0.015102190886654382|0.0020520574000601343|0.014813318814643857|0.012459054591526493|0.021176912109259555|0.012964483720619443|0.0316529251103078|0.03213564187807227
NAGCurvature|3.8399533793038017|3.340301896427192|3.123551849641052|2.99127089509777|2.898687352736791|2.8270965177638856|2.775581919095096|2.7289734885973087|2.690532094707676|2.6540593680213482|0.03009320525808237|0.043049948865382374|0.042129431667202545|0.03835411738942174|0.03782142745276791|0.03569039351493101|0.03570306703318242|0.03499460425364331|0.03253846459258828|0.031335062405037306
Adagrad|3.438072262441411|2.5349412130958893|2.1355702467993196|1.864620689960087|1.65657612564517|1.4901515023381104|1.3523760427739109|1.2338806520782264|1.1251192892006798|1.0294308564534373|0.07807997215887746|0.07713885744037002|0.0845448382892834|0.08729880300060323|0.09733501118725785|0.09742341933087574|0.10130160176009988|0.106912835032436|0.10869511326783321|0.10680494566291134
AdagradCurvature|3.069458579900218|2.0639082371604207|1.6750548763894566|1.4339088372447912|1.2565837525853925|1.1215536398630517|1.0122422987923902|0.9171298160126397|0.8398380685670702|0.7683131299620749|0.010154591767555872|0.052660159807005356|0.057457708115827524|0.05997187488782839|0.06769096904261189|0.07043625207907889|0.06993925040528902|0.07110613751782408|0.07183080425854353|0.07272284909055554
