Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,1721.6640625,3158.4140625,72.2744140625,160.798828125,74.0,528.0
SimpleSGD,2,3159.57421875,3159.57421875,88.5244140625,160.798828125,254.0,508.0
SimpleSGD,3,3159.68359375,3159.84375,88.5244140625,160.798828125,254.0,508.0
SimpleSGDCurvature,1,3161.390625,3161.390625,88.5244140625,160.798828125,182.0,652.0
SimpleSGDCurvature,2,3162.24609375,3162.24609375,88.5244140625,160.798828125,254.0,652.0
SimpleSGDCurvature,3,3162.29296875,3162.29296875,88.5244140625,160.798828125,254.0,652.0
Adam,1,3162.68359375,3174.08203125,88.5244140625,305.34765625,182.0,652.0
Adam,2,3174.2890625,3174.2890625,88.5244140625,305.34765625,398.0,652.0
Adam,3,3174.29296875,3174.29296875,88.5244140625,305.34765625,398.0,652.0
AdamCurvature,1,3174.31640625,3174.32421875,88.5244140625,305.34765625,326.0,870.0
AdamCurvature,2,3174.41796875,3174.43359375,88.5244140625,305.34765625,400.0,870.0
AdamCurvature,3,3174.4375,3174.4375,88.5244140625,305.34765625,400.0,870.0
HeavyBall,1,3174.44921875,3174.44921875,88.5244140625,233.0732421875,328.0,508.0
HeavyBall,2,3174.453125,3174.453125,88.5244140625,233.0732421875,326.0,508.0
HeavyBall,3,3174.50390625,3174.50390625,88.5244140625,233.0732421875,326.0,508.0
HeavyBallCurvature,1,3174.51171875,3174.51171875,88.5244140625,233.0732421875,254.0,870.0
HeavyBallCurvature,2,3174.515625,3174.515625,88.5244140625,233.0732421875,328.0,798.0
HeavyBallCurvature,3,3174.515625,3174.515625,88.5244140625,233.0732421875,328.0,798.0
NAG,1,3174.55859375,3174.55859375,88.5244140625,233.0732421875,256.0,580.0
NAG,2,3174.578125,3174.578125,88.5244140625,233.0732421875,326.0,508.0
NAG,3,3174.578125,3174.578125,88.5244140625,233.0732421875,326.0,508.0
