Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,1724.29296875,3276.16796875,42.88427734375,103.8720703125,64.0,2156.0
SimpleSGD,2,3277.3125,3298.67578125,59.38427734375,102.8017578125,290.0,2162.0
SimpleSGD,3,3298.66796875,3298.59765625,59.96435546875,102.4052734375,414.0,2234.0
SimpleSGD,4,3298.56640625,3319.9609375,59.55419921875,104.5087890625,652.0,2168.0
SimpleSGDCurvature,1,3320.0625,3322.25,59.13427734375,104.3056640625,476.0,2174.0
SimpleSGDCurvature,2,3322.1171875,3343.37890625,60.42724609375,104.2763671875,374.0,2200.0
SimpleSGDCurvature,3,3343.23828125,3343.5859375,59.92333984375,103.2861328125,314.0,2164.0
SimpleSGDCurvature,4,3343.62109375,3343.43359375,60.38427734375,102.3447265625,350.0,2222.0
Adam,1,3343.57421875,3344.04296875,59.13427734375,188.14453125,462.0,2160.0
Adam,2,3344.32421875,3344.33203125,59.97802734375,190.36328125,464.0,2202.0
Adam,3,3344.3515625,3344.52734375,59.30615234375,189.228515625,786.0,2202.0
Adam,4,3344.73828125,3365.62109375,60.00927734375,189.021484375,790.0,2206.0
AdamCurvature,1,3365.5546875,3387.15625,59.13427734375,190.9375,430.0,2368.0
AdamCurvature,2,3386.8828125,3408.3984375,59.38427734375,190.015625,672.0,2222.0
AdamCurvature,3,3408.16015625,3408.15234375,59.25927734375,193.01953125,486.0,2224.0
AdamCurvature,4,3408.55859375,3408.55859375,59.25927734375,189.765625,572.0,2262.0
HeavyBall,1,3408.55859375,3408.55859375,59.13427734375,146.30517578125,622.0,2170.0
HeavyBall,2,3408.55859375,3408.1875,60.19677734375,146.37353515625,624.0,2190.0
HeavyBall,3,3408.2421875,3408.48046875,59.92333984375,145.77001953125,524.0,2212.0
HeavyBall,4,3408.14453125,3408.40234375,59.32177734375,146.98095703125,628.0,2216.0
HeavyBallCurvature,1,3408.2734375,3429.5234375,59.13427734375,145.26220703125,860.0,2188.0
