,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,4.403779461103327
1,SimpleSGD,1,2,4.125182262238334
2,SimpleSGD,1,3,4.020831509548075
3,SimpleSGD,1,4,3.9465284382595733
4,SimpleSGD,1,5,3.8858662054819217
5,SimpleSGD,1,6,3.8359244290520165
6,SimpleSGD,1,7,3.782800092416651
7,SimpleSGD,1,8,3.74031463265419
8,SimpleSGD,1,9,3.698308187372544
9,SimpleSGD,1,10,3.662473417380277
10,SimpleSGD,2,1,4.373427878407871
11,SimpleSGD,2,2,4.135103876099867
12,SimpleSGD,2,3,4.040845041765886
13,SimpleSGD,2,4,3.9756620403598335
14,SimpleSGD,2,5,3.92374949946123
15,SimpleSGD,2,6,3.874867050086751
16,SimpleSGD,2,7,3.8305577442926517
17,SimpleSGD,2,8,3.7893556426553165
18,SimpleSGD,2,9,3.7448521852493286
19,SimpleSGD,2,10,3.70651354859857
20,SimpleSGD,3,1,4.368079253855874
21,SimpleSGD,3,2,4.1313124632134155
22,SimpleSGD,3,3,4.029654241660062
23,SimpleSGD,3,4,3.959228315774132
24,SimpleSGD,3,5,3.901778882040697
25,SimpleSGD,3,6,3.8472103196031906
26,SimpleSGD,3,7,3.7948227209203385
27,SimpleSGD,3,8,3.7553052919752457
28,SimpleSGD,3,9,3.7153359756750217
29,SimpleSGD,3,10,3.683715706362444
30,SimpleSGD,4,1,4.367431060356252
31,SimpleSGD,4,2,4.139145740691354
32,SimpleSGD,4,3,4.0366413014776565
33,SimpleSGD,4,4,3.956212760771022
34,SimpleSGD,4,5,3.8882266721304726
35,SimpleSGD,4,6,3.8245153917985806
36,SimpleSGD,4,7,3.770745419404086
37,SimpleSGD,4,8,3.7270008150269005
38,SimpleSGD,4,9,3.6870050570544075
39,SimpleSGD,4,10,3.6559185999281265
40,SimpleSGDCurvature,1,1,4.10461767280803
41,SimpleSGDCurvature,1,2,3.784906632759992
42,SimpleSGDCurvature,1,3,3.6045057878774753
43,SimpleSGDCurvature,1,4,3.4730051475412704
44,SimpleSGDCurvature,1,5,3.3362332740250755
45,SimpleSGDCurvature,1,6,3.196759236209533
46,SimpleSGDCurvature,1,7,3.079429586144055
47,SimpleSGDCurvature,1,8,2.9810093062765457
48,SimpleSGDCurvature,1,9,2.889125415507485
49,SimpleSGDCurvature,1,10,2.8174183754359974
50,SimpleSGDCurvature,2,1,4.07210456273135
51,SimpleSGDCurvature,2,2,3.719920833321179
52,SimpleSGDCurvature,2,3,3.5635531369377587
53,SimpleSGDCurvature,2,4,3.4369463149239037
54,SimpleSGDCurvature,2,5,3.299444689470179
55,SimpleSGDCurvature,2,6,3.161499277633779
56,SimpleSGDCurvature,2,7,3.052196979522705
57,SimpleSGDCurvature,2,8,2.9667757679434383
58,SimpleSGDCurvature,2,9,2.881862677195493
59,SimpleSGDCurvature,2,10,2.793508196578306
60,SimpleSGDCurvature,3,1,4.085363868404837
61,SimpleSGDCurvature,3,2,3.781652287525289
62,SimpleSGDCurvature,3,3,3.5841804795405445
63,SimpleSGDCurvature,3,4,3.424246667062535
64,SimpleSGDCurvature,3,5,3.274205735501121
65,SimpleSGDCurvature,3,6,3.1599980066804325
66,SimpleSGDCurvature,3,7,3.057127726428649
67,SimpleSGDCurvature,3,8,2.9575479872086468
68,SimpleSGDCurvature,3,9,2.8699397918056038
69,SimpleSGDCurvature,3,10,2.7916048449628494
70,SimpleSGDCurvature,4,1,4.08176058881423
71,SimpleSGDCurvature,4,2,3.7956522387616776
72,SimpleSGDCurvature,4,3,3.6134054801043343
73,SimpleSGDCurvature,4,4,3.4759895748951855
74,SimpleSGDCurvature,4,5,3.3335821172770332
75,SimpleSGDCurvature,4,6,3.1963843668208405
76,SimpleSGDCurvature,4,7,3.0768094378359176
77,SimpleSGDCurvature,4,8,2.9739511766854454
78,SimpleSGDCurvature,4,9,2.8821270080173718
79,SimpleSGDCurvature,4,10,2.7957280383390537
80,Adam,1,1,3.1979326833696926
81,Adam,1,2,2.335706854567808
82,Adam,1,3,1.7717946925584007
83,Adam,1,4,1.3487977499470991
84,Adam,1,5,1.015968402080676
85,Adam,1,6,0.7724535870639717
86,Adam,1,7,0.5523934828884461
87,Adam,1,8,0.342502769028001
88,Adam,1,9,0.20297832751427503
89,Adam,1,10,0.09810676392825211
90,Adam,2,1,3.279671981054194
91,Adam,2,2,2.311134099960327
92,Adam,2,3,1.7620574867024141
93,Adam,2,4,1.3613876354168444
94,Adam,2,5,1.0468550946782618
95,Adam,2,6,0.7969716136508128
96,Adam,2,7,0.5888109923723865
97,Adam,2,8,0.37542711811907153
98,Adam,2,9,0.21966742943314946
99,Adam,2,10,0.12878467945162864
100,Adam,3,1,3.2724060661652508
101,Adam,3,2,2.3666300948928383
102,Adam,3,3,1.856696324313388
103,Adam,3,4,1.4305478268686462
104,Adam,3,5,1.1134836870957823
105,Adam,3,6,0.8496664379011182
106,Adam,3,7,0.6232397545348195
107,Adam,3,8,0.41778463464887705
108,Adam,3,9,0.2601147604667965
109,Adam,3,10,0.14705864742726965
110,Adam,4,1,3.2676306472105137
111,Adam,4,2,2.4312520780984093
112,Adam,4,3,1.8923109612044167
113,Adam,4,4,1.4445603222531431
114,Adam,4,5,1.139694329132052
115,Adam,4,6,0.8575375371557825
116,Adam,4,7,0.6103657950811526
117,Adam,4,8,0.4314114226795295
118,Adam,4,9,0.2605494234491797
119,Adam,4,10,0.1558347262770814
120,AdamCurvature,1,1,3.2462137709645664
121,AdamCurvature,1,2,2.420007156975129
122,AdamCurvature,1,3,1.9599866411265205
123,AdamCurvature,1,4,1.6314578582258785
124,AdamCurvature,1,5,1.277065778041587
125,AdamCurvature,1,6,0.982276439666748
126,AdamCurvature,1,7,0.802478537620867
127,AdamCurvature,1,8,0.6116199727882358
128,AdamCurvature,1,9,0.45029216599376765
129,AdamCurvature,1,10,0.30387230025713935
130,AdamCurvature,2,1,3.3801553196766796
131,AdamCurvature,2,2,2.6307258395587696
132,AdamCurvature,2,3,2.0620106747921776
133,AdamCurvature,2,4,1.589959690676016
134,AdamCurvature,2,5,1.2673502060420372
135,AdamCurvature,2,6,0.990688256919384
136,AdamCurvature,2,7,0.7865372955360833
137,AdamCurvature,2,8,0.6252552279654671
138,AdamCurvature,2,9,0.43240414800889354
139,AdamCurvature,2,10,0.2806805372785996
140,AdamCurvature,3,1,3.2219792586915634
141,AdamCurvature,3,2,2.4343808521242702
142,AdamCurvature,3,3,2.0478931718012867
143,AdamCurvature,3,4,1.7639788222663544
144,AdamCurvature,3,5,1.3928130343556404
145,AdamCurvature,3,6,1.086170944659149
146,AdamCurvature,3,7,0.8181918011430431
147,AdamCurvature,3,8,0.6588071909020928
148,AdamCurvature,3,9,0.4766002907691633
149,AdamCurvature,3,10,0.3358103847131133
150,AdamCurvature,4,1,3.209558292346842
151,AdamCurvature,4,2,2.400135444367633
