optimizer,momentum,mean_accuracy,std_accuracy
SimpleSGD,,0.4175406246398525,0.012892242855525744
SimpleSGDCurvature,,0.9995390111789789,0.0
Adam,,0.9957646652068688,0.0030473843316475924
AdamCurvature,,0.9948714993661403,0.0033097223650511483
HeavyBall,,0.8186297107295148,0.033919542786391074
HeavyBallCurvature,,0.7590469056125388,0.40929933702608157
NAG,,0.8134435864930275,0.036287442917343565
NAGCurvature,,0.7605163074795436,0.4101420950629605
Adagrad,,0.790883946064308,0.019658771523467955
AdagradCurvature,,0.851532787829895,0.02518308015836235
Adadelta,,0.3398928200991126,0.010407203913309312
AdadeltaCurvature,,0.34260112942261145,0.004736628590118792
RMSProp,,0.9842399446813415,0.023002050942518643
RMSPropCurvature,,0.9961968422265759,0.00365353635683929
RMSPropMomentum,,0.9924513080557797,0.004806305903350651
RMSPropMomentumCurvature,,0.9817621297683531,0.024398594805129032
AdamW,,0.9953612999884753,0.0063178045956434475
AdamWCurvature,,0.9976086204909531,0.001193170406871541
NAdam,,0.980840152126311,0.009963177551256372
NAdamCurvature,,0.9745591794398986,0.014204977770634676
NAdamW,,0.9845856862971072,0.005001234103163563
NAdamWCurvature,,0.9781030310014982,0.014159703315632828
AMSGrad,,0.9994525757750374,9.555793449222023e-05
AMSGradCurvature,,0.9995101993776652,4.990350373309962e-05
