|Optimizer Name|Running loop number|Epoch number|Average Training Loss
0|SimpleSGD|1|1|4.5616
1|SimpleSGD|1|2|4.3625
2|SimpleSGD|1|3|4.0121
3|SimpleSGD|1|4|3.7737
4|SimpleSGD|1|5|3.6396
5|SimpleSGD|1|6|3.5356
6|SimpleSGD|1|7|3.4468
7|SimpleSGD|1|8|3.3696
8|SimpleSGD|1|9|3.3003
9|SimpleSGD|1|10|3.237
10|SimpleSGD|2|1|4.5629
11|SimpleSGD|2|2|4.3727
12|SimpleSGD|2|3|4.0295
13|SimpleSGD|2|4|3.7863
14|SimpleSGD|2|5|3.65
15|SimpleSGD|2|6|3.5505
16|SimpleSGD|2|7|3.4664
17|SimpleSGD|2|8|3.3896
18|SimpleSGD|2|9|3.3186
19|SimpleSGD|2|10|3.2529
20|SimpleSGDCurvature|1|1|3.6667
21|SimpleSGDCurvature|1|2|2.9789
22|SimpleSGDCurvature|1|3|2.5041
23|SimpleSGDCurvature|1|4|2.0033
24|SimpleSGDCurvature|1|5|1.4108
25|SimpleSGDCurvature|1|6|0.7815
26|SimpleSGDCurvature|1|7|0.3826
27|SimpleSGDCurvature|1|8|0.219
28|SimpleSGDCurvature|1|9|0.1367
29|SimpleSGDCurvature|1|10|0.0898
30|SimpleSGDCurvature|2|1|3.681
31|SimpleSGDCurvature|2|2|2.9933
32|SimpleSGDCurvature|2|3|2.5112
33|SimpleSGDCurvature|2|4|2.0101
34|SimpleSGDCurvature|2|5|1.4376
35|SimpleSGDCurvature|2|6|0.815
36|SimpleSGDCurvature|2|7|0.4107
37|SimpleSGDCurvature|2|8|0.2143
38|SimpleSGDCurvature|2|9|0.1371
39|SimpleSGDCurvature|2|10|0.0886
40|Adam|1|1|3.449
41|Adam|1|2|2.6959
42|Adam|1|3|2.2175
43|Adam|1|4|1.6144
44|Adam|1|5|0.9693
45|Adam|1|6|0.5178
46|Adam|1|7|0.3027
47|Adam|1|8|0.2339
48|Adam|1|9|0.2062
49|Adam|1|10|0.1672
50|Adam|2|1|3.4863
51|Adam|2|2|2.6847
52|Adam|2|3|2.0523
53|Adam|2|4|1.346
54|Adam|2|5|0.6795
55|Adam|2|6|0.3161
56|Adam|2|7|0.2075
57|Adam|2|8|0.1708
58|Adam|2|9|0.1404
59|Adam|2|10|0.1373
60|AdamCurvature|1|1|3.5338
61|AdamCurvature|1|2|2.7492
62|AdamCurvature|1|3|2.2171
63|AdamCurvature|1|4|1.6641
64|AdamCurvature|1|5|1.0988
65|AdamCurvature|1|6|0.6349
66|AdamCurvature|1|7|0.3572
67|AdamCurvature|1|8|0.2459
68|AdamCurvature|1|9|0.1982
69|AdamCurvature|1|10|0.1854
70|AdamCurvature|2|1|3.4524
71|AdamCurvature|2|2|2.5738
72|AdamCurvature|2|3|1.9544
73|AdamCurvature|2|4|1.2686
74|AdamCurvature|2|5|0.6276
75|AdamCurvature|2|6|0.2926
76|AdamCurvature|2|7|0.1887
77|AdamCurvature|2|8|0.1603
78|AdamCurvature|2|9|0.1397
79|AdamCurvature|2|10|0.139
80|HeavyBall|1|1|3.9987
81|HeavyBall|1|2|3.4028
82|HeavyBall|1|3|3.1194
83|HeavyBall|1|4|2.8759
84|HeavyBall|1|5|2.6479
85|HeavyBall|1|6|2.4191
86|HeavyBall|1|7|2.1928
87|HeavyBall|1|8|1.9656
88|HeavyBall|1|9|1.7326
89|HeavyBall|1|10|1.4748
90|HeavyBall|2|1|4.0005
91|HeavyBall|2|2|3.4197
92|HeavyBall|2|3|3.136
93|HeavyBall|2|4|2.9237
94|HeavyBall|2|5|2.7325
95|HeavyBall|2|6|2.5407
96|HeavyBall|2|7|2.3378
97|HeavyBall|2|8|2.117
98|HeavyBall|2|9|1.8892
99|HeavyBall|2|10|1.6495
100|HeavyBallCurvature|1|1|3.6755
101|HeavyBallCurvature|1|2|2.9137
102|HeavyBallCurvature|1|3|2.2647
103|HeavyBallCurvature|1|4|1.46
104|HeavyBallCurvature|1|5|0.6843
105|HeavyBallCurvature|1|6|0.3716
106|HeavyBallCurvature|1|7|0.2698
107|HeavyBallCurvature|1|8|0.2188
108|HeavyBallCurvature|1|9|0.1861
109|HeavyBallCurvature|1|10|0.1651
110|HeavyBallCurvature|2|1|3.7432
111|HeavyBallCurvature|2|2|3.0405
112|HeavyBallCurvature|2|3|2.4809
113|HeavyBallCurvature|2|4|1.825
114|HeavyBallCurvature|2|5|1.083
115|HeavyBallCurvature|2|6|0.5652
116|HeavyBallCurvature|2|7|0.3852
117|HeavyBallCurvature|2|8|0.3049
118|HeavyBallCurvature|2|9|0.2545
119|HeavyBallCurvature|2|10|0.2203
120|NAG|1|1|3.9991
121|NAG|1|2|3.4023
122|NAG|1|3|3.1181
123|NAG|1|4|2.8741
124|NAG|1|5|2.6466
125|NAG|1|6|2.4162
126|NAG|1|7|2.1897
127|NAG|1|8|1.9589
128|NAG|1|9|1.7232
129|NAG|1|10|1.4668
130|NAG|2|1|4.0006
131|NAG|2|2|3.4186
132|NAG|2|3|3.1338
133|NAG|2|4|2.9226
134|NAG|2|5|2.7317
135|NAG|2|6|2.5403
136|NAG|2|7|2.3379
137|NAG|2|8|2.1188
138|NAG|2|9|1.8869
139|NAG|2|10|1.651
140|NAGCurvature|1|1|3.6678
141|NAGCurvature|1|2|2.907
142|NAGCurvature|1|3|2.2478
143|NAGCurvature|1|4|1.4417
144|NAGCurvature|1|5|0.6771
145|NAGCurvature|1|6|0.3869
146|NAGCurvature|1|7|0.2884
147|NAGCurvature|1|8|0.2302
148|NAGCurvature|1|9|0.2002
149|NAGCurvature|1|10|0.1427
