Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,1904.24609375,3271.3515625,8.0966796875,32.443359375,22.0,86.0
SimpleSGD,2,3279.74609375,3279.74609375,24.3466796875,32.443359375,62.0,94.0
SimpleSGD,3,3279.74609375,3279.74609375,24.3466796875,32.443359375,56.0,94.0
SimpleSGDCurvature,1,3302.578125,3302.69921875,24.3466796875,32.443359375,56.0,108.0
SimpleSGDCurvature,2,3302.69921875,3302.69921875,24.3466796875,32.443359375,56.0,108.0
SimpleSGDCurvature,3,3302.69921875,3302.69921875,24.3466796875,32.443359375,56.0,108.0
Adam,1,3331.8671875,3332.70703125,24.3466796875,48.63671875,56.0,108.0
Adam,2,3332.70703125,3332.70703125,24.3466796875,48.63671875,94.0,110.0
Adam,3,3332.70703125,3332.70703125,24.3466796875,48.63671875,94.0,110.0
AdamCurvature,1,3332.78515625,3332.9921875,24.3466796875,48.63671875,72.0,164.0
AdamCurvature,2,3332.9921875,3332.9921875,24.3466796875,48.63671875,92.0,156.0
AdamCurvature,3,3332.9921875,3332.9921875,24.3466796875,48.63671875,92.0,156.0
HeavyBall,1,3332.31640625,3332.31640625,24.3466796875,40.5400390625,92.0,96.0
HeavyBall,2,3332.31640625,3332.31640625,24.3466796875,40.5400390625,78.0,96.0
HeavyBall,3,3332.31640625,3332.31640625,24.3466796875,40.5400390625,78.0,96.0
HeavyBallCurvature,1,3333.65625,3333.65625,24.3466796875,40.5400390625,58.0,136.0
HeavyBallCurvature,2,3333.65625,3333.65625,24.3466796875,40.5400390625,78.0,150.0
HeavyBallCurvature,3,3333.65625,3333.65625,24.3466796875,40.5400390625,78.0,148.0
NAG,1,3333.65625,3333.65625,24.3466796875,40.5400390625,76.0,94.0
NAG,2,3333.65625,3333.65625,24.3466796875,40.5400390625,78.0,96.0
NAG,3,3333.65625,3333.65625,24.3466796875,40.5400390625,78.0,96.0
NAGCurvature,1,3333.65625,3333.65625,24.3466796875,40.5400390625,64.0,136.0
NAGCurvature,2,3333.65625,3333.65625,24.3466796875,40.5400390625,78.0,130.0
NAGCurvature,3,3333.65625,3333.65625,24.3466796875,40.5400390625,78.0,130.0
Adagrad,1,3333.65625,3333.65625,24.3466796875,40.5400390625,78.0,94.0
Adagrad,2,3333.65625,3333.65625,24.3466796875,40.5400390625,78.0,96.0
Adagrad,3,3333.65625,3333.65625,24.3466796875,40.5400390625,78.0,96.0
AdagradCurvature,1,3333.65625,3333.65625,24.3466796875,40.5400390625,64.0,136.0
AdagradCurvature,2,3333.65625,3333.65625,24.3466796875,40.5400390625,78.0,130.0
AdagradCurvature,3,3333.65625,3333.65625,24.3466796875,40.5400390625,78.0,130.0
Adadelta,1,3333.65625,3333.65625,24.3466796875,48.63671875,78.0,110.0
Adadelta,2,3333.65625,3333.65625,24.3466796875,48.63671875,92.0,110.0
Adadelta,3,3333.65625,3333.65625,24.3466796875,48.63671875,92.0,108.0
AdadeltaCurvature,1,3333.71875,3333.71875,24.3466796875,48.63671875,70.0,170.0
AdadeltaCurvature,2,3333.71875,3333.71875,24.3466796875,48.63671875,92.0,154.0
AdadeltaCurvature,3,3333.71875,3333.71875,24.3466796875,48.63671875,90.0,154.0
RMSProp,1,3333.71875,3333.71875,24.3466796875,40.5400390625,90.0,94.0
RMSProp,2,3333.71875,3333.71875,24.3466796875,40.5400390625,78.0,96.0
RMSProp,3,3333.71875,3333.71875,24.3466796875,40.5400390625,78.0,96.0
RMSPropCurvature,1,3333.71875,3333.71875,24.3466796875,40.5400390625,64.0,136.0
RMSPropCurvature,2,3333.71875,3333.71875,24.3466796875,40.5400390625,78.0,130.0
RMSPropCurvature,3,3333.71875,3333.71875,24.3466796875,40.5400390625,78.0,130.0
RMSPropMomentum,1,3333.71875,3333.71875,24.3466796875,48.63671875,78.0,108.0
RMSPropMomentum,2,3333.71875,3333.71875,24.3466796875,48.63671875,94.0,110.0
RMSPropMomentum,3,3333.71875,3333.71875,24.3466796875,48.63671875,94.0,110.0
RMSPropMomentumCurvature,1,3333.71875,3333.71875,24.3466796875,48.63671875,72.0,164.0
RMSPropMomentumCurvature,2,3333.71875,3333.71875,24.3466796875,48.63671875,92.0,156.0
RMSPropMomentumCurvature,3,3333.71875,3333.71875,24.3466796875,48.63671875,92.0,156.0
AdamW,1,3333.71875,3333.71875,24.3466796875,48.63671875,92.0,108.0
AdamW,2,3333.71875,3333.71875,24.3466796875,48.63671875,94.0,110.0
AdamW,3,3333.71875,3333.71875,24.3466796875,48.63671875,94.0,110.0
AdamWCurvature,1,3333.71875,3333.71875,24.3466796875,48.63671875,72.0,164.0
AdamWCurvature,2,3333.71875,3333.71875,24.3466796875,48.63671875,92.0,156.0
AdamWCurvature,3,3333.71875,3333.71875,24.3466796875,48.63671875,92.0,156.0
NAdam,1,3333.71875,3333.71875,24.3466796875,48.63671875,92.0,108.0
NAdam,2,3333.71875,3333.71875,24.3466796875,48.63671875,94.0,110.0
NAdam,3,3333.71875,3333.71875,24.3466796875,48.63671875,94.0,110.0
NAdamCurvature,1,3333.71875,3333.71875,24.3466796875,48.63671875,72.0,164.0
NAdamCurvature,2,3333.71875,3333.92578125,24.3466796875,48.63671875,92.0,156.0
