,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,2.2930674827312263
1,SimpleSGD,1,2,2.265744362645747
2,SimpleSGD,1,3,2.2123243982529703
3,SimpleSGD,1,4,2.123018309893206
4,SimpleSGD,1,5,2.033635014920588
5,SimpleSGD,1,6,1.955019370826614
6,SimpleSGD,1,7,1.8877634392370044
7,SimpleSGD,1,8,1.8342060429970626
8,SimpleSGD,1,9,1.790475232217013
9,SimpleSGD,1,10,1.7529799717161663
10,SimpleSGD,2,1,2.293747093976306
11,SimpleSGD,2,2,2.27037968690438
12,SimpleSGD,2,3,2.2240830992188907
13,SimpleSGD,2,4,2.145386593421097
14,SimpleSGD,2,5,2.070780708509333
15,SimpleSGD,2,6,2.014352836572301
16,SimpleSGD,2,7,1.9638787588804885
17,SimpleSGD,2,8,1.9111705198312354
18,SimpleSGD,2,9,1.857767088333969
19,SimpleSGD,2,10,1.8093177037470787
20,SimpleSGD,3,1,2.288298738277172
21,SimpleSGD,3,2,2.2571166637913347
22,SimpleSGD,3,3,2.1989248341611582
23,SimpleSGD,3,4,2.1156852355088724
24,SimpleSGD,3,5,2.0459532935905944
25,SimpleSGD,3,6,1.990101340176809
26,SimpleSGD,3,7,1.933992591660346
27,SimpleSGD,3,8,1.876558495452032
28,SimpleSGD,3,9,1.8226449789903354
29,SimpleSGD,3,10,1.7786717372172325
30,SimpleSGDCurvature,1,1,1.8982285710856737
31,SimpleSGDCurvature,1,2,1.6843924481240684
32,SimpleSGDCurvature,1,3,1.5933156505874966
33,SimpleSGDCurvature,1,4,1.532063105984417
34,SimpleSGDCurvature,1,5,1.4899249849721903
35,SimpleSGDCurvature,1,6,1.4572346737927488
36,SimpleSGDCurvature,1,7,1.4315977049300739
37,SimpleSGDCurvature,1,8,1.4101125701614048
38,SimpleSGDCurvature,1,9,1.3908629406748525
39,SimpleSGDCurvature,1,10,1.3739277380506705
40,SimpleSGDCurvature,2,1,1.8747428925445928
41,SimpleSGDCurvature,2,2,1.6195871389430503
42,SimpleSGDCurvature,2,3,1.521659806256404
43,SimpleSGDCurvature,2,4,1.458137144670462
44,SimpleSGDCurvature,2,5,1.4138981712138867
45,SimpleSGDCurvature,2,6,1.3780346573771114
46,SimpleSGDCurvature,2,7,1.351405337795882
47,SimpleSGDCurvature,2,8,1.327977718980721
48,SimpleSGDCurvature,2,9,1.3081261001127151
49,SimpleSGDCurvature,2,10,1.2910998734976629
50,SimpleSGDCurvature,3,1,1.9131889724365585
51,SimpleSGDCurvature,3,2,1.6646580485736622
52,SimpleSGDCurvature,3,3,1.5521980681077903
53,SimpleSGDCurvature,3,4,1.482053311889434
54,SimpleSGDCurvature,3,5,1.4356250628790892
55,SimpleSGDCurvature,3,6,1.4019785413656698
56,SimpleSGDCurvature,3,7,1.3766483370300449
57,SimpleSGDCurvature,3,8,1.3537864967075455
58,SimpleSGDCurvature,3,9,1.3340391598241714
59,SimpleSGDCurvature,3,10,1.3174616144136395
60,Adam,1,1,1.2788166869479372
61,Adam,1,2,0.8881996540004945
62,Adam,1,3,0.6966435724816968
63,Adam,1,4,0.5369698865258176
64,Adam,1,5,0.3768017436079967
65,Adam,1,6,0.236257080036356
66,Adam,1,7,0.13915318605559104
67,Adam,1,8,0.09690709488914179
68,Adam,1,9,0.07173747811680826
69,Adam,1,10,0.06342856794097901
70,Adam,2,1,1.287661954036454
71,Adam,2,2,0.8966487950985998
72,Adam,2,3,0.7070753784359568
73,Adam,2,4,0.5412037943482704
74,Adam,2,5,0.3841076518034996
75,Adam,2,6,0.24648291438989475
76,Adam,2,7,0.15115097593373197
77,Adam,2,8,0.09478055412554756
78,Adam,2,9,0.07312218978634233
79,Adam,2,10,0.07335814639635364
80,Adam,3,1,1.3099838899224616
81,Adam,3,2,0.9155760807606875
82,Adam,3,3,0.7164293437281533
83,Adam,3,4,0.547908861466381
84,Adam,3,5,0.3905766545544805
85,Adam,3,6,0.2554962306433474
86,Adam,3,7,0.1514539901319596
87,Adam,3,8,0.10157608793681616
88,Adam,3,9,0.07947078487499977
89,Adam,3,10,0.062034451742739895
90,AdamCurvature,1,1,1.2683227088140405
91,AdamCurvature,1,2,0.8789150922956979
92,AdamCurvature,1,3,0.6843449729101737
93,AdamCurvature,1,4,0.5260696943534915
94,AdamCurvature,1,5,0.36988518680529214
95,AdamCurvature,1,6,0.23857524494647675
96,AdamCurvature,1,7,0.15256854296540437
97,AdamCurvature,1,8,0.10623240131227409
98,AdamCurvature,1,9,0.08325419111815674
99,AdamCurvature,1,10,0.07110867824267282
100,AdamCurvature,2,1,1.3109693939576064
101,AdamCurvature,2,2,0.9080541055754322
102,AdamCurvature,2,3,0.7256379662191167
103,AdamCurvature,2,4,0.5775565388409988
104,AdamCurvature,2,5,0.4295847354375798
105,AdamCurvature,2,6,0.2978596130428869
106,AdamCurvature,2,7,0.19519693821268466
107,AdamCurvature,2,8,0.1339741125559944
108,AdamCurvature,2,9,0.09865184040154185
109,AdamCurvature,2,10,0.07813601884717013
110,AdamCurvature,3,1,1.2957243715863094
111,AdamCurvature,3,2,0.9180041509668541
112,AdamCurvature,3,3,0.7268519363439906
113,AdamCurvature,3,4,0.5652712863272108
114,AdamCurvature,3,5,0.41350167822045136
115,AdamCurvature,3,6,0.27784850806607614
116,AdamCurvature,3,7,0.1868983017676093
117,AdamCurvature,3,8,0.12205808330446367
118,AdamCurvature,3,9,0.08805816700143734
119,AdamCurvature,3,10,0.07264325884319699
120,HeavyBall,1,1,2.0703227152604886
121,HeavyBall,1,2,1.6717056375940134
122,HeavyBall,1,3,1.4649573245926586
123,HeavyBall,1,4,1.3468669146832908
124,HeavyBall,1,5,1.2620676657580354
125,HeavyBall,1,6,1.1908390804782243
126,HeavyBall,1,7,1.130229511300621
127,HeavyBall,1,8,1.0735743339256862
128,HeavyBall,1,9,1.022849953845334
129,HeavyBall,1,10,0.9722649285860379
130,HeavyBall,2,1,2.0895329480585842
131,HeavyBall,2,2,1.6956949246204114
132,HeavyBall,2,3,1.4895991440624228
133,HeavyBall,2,4,1.3695285914041806
