,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,4.543225997549189
1,SimpleSGD,1,2,4.295226826387293
2,SimpleSGD,1,3,3.9622529742053096
3,SimpleSGD,1,4,3.7549033024731804
4,SimpleSGD,1,5,3.6357983262337688
5,SimpleSGD,1,6,3.5433728505888253
6,SimpleSGD,1,7,3.4611825753965646
7,SimpleSGD,1,8,3.3873804755832837
8,SimpleSGD,1,9,3.3175118509156016
9,SimpleSGD,1,10,3.2553291272019487
10,SimpleSGD,2,1,4.543613113100876
11,SimpleSGD,2,2,4.311884284629237
12,SimpleSGD,2,3,3.988947466511251
13,SimpleSGD,2,4,3.769269187432116
14,SimpleSGD,2,5,3.643498638401861
15,SimpleSGD,2,6,3.5474642713356506
16,SimpleSGD,2,7,3.4632957795696795
17,SimpleSGD,2,8,3.385713042810445
18,SimpleSGD,2,9,3.3136413015063155
19,SimpleSGD,2,10,3.247027659355222
20,SimpleSGDCurvature,1,1,4.053236424160735
21,SimpleSGDCurvature,1,2,3.620555731341662
22,SimpleSGDCurvature,1,3,3.4291394046505395
23,SimpleSGDCurvature,1,4,3.277244976719322
24,SimpleSGDCurvature,1,5,3.1528391749657634
25,SimpleSGDCurvature,1,6,3.0451359337248154
26,SimpleSGDCurvature,1,7,2.9456603112428086
27,SimpleSGDCurvature,1,8,2.8503801658025485
28,SimpleSGDCurvature,1,9,2.760376035404937
29,SimpleSGDCurvature,1,10,2.6766225245907482
30,SimpleSGDCurvature,2,1,4.031444529743146
31,SimpleSGDCurvature,2,2,3.590739607810974
32,SimpleSGDCurvature,2,3,3.3908960368017405
33,SimpleSGDCurvature,2,4,3.2463544381548988
34,SimpleSGDCurvature,2,5,3.130105056116343
35,SimpleSGDCurvature,2,6,3.0266992899463
36,SimpleSGDCurvature,2,7,2.9260877422664477
37,SimpleSGDCurvature,2,8,2.8307081732298713
38,SimpleSGDCurvature,2,9,2.7414522919508504
39,SimpleSGDCurvature,2,10,2.65708392538378
40,Adam,1,1,3.5470773990806714
41,Adam,1,2,2.714597094699245
42,Adam,1,3,2.114114885897283
43,Adam,1,4,1.4753379065667271
44,Adam,1,5,0.8506409185926628
45,Adam,1,6,0.4262514591903028
46,Adam,1,7,0.25341957457401715
47,Adam,1,8,0.21784155222270496
48,Adam,1,9,0.1746316132566813
