optimizer,momentum,mean_accuracy,std_accuracy
SimpleSGD,,0.19929999999999998,0.0092
SimpleSGDCurvature,,0.3141,0.005199999999999982
Adam,,0.29069999999999996,0.00020000000000000573
AdamCurvature,,0.29625,0.00495000000000001
HeavyBall,,0.32765,0.006450000000000011
HeavyBallCurvature,,0.2777,0.005400000000000016
NAG,,0.33175,0.0027500000000000024
NAGCurvature,,0.28464999999999996,0.002349999999999991
Adagrad,,0.28345,0.0010499999999999954
AdagradCurvature,,0.31065,0.0002500000000000002
Adadelta,,0.18035,5.000000000000837e-05
AdadeltaCurvature,,0.1861,0.00019999999999999185
RMSProp,,0.27764999999999995,0.009349999999999997
RMSPropCurvature,,0.30025,0.0015499999999999958
RMSPropMomentum,,0.28595,0.009149999999999991
RMSPropMomentumCurvature,,0.28159999999999996,0.0022999999999999965
AdamW,,0.30325,0.0045499999999999985
AdamWCurvature,,0.2979,0.005500000000000005
NAdam,,0.22449999999999998,0.010499999999999995
NAdamCurvature,,0.2343,0.0003999999999999976
NAdamW,,0.23385,0.0020499999999999963
NAdamWCurvature,,0.24164999999999998,0.0011499999999999982
AMSGrad,,0.31279999999999997,0.011300000000000004
AMSGradCurvature,,0.3144,0.012500000000000011
