Optimizer Name|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch10|Mean_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Mean_Training_Loss_epoch6|Mean_Training_Loss_epoch7|Mean_Training_Loss_epoch8|Mean_Training_Loss_epoch9|Std_Training_Loss_epoch1|Std_Training_Loss_epoch10|Std_Training_Loss_epoch2|Std_Training_Loss_epoch3|Std_Training_Loss_epoch4|Std_Training_Loss_epoch5|Std_Training_Loss_epoch6|Std_Training_Loss_epoch7|Std_Training_Loss_epoch8|Std_Training_Loss_epoch9
AMSGrad|1.2819800000000001|0.02794|0.88907|0.7014|0.54158|0.3906|0.25495|0.14925|0.08523|0.04969|0.014012359623640207|0.00920630218926144|0.01120407168051967|0.01570958659898825|0.02179993883783465|0.02730018314956881|0.029670084072831494|0.026246788163295117|0.01851180104089761|0.011389512720042065
Adadelta|1.39468|0.025890000000000003|0.8958299999999999|0.65212|0.43892999999999993|0.25351|0.13075|0.07229|0.04485|0.03332|0.01909617762799659|0.003847784355241916|0.01513274962163557|0.0158963168340622|0.016242198127100902|0.01824813232452388|0.012873594853204159|0.005381955448017425|0.00473878793692133|0.0026233142735436372
Adagrad|1.40167|0.57015|1.0485799999999998|0.9242100000000001|0.8446199999999999|0.78342|0.73164|0.68658|0.6447700000000001|0.60655|0.026045048580403046|0.0330900538933781|0.025661462675901074|0.024326869004365412|0.02577569052852363|0.026848331212365684|0.027744116493411703|0.028738081587561352|0.02942871047123881|0.03131479061260209
Adam|1.28201|0.06849|0.8886499999999999|0.70111|0.54125|0.38977|0.25539999999999996|0.15627|0.10261|0.0792|0.014615627101002329|0.0030399013141876852|0.011497366848302455|0.016812987704615676|0.022359400210599952|0.024862825887479303|0.026652287790064937|0.0203836563070624|0.011243017586237443|0.006793624462194928
AdamW|1.28297|0.0721|0.89133|0.70582|0.5479499999999999|0.39929000000000003|0.26578999999999997|0.16651|0.10913999999999999|0.08238|0.015174983067902046|0.005125318418292552|0.013139512082941996|0.017747851200137513|0.023476761559749537|0.025600236544046053|0.028946903499722062|0.02227945989770249|0.014651446648330974|0.009524564731961945
HeavyBall|2.05205|0.96754|1.66006|1.45591|1.3402699999999999|1.25636|1.18772|1.12639|1.07008|1.01606|0.018321344564924007|0.010379916505765642|0.01840749847209008|0.014754392942819126|0.01380153373119576|0.013529983164972623|0.01161261765877483|0.011089178909589627|0.010561754904686357|0.010569473864756816
HeavyBallCurvature|1.40269|0.07969000000000001|0.9445600000000001|0.7195|0.52407|0.34443|0.21413000000000001|0.14384999999999998|0.11116|0.08777|0.00962155566077202|0.006752851249657435|0.008855029957914037|0.01092052094809481|0.010259093527207951|0.009235084069881435|0.00830181372418769|0.008091456399602395|0.009667494217450789|0.009284162141338698
NAG|2.05206|0.96745|1.66007|1.45591|1.3402800000000001|1.2563600000000001|1.18771|1.1264699999999999|1.0701|1.01608|0.01831964337353042|0.010421372270483387|0.018410326208709905|0.014713142273340361|0.01380135259071856|0.013540326600361023|0.011567814544387114|0.01104254902134872|0.010628891444235013|0.010555651461552603
NAGCurvature|1.40235|0.07542|0.94525|0.7195400000000001|0.52446|0.34506000000000003|0.21437|0.14606|0.11449000000000001|0.08816|0.009457301705854366|0.007993858753929651|0.009396955771832576|0.011130957830403547|0.010019780436716174|0.009636643030064403|0.007904014451178878|0.00710652282531103|0.0066026004977836825|0.007305431769124489
NAdam|1.24923|0.26345|0.84148|0.63823|0.46699|0.33681|0.27052|0.25099|0.24921000000000001|0.25102|0.01361894513780969|0.007426416812074755|0.011757531864960253|0.012631446648917313|0.016542769484648636|0.016949562432896807|0.010598092071479432|0.01041851450277075|0.007018934708660874|0.006678955340803264
NAdamW|1.25103|0.2601|0.84379|0.64046|0.4711|0.34007|0.27431|0.25244999999999995|0.2517|0.24687|0.01392887089625152|0.009889837657357606|0.011975665140423555|0.01510461298191161|0.020031974440878276|0.01841292118776015|0.014500915679899523|0.007740119149240807|0.010447328207090396|0.010034501593114736
RMSProp|2.10471|1.3581400000000001|1.43629|1.3645|1.3490600000000001|1.33368|1.3313700000000002|1.34255|1.3456800000000002|1.34704|0.0982347353140538|0.04737761309122931|0.03381056540984388|0.026430243619342163|0.0295422559884801|0.030231102453525442|0.033007273609177656|0.03647806799221205|0.034753186904225075|0.041849816141903314
RMSPropMomentum|2.11952|1.35604|1.46152|1.39133|1.3594300000000001|1.3450799999999998|1.35128|1.3509600000000002|1.35019|1.3490600000000001|0.09375817356962061|0.05028030760977238|0.027439136688719282|0.027753560332164806|0.03157062805133209|0.028273929884455595|0.02635905073320273|0.025537997833294062|0.03412465547241631|0.046054947858207615
Shampoo|2.159275|1.2568333333333335|1.83365|1.664125|1.5736666666666668|1.5073333333333334|1.4487666666666668|1.3975666666666668|1.348766666666667|1.3030333333333333|0.017973939468018545|0.02403462779685463|0.01910017451927245|0.013953583769053757|0.01695415386662894|0.018799024797402097|0.021840634911406177|0.02422608786687059|0.024234754657997494|0.023153689410833313
SimpleSGD|2.29134|1.77499|2.2595300000000003|2.2017499999999997|2.1191400000000002|2.04054|1.9727799999999998|1.91175|1.85903|1.81418|0.003690287552782459|0.020216959327367806|0.013392954200706417|0.02798091611557192|0.03272026894755004|0.026718083763623376|0.023861908277978613|0.024978490747040748|0.024455903627186262|0.022597040120826008
SimpleSGDCurvature|1.56316|0.060770000000000005|1.1051600000000001|0.8862099999999999|0.71951|0.56559|0.41867|0.28037|0.17126999999999998|0.10175000000000001|0.011545773637521642|0.006386104707357476|0.012880838482024442|0.009464723979070918|0.007968193716966903|0.009519156125063464|0.01084896820490829|0.007689827335151588|0.006915208681674847|0.007135085454599994
