,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,0.6277988321745573
1,SimpleSGD,1,2,0.6102964691261747
2,SimpleSGD,1,3,0.6098127313959065
3,SimpleSGD,1,4,0.6095310098199702
4,SimpleSGD,1,5,0.6087797397553031
5,SimpleSGD,1,6,0.6087243305658226
6,SimpleSGD,1,7,0.6082020808956516
7,SimpleSGD,1,8,0.6082401595898529
8,SimpleSGD,1,9,0.6076017573698244
9,SimpleSGD,1,10,0.607569299749474
10,SimpleSGD,2,1,0.6281778367597666
11,SimpleSGD,2,2,0.6125014108508381
12,SimpleSGD,2,3,0.6113817736284056
13,SimpleSGD,2,4,0.6113141699513392
14,SimpleSGD,2,5,0.611311102980998
15,SimpleSGD,2,6,0.610074490531167
16,SimpleSGD,2,7,0.6100978926936192
17,SimpleSGD,2,8,0.6095362541390889
18,SimpleSGD,2,9,0.6093115811027697
19,SimpleSGD,2,10,0.6086106616169659
20,SimpleSGD,3,1,0.6411263978303369
21,SimpleSGD,3,2,0.6171833863898889
22,SimpleSGD,3,3,0.6149810521460292
23,SimpleSGD,3,4,0.6132458977734865
24,SimpleSGD,3,5,0.6118202429653993
25,SimpleSGD,3,6,0.6110007949729463
26,SimpleSGD,3,7,0.6099337770867703
27,SimpleSGD,3,8,0.6095027022842151
28,SimpleSGD,3,9,0.6093367631755658
29,SimpleSGD,3,10,0.6091715208630064
30,SimpleSGD,4,1,0.6252430895371224
31,SimpleSGD,4,2,0.6129418237885432
32,SimpleSGD,4,3,0.6117054980192611
33,SimpleSGD,4,4,0.6111380600217563
34,SimpleSGD,4,5,0.6104151642144616
35,SimpleSGD,4,6,0.6103785031322223
36,SimpleSGD,4,7,0.6100679079988109
37,SimpleSGD,4,8,0.6092743642294585
38,SimpleSGD,4,9,0.609320509789595
39,SimpleSGD,4,10,0.6087569649984588
40,SimpleSGD,5,1,0.6318959722768015
41,SimpleSGD,5,2,0.6170811915575568
42,SimpleSGD,5,3,0.6149678844124523
43,SimpleSGD,5,4,0.6129296244080387
44,SimpleSGD,5,5,0.6122425756792524
45,SimpleSGD,5,6,0.6113780874814561
46,SimpleSGD,5,7,0.6103101128072881
47,SimpleSGD,5,8,0.6102821804694275
48,SimpleSGD,5,9,0.6097362719809831
49,SimpleSGD,5,10,0.608952326561088
50,SimpleSGD,6,1,0.6230419487205904
51,SimpleSGD,6,2,0.6132510815983387
52,SimpleSGD,6,3,0.6126457692971871
53,SimpleSGD,6,4,0.6122629119833903
54,SimpleSGD,6,5,0.6118411137096917
55,SimpleSGD,6,6,0.6116332542985233
56,SimpleSGD,6,7,0.6113530506393803
57,SimpleSGD,6,8,0.6107709241002354
58,SimpleSGD,6,9,0.6105157121348737
59,SimpleSGD,6,10,0.6102979834844817
60,SimpleSGD,7,1,0.6321853470446458
61,SimpleSGD,7,2,0.6153579794648868
62,SimpleSGD,7,3,0.6135704448418831
63,SimpleSGD,7,4,0.6123248082933141
64,SimpleSGD,7,5,0.6118284225908678
65,SimpleSGD,7,6,0.6108925889677076
66,SimpleSGD,7,7,0.6104265371365334
67,SimpleSGD,7,8,0.6102479447179766
68,SimpleSGD,7,9,0.6099813195751674
69,SimpleSGD,7,10,0.6092979614414386
70,SimpleSGD,8,1,0.6237447426390292
71,SimpleSGD,8,2,0.6160244783803598
72,SimpleSGD,8,3,0.6143584318125426
73,SimpleSGD,8,4,0.6128376717887708
74,SimpleSGD,8,5,0.6119794563126209
75,SimpleSGD,8,6,0.6113118631626243
76,SimpleSGD,8,7,0.6104537884690868
77,SimpleSGD,8,8,0.6105211897572475
78,SimpleSGD,8,9,0.6096742740317956
79,SimpleSGD,8,10,0.6098103563287365
80,SimpleSGD,9,1,0.6250959056526867
81,SimpleSGD,9,2,0.6138634966380561
82,SimpleSGD,9,3,0.6126288680443123
83,SimpleSGD,9,4,0.6119502446989515
84,SimpleSGD,9,5,0.6115519208694572
85,SimpleSGD,9,6,0.6109950978364518
86,SimpleSGD,9,7,0.6103488238000158
87,SimpleSGD,9,8,0.6098777024603602
88,SimpleSGD,9,9,0.6095887725032977
