optimizer,momentum,mean_accuracy,std_accuracy
AdamCurvature,,0.6104854368932039,0.015020644354030055
HeavyBallCurvature,,0.6580582524271844,0.039388769498396294
NAGCurvature,,0.6580582524271844,0.039388769498396294
AdagradCurvature,,0.6710679611650485,0.00971650175005578
AdadeltaCurvature,,0.6854368932038835,0.0012280689942401678
RMSPropCurvature,,0.6100970873786408,0.029953305162366835
RMSPropMomentumCurvature,,0.6196116504854369,0.027658147732930162
AdamWCurvature,,0.6116504854368932,0.014711220912524917
NAdamCurvature,,0.6093203883495146,0.027167817370707108
NAdamWCurvature,,0.6093203883495145,0.025521980272850898
AMSGradCurvature,,0.6110679611650485,0.015918777723541427
