|Optimizer Name|Running loop number|Epoch number|Average Training Loss
0|SimpleSGD|1|1|0.6542
1|SimpleSGD|1|2|0.63
2|SimpleSGD|1|3|0.6226
3|SimpleSGD|1|4|0.6189
4|SimpleSGD|1|5|0.6169
5|SimpleSGD|1|6|0.6156
6|SimpleSGD|1|7|0.6148
7|SimpleSGD|1|8|0.614
8|SimpleSGD|1|9|0.6134
9|SimpleSGD|1|10|0.6128
10|SimpleSGD|2|1|0.6687
11|SimpleSGD|2|2|0.6328
12|SimpleSGD|2|3|0.6225
13|SimpleSGD|2|4|0.6181
14|SimpleSGD|2|5|0.6161
15|SimpleSGD|2|6|0.6148
16|SimpleSGD|2|7|0.6138
17|SimpleSGD|2|8|0.6131
18|SimpleSGD|2|9|0.6125
19|SimpleSGD|2|10|0.6123
20|SimpleSGD|3|1|0.6583
21|SimpleSGD|3|2|0.6299
22|SimpleSGD|3|3|0.6222
23|SimpleSGD|3|4|0.619
24|SimpleSGD|3|5|0.6168
25|SimpleSGD|3|6|0.616
26|SimpleSGD|3|7|0.6149
27|SimpleSGD|3|8|0.6139
28|SimpleSGD|3|9|0.6136
29|SimpleSGD|3|10|0.6127
30|SimpleSGD|4|1|0.6646
31|SimpleSGD|4|2|0.6277
32|SimpleSGD|4|3|0.619
33|SimpleSGD|4|4|0.6154
34|SimpleSGD|4|5|0.6139
35|SimpleSGD|4|6|0.6127
36|SimpleSGD|4|7|0.612
37|SimpleSGD|4|8|0.6113
38|SimpleSGD|4|9|0.6107
39|SimpleSGD|4|10|0.6106
40|SimpleSGD|5|1|0.671
41|SimpleSGD|5|2|0.633
42|SimpleSGD|5|3|0.6228
43|SimpleSGD|5|4|0.6187
44|SimpleSGD|5|5|0.6164
45|SimpleSGD|5|6|0.6149
46|SimpleSGD|5|7|0.614
47|SimpleSGD|5|8|0.6138
48|SimpleSGD|5|9|0.6128
49|SimpleSGD|5|10|0.6122
50|SimpleSGD|6|1|0.6575
51|SimpleSGD|6|2|0.6295
52|SimpleSGD|6|3|0.6212
53|SimpleSGD|6|4|0.6178
54|SimpleSGD|6|5|0.6159
55|SimpleSGD|6|6|0.6148
56|SimpleSGD|6|7|0.6138
57|SimpleSGD|6|8|0.6131
58|SimpleSGD|6|9|0.6126
59|SimpleSGD|6|10|0.6126
60|SimpleSGD|7|1|0.6739
61|SimpleSGD|7|2|0.6346
62|SimpleSGD|7|3|0.6231
63|SimpleSGD|7|4|0.6184
64|SimpleSGD|7|5|0.616
65|SimpleSGD|7|6|0.6147
66|SimpleSGD|7|7|0.6134
67|SimpleSGD|7|8|0.6131
68|SimpleSGD|7|9|0.6123
69|SimpleSGD|7|10|0.6119
70|SimpleSGD|8|1|0.6492
71|SimpleSGD|8|2|0.6255
72|SimpleSGD|8|3|0.619
73|SimpleSGD|8|4|0.6164
74|SimpleSGD|8|5|0.6147
75|SimpleSGD|8|6|0.6137
76|SimpleSGD|8|7|0.6132
77|SimpleSGD|8|8|0.6122
78|SimpleSGD|8|9|0.6117
79|SimpleSGD|8|10|0.6118
80|SimpleSGD|9|1|0.6531
81|SimpleSGD|9|2|0.6305
82|SimpleSGD|9|3|0.6227
83|SimpleSGD|9|4|0.6188
84|SimpleSGD|9|5|0.6166
85|SimpleSGD|9|6|0.6155
86|SimpleSGD|9|7|0.6142
87|SimpleSGD|9|8|0.6135
88|SimpleSGD|9|9|0.613
89|SimpleSGD|9|10|0.6127
90|SimpleSGD|10|1|0.6686
91|SimpleSGD|10|2|0.6311
92|SimpleSGD|10|3|0.6215
93|SimpleSGD|10|4|0.6177
94|SimpleSGD|10|5|0.6159
95|SimpleSGD|10|6|0.6146
96|SimpleSGD|10|7|0.6134
97|SimpleSGD|10|8|0.6128
98|SimpleSGD|10|9|0.6127
99|SimpleSGD|10|10|0.6122
100|SimpleSGDCurvature|1|1|0.6119
101|SimpleSGDCurvature|1|2|0.6083
102|SimpleSGDCurvature|1|3|0.6072
103|SimpleSGDCurvature|1|4|0.6056
104|SimpleSGDCurvature|1|5|0.604
105|SimpleSGDCurvature|1|6|0.6024
106|SimpleSGDCurvature|1|7|0.6002
107|SimpleSGDCurvature|1|8|0.5974
108|SimpleSGDCurvature|1|9|0.5941
109|SimpleSGDCurvature|1|10|0.5906
110|SimpleSGDCurvature|2|1|0.6115
111|SimpleSGDCurvature|2|2|0.6075
112|SimpleSGDCurvature|2|3|0.6058
113|SimpleSGDCurvature|2|4|0.6039
114|SimpleSGDCurvature|2|5|0.6022
115|SimpleSGDCurvature|2|6|0.5997
116|SimpleSGDCurvature|2|7|0.5971
117|SimpleSGDCurvature|2|8|0.5944
118|SimpleSGDCurvature|2|9|0.591
119|SimpleSGDCurvature|2|10|0.5892
120|SimpleSGDCurvature|3|1|0.6116
121|SimpleSGDCurvature|3|2|0.6082
122|SimpleSGDCurvature|3|3|0.6069
123|SimpleSGDCurvature|3|4|0.6059
124|SimpleSGDCurvature|3|5|0.6039
125|SimpleSGDCurvature|3|6|0.6022
126|SimpleSGDCurvature|3|7|0.5995
127|SimpleSGDCurvature|3|8|0.5955
128|SimpleSGDCurvature|3|9|0.5923
129|SimpleSGDCurvature|3|10|0.5884
130|SimpleSGDCurvature|4|1|0.611
131|SimpleSGDCurvature|4|2|0.6074
132|SimpleSGDCurvature|4|3|0.6065
133|SimpleSGDCurvature|4|4|0.6049
134|SimpleSGDCurvature|4|5|0.6038
135|SimpleSGDCurvature|4|6|0.6013
136|SimpleSGDCurvature|4|7|0.5995
137|SimpleSGDCurvature|4|8|0.597
138|SimpleSGDCurvature|4|9|0.5936
139|SimpleSGDCurvature|4|10|0.5909
140|SimpleSGDCurvature|5|1|0.6115
141|SimpleSGDCurvature|5|2|0.6078
142|SimpleSGDCurvature|5|3|0.606
143|SimpleSGDCurvature|5|4|0.6046
144|SimpleSGDCurvature|5|5|0.602
145|SimpleSGDCurvature|5|6|0.5996
146|SimpleSGDCurvature|5|7|0.5969
147|SimpleSGDCurvature|5|8|0.5944
148|SimpleSGDCurvature|5|9|0.591
149|SimpleSGDCurvature|5|10|0.5874
150|SimpleSGDCurvature|6|1|0.611
151|SimpleSGDCurvature|6|2|0.607
152|SimpleSGDCurvature|6|3|0.6052
153|SimpleSGDCurvature|6|4|0.6031
154|SimpleSGDCurvature|6|5|0.6003
155|SimpleSGDCurvature|6|6|0.5981
156|SimpleSGDCurvature|6|7|0.5945
157|SimpleSGDCurvature|6|8|0.5918
158|SimpleSGDCurvature|6|9|0.5887
159|SimpleSGDCurvature|6|10|0.5864
160|SimpleSGDCurvature|7|1|0.6107
161|SimpleSGDCurvature|7|2|0.6078
162|SimpleSGDCurvature|7|3|0.6064
163|SimpleSGDCurvature|7|4|0.6049
164|SimpleSGDCurvature|7|5|0.603
165|SimpleSGDCurvature|7|6|0.6005
166|SimpleSGDCurvature|7|7|0.5981
167|SimpleSGDCurvature|7|8|0.5958
168|SimpleSGDCurvature|7|9|0.5926
169|SimpleSGDCurvature|7|10|0.5898
170|SimpleSGDCurvature|8|1|0.6104
171|SimpleSGDCurvature|8|2|0.6076
172|SimpleSGDCurvature|8|3|0.6064
173|SimpleSGDCurvature|8|4|0.6056
174|SimpleSGDCurvature|8|5|0.6039
175|SimpleSGDCurvature|8|6|0.6024
176|SimpleSGDCurvature|8|7|0.6
177|SimpleSGDCurvature|8|8|0.5973
178|SimpleSGDCurvature|8|9|0.5947
179|SimpleSGDCurvature|8|10|0.5923
180|SimpleSGDCurvature|9|1|0.6114
181|SimpleSGDCurvature|9|2|0.6081
182|SimpleSGDCurvature|9|3|0.6068
183|SimpleSGDCurvature|9|4|0.6048
184|SimpleSGDCurvature|9|5|0.6025
185|SimpleSGDCurvature|9|6|0.6006
186|SimpleSGDCurvature|9|7|0.5978
187|SimpleSGDCurvature|9|8|0.5951
188|SimpleSGDCurvature|9|9|0.593
189|SimpleSGDCurvature|9|10|0.5902
190|SimpleSGDCurvature|10|1|0.6115
191|SimpleSGDCurvature|10|2|0.608
192|SimpleSGDCurvature|10|3|0.6062
193|SimpleSGDCurvature|10|4|0.6048
194|SimpleSGDCurvature|10|5|0.603
195|SimpleSGDCurvature|10|6|0.6011
196|SimpleSGDCurvature|10|7|0.5978
197|SimpleSGDCurvature|10|8|0.5946
198|SimpleSGDCurvature|10|9|0.5927
199|SimpleSGDCurvature|10|10|0.5895
200|Adam|1|1|0.6107
201|Adam|1|2|0.6083
202|Adam|1|3|0.6066
203|Adam|1|4|0.6068
204|Adam|1|5|0.5983
205|Adam|1|6|0.5873
206|Adam|1|7|0.5794
207|Adam|1|8|0.5609
208|Adam|1|9|0.5462
209|Adam|1|10|0.529
210|Adam|2|1|0.6112
211|Adam|2|2|0.6076
212|Adam|2|3|0.6043
213|Adam|2|4|0.5991
214|Adam|2|5|0.5918
215|Adam|2|6|0.579
216|Adam|2|7|0.5625
217|Adam|2|8|0.5489
218|Adam|2|9|0.5325
219|Adam|2|10|0.5205
220|Adam|3|1|0.6105
221|Adam|3|2|0.6085
222|Adam|3|3|0.6063
223|Adam|3|4|0.6035
224|Adam|3|5|0.5978
225|Adam|3|6|0.5934
226|Adam|3|7|0.5803
227|Adam|3|8|0.5703
228|Adam|3|9|0.5513
229|Adam|3|10|0.5433
230|Adam|4|1|0.6109
231|Adam|4|2|0.6082
232|Adam|4|3|0.6069
233|Adam|4|4|0.6053
234|Adam|4|5|0.604
235|Adam|4|6|0.6043
236|Adam|4|7|0.5993
237|Adam|4|8|0.5907
238|Adam|4|9|0.5822
239|Adam|4|10|0.5687
240|Adam|5|1|0.6102
241|Adam|5|2|0.6074
242|Adam|5|3|0.6063
243|Adam|5|4|0.6033
244|Adam|5|5|0.5968
245|Adam|5|6|0.5867
246|Adam|5|7|0.5678
247|Adam|5|8|0.5557
248|Adam|5|9|0.5342
249|Adam|5|10|0.5173
250|Adam|6|1|0.6103
251|Adam|6|2|0.6062
252|Adam|6|3|0.6004
253|Adam|6|4|0.5939
254|Adam|6|5|0.5857
255|Adam|6|6|0.5769
256|Adam|6|7|0.5613
257|Adam|6|8|0.545
258|Adam|6|9|0.5287
259|Adam|6|10|0.5153
260|Adam|7|1|0.6102
261|Adam|7|2|0.6067
262|Adam|7|3|0.6052
263|Adam|7|4|0.6018
264|Adam|7|5|0.5911
265|Adam|7|6|0.5834
266|Adam|7|7|0.5655
267|Adam|7|8|0.5488
268|Adam|7|9|0.5308
269|Adam|7|10|0.5128
270|Adam|8|1|0.6103
271|Adam|8|2|0.6085
272|Adam|8|3|0.6078
273|Adam|8|4|0.6081
274|Adam|8|5|0.6039
275|Adam|8|6|0.6024
276|Adam|8|7|0.5939
277|Adam|8|8|0.5789
278|Adam|8|9|0.5612
279|Adam|8|10|0.545
280|Adam|9|1|0.6103
281|Adam|9|2|0.6072
282|Adam|9|3|0.6043
283|Adam|9|4|0.5998
284|Adam|9|5|0.5923
285|Adam|9|6|0.5881
286|Adam|9|7|0.569
287|Adam|9|8|0.5565
288|Adam|9|9|0.5413
289|Adam|9|10|0.5277
290|Adam|10|1|0.6109
291|Adam|10|2|0.608
292|Adam|10|3|0.6068
293|Adam|10|4|0.605
294|Adam|10|5|0.6016
295|Adam|10|6|0.6004
296|Adam|10|7|0.5899
297|Adam|10|8|0.5839
298|Adam|10|9|0.563
299|Adam|10|10|0.5487
300|HeavyBall|1|1|0.6232
301|HeavyBall|1|2|0.6117
