|Optimizer Name|Running loop number|Epoch number|Average Training Loss
0|SimpleSGD|1|1|0.6087
1|SimpleSGD|1|2|0.6055
2|SimpleSGD|1|3|0.6047
3|SimpleSGD|1|4|0.6055
4|SimpleSGD|2|1|0.6136
5|SimpleSGD|2|2|0.6066
6|SimpleSGD|2|3|0.6059
7|SimpleSGD|2|4|0.6057
8|SimpleSGDCurvature|1|1|0.609
9|SimpleSGDCurvature|1|2|0.605
10|SimpleSGDCurvature|1|3|0.599
11|SimpleSGDCurvature|1|4|0.5987
12|SimpleSGDCurvature|2|1|0.6088
13|SimpleSGDCurvature|2|2|0.6072
14|SimpleSGDCurvature|2|3|0.6028
15|SimpleSGDCurvature|2|4|0.5993
16|Adam|1|1|0.6068
17|Adam|1|2|0.5958
18|Adam|1|3|0.5902
19|Adam|1|4|0.5872
20|Adam|2|1|0.6083
21|Adam|2|2|0.5993
22|Adam|2|3|0.5879
23|Adam|2|4|0.5851
24|HeavyBall|1|1|0.6069
25|HeavyBall|1|2|0.6039
26|HeavyBall|1|3|0.6019
27|HeavyBall|1|4|0.6009
28|HeavyBall|2|1|0.6089
29|HeavyBall|2|2|0.6055
30|HeavyBall|2|3|0.6024
31|HeavyBall|2|4|0.6005
32|HeavyBallCurvature|1|1|0.6087
33|HeavyBallCurvature|1|2|0.6081
34|HeavyBallCurvature|1|3|0.6053
35|HeavyBallCurvature|1|4|0.6088
36|HeavyBallCurvature|2|1|0.6093
37|HeavyBallCurvature|2|2|0.6084
38|HeavyBallCurvature|2|3|0.6088
39|HeavyBallCurvature|2|4|0.6076
40|NAG|1|1|0.6069
41|NAG|1|2|0.6039
42|NAG|1|3|0.6019
43|NAG|1|4|0.6009
44|NAG|2|1|0.6089
45|NAG|2|2|0.6055
46|NAG|2|3|0.6024
47|NAG|2|4|0.6005
48|NAGCurvature|1|1|0.6087
49|NAGCurvature|1|2|0.6082
50|NAGCurvature|1|3|0.6071
51|NAGCurvature|1|4|0.6082
52|NAGCurvature|2|1|0.6093
53|NAGCurvature|2|2|0.6084
54|NAGCurvature|2|3|0.6094
55|NAGCurvature|2|4|0.6087
56|Adagrad|1|1|0.6058
57|Adagrad|1|2|0.6041
58|Adagrad|1|3|0.6029
59|Adagrad|1|4|0.6036
60|Adagrad|2|1|0.6084
61|Adagrad|2|2|0.6057
62|Adagrad|2|3|0.6043
63|Adagrad|2|4|0.6037
64|Adadelta|1|1|0.6217
65|Adadelta|1|2|0.6107
66|Adadelta|1|3|0.6072
67|Adadelta|1|4|0.6069
68|Adadelta|2|1|0.6666
69|Adadelta|2|2|0.6235
70|Adadelta|2|3|0.612
71|Adadelta|2|4|0.6087
72|RMSProp|1|1|0.6051
73|RMSProp|1|2|0.5981
74|RMSProp|1|3|0.5939
75|RMSProp|1|4|0.5934
76|RMSProp|2|1|0.6092
77|RMSProp|2|2|0.5999
78|RMSProp|2|3|0.5943
79|RMSProp|2|4|0.5915
80|RMSPropMomentum|1|1|0.6073
81|RMSPropMomentum|1|2|0.5948
82|RMSPropMomentum|1|3|0.5898
83|RMSPropMomentum|1|4|0.5874
84|RMSPropMomentum|2|1|0.6095
85|RMSPropMomentum|2|2|0.6028
86|RMSPropMomentum|2|3|0.5913
87|RMSPropMomentum|2|4|0.5864
88|AdamW|1|1|0.6068
89|AdamW|1|2|0.5958
90|AdamW|1|3|0.5902
91|AdamW|1|4|0.5872
92|AdamW|2|1|0.6083
93|AdamW|2|2|0.6037
94|AdamW|2|3|0.5909
95|AdamW|2|4|0.5859
96|NAdam|1|1|0.6161
97|NAdam|1|2|0.6091
98|NAdam|1|3|0.6087
99|NAdam|1|4|0.6093
100|NAdam|2|1|0.6097
101|NAdam|2|2|0.609
102|NAdam|2|3|0.6094
103|NAdam|2|4|0.6092
104|NAdamW|1|1|0.6161
105|NAdamW|1|2|0.6098
106|NAdamW|1|3|0.6087
107|NAdamW|1|4|0.6092
108|NAdamW|2|1|0.6095
109|NAdamW|2|2|0.6089
110|NAdamW|2|3|0.6096
111|NAdamW|2|4|0.609
112|AMSGrad|1|1|0.6068
113|AMSGrad|1|2|0.5958
114|AMSGrad|1|3|0.5902
115|AMSGrad|1|4|0.5872
116|AMSGrad|2|1|0.6077
117|AMSGrad|2|2|0.5983
118|AMSGrad|2|3|0.5878
119|AMSGrad|2|4|0.5847
120|AdamCurvature|1|1|0.6068
121|AdamCurvature|1|2|0.5958
122|AdamCurvature|1|3|0.5902
123|AdamCurvature|1|4|0.5872
124|AdamCurvature|2|1|0.6083
125|AdamCurvature|2|2|0.5993
126|AdamCurvature|2|3|0.5879
127|AdamCurvature|2|4|0.5851
128|AdamCurvature|2|1|0.6073
129|AdamCurvature|2|2|0.6028
130|AdamCurvature|2|3|0.6003
131|AdamCurvature|2|4|0.5994
132|AdamCurvature|2|1|0.6137
133|AdamCurvature|2|1|0.6084
134|AdamCurvature|2|2|0.6057
135|AdamCurvature|2|3|0.6042
136|AdamCurvature|2|4|0.6036
137|AdadeltaCurvature|1|1|0.6271
138|AdadeltaCurvature|1|2|0.6167
139|AdadeltaCurvature|1|3|0.6116
140|AdadeltaCurvature|1|4|0.6098
141|AdadeltaCurvature|2|1|0.6886
142|AdadeltaCurvature|2|2|0.647
143|AdadeltaCurvature|2|3|0.6263
144|AdadeltaCurvature|2|4|0.617
145|RMSPropCurvature|1|1|0.608
146|RMSPropCurvature|1|2|0.5953
