Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,2855.125,3196.69140625,152.95166015625,322.1533203125,156.0,5764.0
SimpleSGD,2,3197.9921875,3197.9921875,169.20166015625,322.1533203125,676.0,5624.0
SimpleSGDCurvature,1,3199.1796875,3199.921875,169.20166015625,322.1533203125,524.0,6012.0
SimpleSGDCurvature,2,3200.6015625,3200.6015625,169.20166015625,322.1533203125,676.0,6138.0
Adam,1,3200.6796875,3201.30859375,169.20166015625,628.056640625,522.0,5860.0
Adam,2,3202.015625,3202.015625,169.20166015625,628.056640625,1074.0,5772.0
AdamCurvature,1,3201.7421875,3201.99609375,169.20166015625,628.056640625,832.0,6666.0
AdamCurvature,2,3202.02734375,3202.02734375,169.20166015625,628.056640625,1074.0,6792.0
HeavyBall,1,3201.7578125,3202.01171875,169.20166015625,475.10498046875,920.0,5624.0
HeavyBall,2,3202.04296875,3202.04296875,169.20166015625,475.10498046875,920.0,5624.0
HeavyBallCurvature,1,3201.75390625,3202.0078125,169.20166015625,475.10498046875,764.0,6628.0
HeavyBallCurvature,2,3202.0390625,3202.0390625,169.20166015625,475.10498046875,920.0,6572.0
NAG,1,3201.76171875,3202.015625,169.20166015625,475.10498046875,766.0,5586.0
NAG,2,3202.05859375,3202.05859375,169.20166015625,475.10498046875,918.0,5624.0
NAGCurvature,1,3201.76171875,3202.015625,169.20166015625,475.10498046875,764.0,6474.0
NAGCurvature,2,3202.04296875,3202.04296875,169.20166015625,475.10498046875,918.0,6572.0
Adagrad,1,3201.765625,3202.01953125,169.20166015625,475.10498046875,764.0,5586.0
Adagrad,2,3202.0546875,3202.0546875,169.20166015625,475.10498046875,918.0,5624.0
AdagradCurvature,1,3201.8046875,3202.05859375,169.20166015625,475.10498046875,764.0,6474.0
AdagradCurvature,2,3202.0859375,3202.0859375,169.20166015625,475.10498046875,918.0,6572.0
Adadelta,1,3201.8046875,3202.1171875,169.20166015625,628.056640625,764.0,5896.0
Adadelta,2,3202.15234375,3202.15234375,169.20166015625,628.056640625,1074.0,5692.0
AdadeltaCurvature,1,3201.875,3202.12890625,169.20166015625,628.056640625,832.0,6820.0
AdadeltaCurvature,2,3202.1640625,3202.1640625,169.20166015625,628.056640625,986.0,6792.0
RMSProp,1,3201.88671875,3202.140625,169.20166015625,475.10498046875,832.0,5652.0
RMSProp,2,3202.16796875,3202.16796875,169.20166015625,475.10498046875,742.0,5690.0
RMSPropCurvature,1,3201.8671875,3202.12109375,169.20166015625,475.10498046875,588.0,6358.0
RMSPropCurvature,2,3202.15625,3202.15625,169.20166015625,475.10498046875,830.0,6358.0
RMSPropMomentum,1,3201.8828125,3202.13671875,169.20166015625,628.056640625,676.0,5860.0
RMSPropMomentum,2,3202.1875,3202.1875,169.20166015625,628.056640625,1074.0,5772.0
RMSPropMomentumCurvature,1,3201.8984375,3202.66796875,169.20166015625,628.056640625,832.0,6666.0
RMSPropMomentumCurvature,2,3202.703125,3202.703125,169.20166015625,628.056640625,1074.0,6792.0
AdamW,1,3202.43359375,3202.6875,169.20166015625,628.056640625,920.0,5860.0
AdamW,2,3202.70703125,3202.70703125,169.20166015625,628.056640625,1074.0,5772.0
AdamWCurvature,1,3202.4375,3202.69140625,169.20166015625,628.056640625,832.0,6666.0
AdamWCurvature,2,3202.70703125,3202.70703125,169.20166015625,628.056640625,1074.0,6792.0
NAdam,1,3202.4296875,3202.68359375,169.20166015625,628.056640625,920.0,5860.0
NAdam,2,3202.70703125,3202.70703125,169.20166015625,628.056640625,1074.0,5772.0
NAdamCurvature,1,3202.4296875,3202.68359375,169.20166015625,628.056640625,832.0,6666.0
NAdamCurvature,2,3202.7265625,3202.7265625,169.20166015625,628.056640625,1074.0,6792.0
NAdamW,1,3202.421875,3202.67578125,169.20166015625,628.056640625,920.0,5860.0
NAdamW,2,3202.7265625,3202.7265625,169.20166015625,628.056640625,1074.0,5772.0
