,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,2.584392206077158
1,SimpleSGD,1,2,2.595671735540794
2,SimpleSGD,1,3,2.602011221168685
3,SimpleSGD,1,4,2.601081370437232
4,SimpleSGD,1,5,2.5969464300322707
5,SimpleSGD,2,1,2.588262525788189
6,SimpleSGD,2,2,2.597288748643694
7,SimpleSGD,2,3,2.603168749461209
8,SimpleSGD,2,4,2.6025476934265916
9,SimpleSGD,2,5,2.5987853660200635
10,SimpleSGDCurvature,1,1,1.071177198361252
11,SimpleSGDCurvature,1,2,1.176682666923008
12,SimpleSGDCurvature,1,3,1.1835657688568135
13,SimpleSGDCurvature,1,4,1.2596019529754527
14,SimpleSGDCurvature,1,5,1.2521737264222839
15,SimpleSGDCurvature,2,1,1.0955837507626844
16,SimpleSGDCurvature,2,2,1.2605008813569554
17,SimpleSGDCurvature,2,3,1.8643373487768762
18,SimpleSGDCurvature,2,4,1.4381983432983367
19,SimpleSGDCurvature,2,5,1.5297488033360238
20,Adam,1,1,2.539468408810794
21,Adam,1,2,2.5722136819449655
22,Adam,1,3,2.4043668021250815
23,Adam,1,4,2.484059886340677
24,Adam,1,5,2.656874708885694
25,Adam,2,1,2.6232063243145216
26,Adam,2,2,2.706982637191341
27,Adam,2,3,2.766106942274275
28,Adam,2,4,2.6570271824615714
29,Adam,2,5,2.5664488303400304
30,AdamCurvature,1,1,2.3608764431472906
31,AdamCurvature,1,2,2.6095553141875008
32,AdamCurvature,1,3,2.854304482370112
33,AdamCurvature,1,4,2.5691181986327587
34,AdamCurvature,1,5,2.9369129877890985
35,AdamCurvature,2,1,2.591661603663951
36,AdamCurvature,2,2,2.5443541302369486
37,AdamCurvature,2,3,2.8428268758919986
38,AdamCurvature,2,4,2.5738784094361495
39,AdamCurvature,2,5,2.711650874492896
40,HeavyBall,1,1,2.2728074711278405
41,HeavyBall,1,2,1.829873882669167
42,HeavyBall,1,3,1.5941704169024515
43,HeavyBall,1,4,1.5216045032670027
44,HeavyBall,1,5,1.4279085290040412
45,HeavyBall,2,1,2.251810064362566
46,HeavyBall,2,2,1.7254638796685822
47,HeavyBall,2,3,1.5225547903156194
48,HeavyBall,2,4,1.4419005028087728
49,HeavyBall,2,5,1.371504552798332
50,HeavyBallCurvature,1,1,2.212895129365425
51,HeavyBallCurvature,1,2,2.2462386353634787
52,HeavyBallCurvature,1,3,2.1430871939714864
53,HeavyBallCurvature,1,4,2.066025153489063
54,HeavyBallCurvature,1,5,2.1474249446458678
55,HeavyBallCurvature,2,1,2.1821244934329043
56,HeavyBallCurvature,2,2,2.249359030779587
57,HeavyBallCurvature,2,3,2.101372926611535
58,HeavyBallCurvature,2,4,1.9182364041271218
59,HeavyBallCurvature,2,5,2.0405036340889104
60,NAG,1,1,2.269302002596159
61,NAG,1,2,1.7823909868343468
62,NAG,1,3,1.5514619667762823
63,NAG,1,4,1.481328321851953
64,NAG,1,5,1.4002782380493888
65,NAG,2,1,2.2403880937201697
66,NAG,2,2,1.7950247001093234
67,NAG,2,3,1.5593941096406783
68,NAG,2,4,1.4908672830592977
69,NAG,2,5,1.3977411238163928
70,NAGCurvature,1,1,2.231492142322181
71,NAGCurvature,1,2,2.236452745375679
72,NAGCurvature,1,3,2.044588011733671
73,NAGCurvature,1,4,2.221618196682284
74,NAGCurvature,1,5,1.8902642746204443
75,NAGCurvature,2,1,2.1979475790417218
76,NAGCurvature,2,2,2.253635632798728
77,NAGCurvature,2,3,2.0375713908868116
78,NAGCurvature,2,4,2.125959071640034
79,NAGCurvature,2,5,2.152990037779303
