Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,1753.7421875,3243.41796875,42.70654296875,103.2548828125,64.0,2156.0
SimpleSGD,2,3244.83203125,3270.63671875,60.14404296875,103.4267578125,538.0,2226.0
SimpleSGDCurvature,1,3272.44140625,3273.37890625,58.95654296875,102.3017578125,624.0,2170.0
SimpleSGDCurvature,2,3273.6796875,3273.60546875,59.44091796875,102.9892578125,494.0,2196.0
Adam,1,3273.8203125,3274.51171875,58.95654296875,188.7421875,506.0,2154.0
Adam,2,3274.71484375,3274.43359375,59.53466796875,191.7265625,828.0,2244.0
AdamCurvature,1,3274.51953125,3274.6875,58.95654296875,189.5546875,1012.0,2230.0
AdamCurvature,2,3274.56640625,3275.0546875,59.95654296875,191.1640625,672.0,2212.0
HeavyBall,1,3274.79296875,3274.66796875,58.95654296875,148.11572265625,536.0,2160.0
HeavyBall,2,3274.86328125,3274.83984375,60.08154296875,149.02197265625,804.0,2226.0
HeavyBallCurvature,1,3274.6484375,3274.98828125,58.95654296875,148.74853515625,472.0,2158.0
HeavyBallCurvature,2,3274.73828125,3274.875,59.08154296875,146.66259765625,510.0,2198.0
NAG,1,3274.98046875,3274.703125,58.95654296875,148.38916015625,658.0,2156.0
NAG,2,3274.8828125,3275.12890625,61.24560546875,149.23291015625,634.0,2200.0
NAGCurvature,1,3275.1796875,3274.82421875,58.95654296875,147.77197265625,978.0,2194.0
NAGCurvature,2,3275.140625,3275.0234375,59.45654296875,147.05322265625,332.0,2180.0
Adagrad,1,3274.796875,3274.859375,58.95654296875,147.41259765625,532.0,2156.0
Adagrad,2,3275.19921875,3274.6640625,60.09716796875,147.30322265625,690.0,2206.0
AdagradCurvature,1,3274.92578125,3274.94921875,58.95654296875,146.70947265625,824.0,2226.0
AdagradCurvature,2,3275.06640625,3274.828125,59.20654296875,146.70947265625,482.0,2222.0
Adadelta,1,3274.90625,3274.90625,58.95654296875,189.8203125,654.0,2178.0
