,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,1.6752706957490822
1,SimpleSGD,2,1,1.66219247485462
2,SimpleSGDCurvature,1,1,1.1989778739841361
3,SimpleSGDCurvature,2,1,1.2094534461435518
4,Adam,1,1,0.9722108140587806
5,Adam,2,1,0.9336998733250719
6,AdamCurvature,1,1,1.0055369822602522
7,AdamCurvature,2,1,1.038653624136197
8,HeavyBall,1,1,1.0714476217564783
9,HeavyBall,2,1,1.0651552708525407
10,HeavyBallCurvature,1,1,1.0488459193392803
11,HeavyBallCurvature,2,1,1.0413560806136382
12,NAG,1,1,1.0435796945502884
13,NAG,2,1,1.0405755194394213
14,NAGCurvature,1,1,1.0469791624891132
15,NAGCurvature,2,1,1.08398192634708
16,Adagrad,1,1,0.7615501744182487
17,Adagrad,2,1,0.7716233971087556
18,AdagradCurvature,1,1,0.8098290803401094
19,AdagradCurvature,2,1,0.8090098771609758
20,Adadelta,1,1,1.837111348854868
21,Adadelta,2,1,1.7683715823449586
22,AdadeltaCurvature,1,1,1.4357744180842449
23,AdadeltaCurvature,2,1,1.4023923516273498
24,RMSProp,1,1,1.1375373463881644
25,RMSProp,2,1,1.166389662419495
26,RMSPropCurvature,1,1,1.1565462675533797
27,RMSPropCurvature,2,1,1.1556265043584923
28,RMSPropMomentum,1,1,1.1552006112901787
29,RMSPropMomentum,2,1,1.1503201861130563
30,RMSPropMomentumCurvature,1,1,1.1856830432226784
31,RMSPropMomentumCurvature,2,1,1.103484473495107
