Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
AMSGradCurvature,1,3164.80078125,3164.80078125,23.1572265625,48.0361328125,70.0,128.0
AMSGradCurvature,2,3164.80078125,3164.80078125,23.1572265625,48.0361328125,70.0,128.0
AMSGradCurvature,3,3164.80078125,3164.80078125,23.1572265625,48.0361328125,70.0,128.0
SimpleSGD,1,1777.8046875,3148.1171875,6.2197265625,29.376953125,22.0,64.0
SimpleSGD,2,3152.9921875,3152.9921875,23.1572265625,29.376953125,62.0,64.0
SimpleSGD,3,3152.9921875,3153.23828125,23.1572265625,29.376953125,62.0,64.0
SimpleSGDCurvature,1,3155.95703125,3155.95703125,23.1572265625,29.376953125,62.0,84.0
SimpleSGDCurvature,2,3155.95703125,3155.95703125,23.1572265625,29.376953125,42.0,84.0
SimpleSGDCurvature,3,3155.95703125,3155.95703125,23.1572265625,29.376953125,42.0,84.0
Adam,1,3157.2109375,3157.2109375,23.1572265625,41.81640625,42.0,84.0
Adam,2,3157.2109375,3157.2109375,23.1572265625,41.81640625,62.0,84.0
Adam,3,3157.2109375,3157.2109375,23.1572265625,41.81640625,62.0,92.0
AdamCurvature,1,3157.97265625,3157.97265625,23.1572265625,41.81640625,62.0,120.0
AdamCurvature,2,3157.97265625,3157.97265625,23.1572265625,41.81640625,82.0,120.0
AdamCurvature,3,3157.97265625,3157.97265625,23.1572265625,41.81640625,82.0,120.0
HeavyBall,1,3158.12890625,3158.12890625,23.1572265625,35.5966796875,82.0,86.0
HeavyBall,2,3158.12890625,3158.12890625,23.1572265625,35.5966796875,62.0,78.0
HeavyBall,3,3158.12890625,3158.12890625,23.1572265625,35.5966796875,56.0,86.0
HeavyBallCurvature,1,3158.16015625,3158.16015625,23.1572265625,35.5966796875,50.0,108.0
HeavyBallCurvature,2,3158.16015625,3158.16015625,23.1572265625,35.5966796875,76.0,100.0
HeavyBallCurvature,3,3158.16015625,3158.16015625,23.1572265625,35.5966796875,76.0,100.0
NAG,1,3158.17578125,3158.17578125,23.1572265625,35.5966796875,76.0,78.0
NAG,2,3158.17578125,3158.17578125,23.1572265625,35.5966796875,56.0,86.0
NAG,3,3158.17578125,3158.17578125,23.1572265625,35.5966796875,56.0,72.0
NAGCurvature,1,3158.21484375,3158.21484375,23.1572265625,35.5966796875,56.0,108.0
NAGCurvature,2,3158.21484375,3158.21484375,23.1572265625,35.5966796875,70.0,108.0
NAGCurvature,3,3158.21484375,3158.21484375,23.1572265625,35.5966796875,70.0,108.0
Adagrad,1,3158.25,3158.25,23.1572265625,35.5966796875,70.0,86.0
Adagrad,2,3158.25,3158.25,23.1572265625,35.5966796875,70.0,72.0
Adagrad,3,3158.25,3158.25,23.1572265625,35.5966796875,56.0,86.0
AdagradCurvature,1,3158.25390625,3158.25390625,23.1572265625,35.5966796875,50.0,108.0
AdagradCurvature,2,3158.25390625,3158.25390625,23.1572265625,35.5966796875,70.0,108.0
AdagradCurvature,3,3158.25390625,3158.25390625,23.1572265625,35.5966796875,70.0,108.0
Adadelta,1,3158.2734375,3158.2734375,23.1572265625,41.81640625,70.0,86.0
Adadelta,2,3158.2734375,3158.2734375,23.1572265625,41.81640625,56.0,86.0
Adadelta,3,3158.2734375,3158.2734375,23.1572265625,41.81640625,56.0,86.0
AdadeltaCurvature,1,3158.36328125,3158.36328125,23.1572265625,41.81640625,56.0,114.0
AdadeltaCurvature,2,3158.36328125,3158.36328125,23.1572265625,41.81640625,90.0,114.0
AdadeltaCurvature,3,3158.36328125,3158.36328125,23.1572265625,41.81640625,70.0,114.0
RMSProp,1,3158.37109375,3158.37109375,23.1572265625,35.5966796875,70.0,86.0
RMSProp,2,3158.37109375,3158.37109375,23.1572265625,35.5966796875,70.0,72.0
RMSProp,3,3158.37109375,3158.37109375,23.1572265625,35.5966796875,56.0,86.0
RMSPropCurvature,1,3158.37109375,3158.37109375,23.1572265625,35.5966796875,50.0,108.0
RMSPropCurvature,2,3158.37109375,3158.37109375,23.1572265625,35.5966796875,70.0,108.0
RMSPropCurvature,3,3158.37109375,3158.37109375,23.1572265625,35.5966796875,70.0,108.0
RMSPropMomentum,1,3158.41015625,3158.41015625,23.1572265625,41.81640625,70.0,86.0
RMSPropMomentum,2,3158.41015625,3158.41015625,23.1572265625,41.81640625,56.0,86.0
RMSPropMomentum,3,3158.41015625,3158.41015625,23.1572265625,41.81640625,56.0,86.0
RMSPropMomentumCurvature,1,3158.4140625,3158.4140625,23.1572265625,41.81640625,56.0,114.0
RMSPropMomentumCurvature,2,3158.4140625,3158.4140625,23.1572265625,41.81640625,90.0,114.0
RMSPropMomentumCurvature,3,3158.4140625,3158.4140625,23.1572265625,41.81640625,70.0,114.0
AdamW,1,3158.41796875,3158.41796875,23.1572265625,41.81640625,70.0,86.0
AdamW,2,3158.41796875,3158.41796875,23.1572265625,41.81640625,56.0,86.0
AdamW,3,3158.41796875,3158.41796875,23.1572265625,41.81640625,56.0,86.0
AdamWCurvature,1,3158.44140625,3158.44140625,23.1572265625,41.81640625,56.0,114.0
AdamWCurvature,2,3158.44140625,3158.44140625,23.1572265625,41.81640625,90.0,114.0
AdamWCurvature,3,3158.44140625,3158.44140625,23.1572265625,41.81640625,70.0,114.0
NAdam,1,3158.4453125,3158.4453125,23.1572265625,41.81640625,70.0,86.0
NAdam,2,3158.4453125,3158.4453125,23.1572265625,41.81640625,56.0,86.0
NAdam,3,3158.4453125,3158.4453125,23.1572265625,41.81640625,56.0,86.0
NAdamCurvature,1,3158.453125,3158.453125,23.1572265625,41.81640625,56.0,114.0
NAdamCurvature,2,3158.453125,3158.453125,23.1572265625,41.81640625,90.0,114.0
NAdamCurvature,3,3158.453125,3158.453125,23.1572265625,41.81640625,70.0,114.0
NAdamW,1,3158.48046875,3158.48046875,23.1572265625,41.81640625,70.0,86.0
NAdamW,2,3158.48046875,3158.48046875,23.1572265625,41.81640625,56.0,86.0
NAdamW,3,3158.48046875,3158.48046875,23.1572265625,41.81640625,56.0,86.0
NAdamWCurvature,1,3158.48828125,3158.48828125,23.1572265625,41.81640625,56.0,114.0
NAdamWCurvature,2,3158.48828125,3158.48828125,23.1572265625,41.81640625,90.0,114.0
NAdamWCurvature,3,3158.48828125,3158.48828125,23.1572265625,41.81640625,70.0,114.0
AMSGrad,1,3158.4921875,3158.4921875,23.1572265625,48.0361328125,70.0,92.0
AMSGrad,2,3158.4921875,3158.4921875,23.1572265625,48.0361328125,70.0,94.0
AMSGrad,3,3158.4921875,3158.4921875,23.1572265625,48.0361328125,70.0,92.0
AMSGradCurvature,1,3158.7578125,3158.7578125,23.1572265625,48.0361328125,70.0,128.0
AMSGradCurvature,2,3158.7578125,3158.7578125,23.1572265625,48.0361328125,90.0,128.0
AMSGradCurvature,3,3158.7578125,3158.7578125,23.1572265625,48.0361328125,90.0,128.0
