Optimizer Name|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Mean_Training_Loss_epoch6|Mean_Training_Loss_epoch7|Mean_Training_Loss_epoch8|Mean_Training_Loss_epoch9|Mean_Training_Loss_epoch10|Std_Training_Loss_epoch1|Std_Training_Loss_epoch2|Std_Training_Loss_epoch3|Std_Training_Loss_epoch4|Std_Training_Loss_epoch5|Std_Training_Loss_epoch6|Std_Training_Loss_epoch7|Std_Training_Loss_epoch8|Std_Training_Loss_epoch9|Std_Training_Loss_epoch10
AMSGrad|0.40685000000000004|0.25549|0.20695999999999998|0.17294|0.14382999999999999|0.11879999999999999|0.09657|0.07641|0.05965|0.04594|0.00698064785277444|0.005263385053577416|0.004852994493666316|0.004345163339213438|0.0045555948507790345|0.0042708313008125234|0.004305564874541885|0.004313660471880778|0.004337754155218011|0.003986142663444615
AMSGradCurvature|0.40668|0.25539999999999996|0.20673|0.173|0.14393|0.11857|0.09615|0.07605999999999999|0.05937|0.04598|0.007180807754006497|0.0052306787322488075|0.004883316268457102|0.004140048308896889|0.004338215198801355|0.004099064934022557|0.004292952881693954|0.004396261037644497|0.0037862470424771108|0.003618716776857664
Adadelta|2.1894199999999997|1.70383|1.12438|0.8712500000000001|0.7626000000000001|0.70338|0.66474|0.63631|0.61392|0.59548|0.02791705173863786|0.10946509387826686|0.07579527689770649|0.044972293939960675|0.032104205332012185|0.024942146392535388|0.02059353728182165|0.01775239889892817|0.01584464858836851|0.014345018492687833
AdadeltaCurvature|2.0593|1.42446|1.01243|0.83309|0.7432000000000001|0.68979|0.65384|0.6271899999999999|0.60622|0.5889300000000001|0.0277970022364523|0.04748310108753305|0.021148997874866605|0.01785699053903293|0.01828770078495382|0.01742070607065052|0.016330421509154838|0.015315964800748847|0.014377976986426922|0.013717875604885433
Adagrad|0.56663|0.43524|0.4027|0.3835|0.37033|0.36016|0.35221|0.34534000000000004|0.3395|0.33441|0.011787663042350653|0.008651679348863777|0.008247827996913273|0.007554689492847035|0.007321664959404926|0.007037392193766725|0.006777159352478668|0.00670127682692717|0.006620339031264867|0.006687210014481217
AdagradCurvature|0.56678|0.4354|0.40279|0.38353000000000004|0.37033|0.36011000000000004|0.35216|0.34525|0.33938999999999997|0.33433999999999997|0.011917102556130554|0.008767617185479254|0.008325122621719555|0.0076808636667152754|0.007391293677173303|0.007165263428513976|0.006895602463406176|0.006781715613815338|0.006739840090420868|0.0067862933754574625
Adam|0.40681|0.25622|0.20788|0.17377|0.14298|0.11608|0.09235|0.07153000000000001|0.05588|0.04428|0.007145076004572053|0.0055661277184212874|0.004759038184806302|0.004483810383541609|0.004609603501869165|0.0041582047408306715|0.0037068255361637384|0.0041158366234717225|0.003168525770063352|0.0027851989755371762
AdamCurvature|0.40668|0.25582000000000005|0.20781|0.17315|0.14257999999999998|0.11525|0.09207|0.07169|0.05571|0.04439|0.007097386060296363|0.005659760497484751|0.0051576157282217155|0.004635910554213343|0.004821433627275426|0.004507586198103515|0.0036092627748305884|0.00427978452209402|0.0035678969840634246|0.003015312771689052
AdamW|0.40709999999999996|0.25664|0.20873|0.17478|0.14447000000000002|0.11821999999999999|0.09504|0.07492|0.05892000000000001|0.04762|0.007105866121264404|0.005605394227388871|0.004784709442008413|0.004370049580191665|0.004627226190950927|0.004333794847218519|0.0037988887263982253|0.0028326665882168313|0.003449573242526611|0.002622467031886831
AdamWCurvature|0.40693999999999997|0.25646|0.20858|0.17438|0.14391|0.11742999999999999|0.09433|0.07406|0.05850999999999999|0.04685|0.007152963643755566|0.005691748413273378|0.0051109468572641|0.004369286745759163|0.004819508965306186|0.0041158366234717225|0.004042290329888628|0.003827735042496484|0.0030049773524752047|0.0029885894108536665
HeavyBall|0.92974|0.50178|0.43197|0.39172|0.36571|0.34661|0.32915|0.31573|0.30354000000000003|0.29369|0.03045967096925957|0.012855245362626631|0.009605791077377352|0.005792101902111576|0.003763700897314295|0.004606143240885537|0.0035901872436468435|0.003146797313671969|0.002671745164161822|0.0028687782920415604
HeavyBallCurvature|0.45649999999999996|0.2758|0.22730999999999998|0.19508|0.16776|0.14503|0.1234|0.10372999999999999|0.08578|0.07027|0.004313029355594774|0.0026816247148158316|0.0024378724786629532|0.0025667965335110657|0.0024482193075330894|0.0025416748633747613|0.0024321915129272916|0.002835117085569641|0.0026050378542781705|0.002726841885160683
NAG|0.92972|0.50179|0.43196|0.39170000000000005|0.36574|0.34656000000000003|0.32916|0.31569|0.30349|0.29363|0.030498116517436107|0.012827613443921148|0.009680587677294062|0.005849786320883857|0.003820180333148905|0.0046351794883142325|0.003604071771390429|0.0031426987694584277|0.00269833281861224|0.0028767458467279664
NAGCurvature|0.45657|0.27587|0.22734000000000001|0.19521|0.16798|0.14518999999999999|0.12378|0.10359|0.08579|0.07007|0.004411865314756958|0.002939784572606187|0.002505638086839799|0.0027143446108898275|0.0023630488780387077|0.0022417503082289166|0.0028361946336596835|0.0025557995052646644|0.00228008284449881|0.0028027962228222504
NAdam|0.38831|0.24332000000000004|0.19946|0.1702|0.14955000000000002|0.13371|0.12436|0.12043999999999999|0.11978|0.12342|0.006960914690853005|0.004208932300609157|0.0037008107219905196|0.0032427697352040786|0.003935663151801039|0.0029726344470108693|0.0031556650998200435|0.0035327672502507763|0.0031147676924255167|0.0046995980915629605
NAdamCurvature|0.38859|0.24298000000000003|0.19933|0.1696|0.14828000000000002|0.13293|0.1265|0.12112|0.12158|0.12134|0.007330067454593372|0.004190942614734779|0.0037715455128574976|0.0031205412635915927|0.00415499699157532|0.002874814003645375|0.004081938537291106|0.0027991268479851165|0.004267395771037257|0.007287615064843459
NAdamW|0.38848000000000005|0.24367|0.20004|0.17091|0.14992|0.13557|0.12627000000000002|0.12235|0.11977|0.12357|0.007167333302328469|0.004133615581761059|0.002868681462507355|0.0029308512225783246|0.003238243694075877|0.0026369384604962745|0.0020715265439337814|0.004134475648602722|0.004471154461906034|0.003952790856541178
NAdamWCurvature|0.3888|0.24336000000000002|0.20083|0.17273|0.15126|0.13734|0.12886|0.12539|0.12333000000000001|0.12434|0.007136136520866493|0.004350274576263999|0.0031340601993792806|0.0025875986293601772|0.0039618177646126036|0.0027996825216838766|0.0043571652354356385|0.0029815916703815957|0.0029918593252728693|0.003357313741007173
RMSProp|0.43818999999999997|0.26191|0.21403|0.18025|0.15194000000000002|0.12737|0.10567|0.08682000000000001|0.07059|0.05763|0.01605272216444576|0.008133804631153718|0.007117591665100713|0.00722514897962511|0.007977217560026806|0.008940799119144156|0.008821192915045246|0.009013422090292772|0.009000425915847913|0.007929978282161656
RMSPropCurvature|0.43761|0.26145|0.21342|0.17939|0.15098|0.12644|0.10432999999999999|0.08546000000000001|0.06942000000000001|0.05676|0.016189876809633595|0.007968026383267358|0.0071784863771317846|0.007329764283006955|0.008146137462353285|0.008571425396824808|0.008726976057668036|0.008693957032841194|0.008180573193718016|0.007511206442524547
