Optimizer Name|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Mean_Training_Loss_epoch6|Mean_Training_Loss_epoch7|Mean_Training_Loss_epoch8|Mean_Training_Loss_epoch9|Mean_Training_Loss_epoch10|Std_Training_Loss_epoch1|Std_Training_Loss_epoch2|Std_Training_Loss_epoch3|Std_Training_Loss_epoch4|Std_Training_Loss_epoch5|Std_Training_Loss_epoch6|Std_Training_Loss_epoch7|Std_Training_Loss_epoch8|Std_Training_Loss_epoch9|Std_Training_Loss_epoch10
SimpleSGD|4.734043131271998|4.710064013799031|4.685790657997131|4.668329705794652|4.650121062994003|4.631544460852941|4.615570068359375|4.601078987121582|4.585183163483937|4.571082005898158|0.018133684975894404|0.015465079661873526|0.015974433678598042|0.015109182560757866|0.014110762416869857|0.011271988595628946|0.01094938904812426|0.01069116770443057|0.010269254766918597|0.009941799708152914
SimpleSGDCurvature|4.707878361145656|4.615493545929591|4.5549822350343065|4.501919378836949|4.4477178653081255|4.384051620960236|4.322299202283223|4.2603590587774915|4.210223947962125|4.153380061189334|0.015358550268015926|0.014451438352320234|0.0263097368526414|0.04503829423983282|0.06716524567707069|0.09773362981732153|0.11999425197895962|0.1419544873002942|0.1481575643810416|0.1521514662941836
Adam|4.52725896735986|3.710602819919586|3.293794423341751|3.0194059858719506|2.782326564192772|2.600038692355156|2.419368304312229|2.2985856210192046|2.1299446001648903|2.029066060980161|0.037211550649698714|0.021018126477232373|0.015999542372987275|0.0228264734733439|0.06812751860286818|0.027812753944732784|0.05587334541319899|0.018847306808982802|0.03493946886122043|0.04499140043533677
AdamCurvature|4.543905903895696|3.78467104335626|3.321939080953598|2.978202869494756|2.773118923107783|2.540244624018669|2.4082014535864196|2.2326346759994826|2.1116765290498734|1.9638805439074833|0.02594874230194443|0.024603327843608223|0.023816846791183965|0.042089354571567025|0.10199580389699095|0.07128195515496749|0.04944664183513982|0.055393035628554174|0.08532060897791399|0.07960940051007859
HeavyBall|4.710004369417827|4.615839193264644|4.542529284954071|4.471933315197627|4.3971375326315565|4.320848981539409|4.229838718970616|4.148487617572148|4.071769058704376|3.995095357298851|0.009534891113284776|0.004465118052771514|0.023711707411688907|0.037495366177266586|0.04254555695253948|0.049993442092877136|0.055428840228457364|0.07212156728675542|0.06450381272467998|0.07137780731089913
HeavyBallCurvature|4.704978823661804|4.577308237552643|4.471992015838623|4.3648805022239685|4.2381116052468615|4.1050568123658495|3.9786932468414307|3.8488660951455436|3.7195722609758377|3.6138360102971396|0.006992416368280744|0.006843542198669833|0.015576930951597606|0.02900855650540398|0.06305891833649813|0.09328255688735707|0.10710567415532044|0.11335327390492923|0.11644493802485947|0.11920299809414228
NAG|4.7240540981292725|4.62212214867274|4.538214296102524|4.4630347192287445|4.376112421353658|4.285644481579463|4.203350881735484|4.126606608430545|4.046566034356753|3.9743956476449966|0.01413405524487393|0.01386319752588783|0.024605224487516068|0.022791269807096923|0.02418094184173626|0.030355541053639967|0.0279759791945677|0.030530278476306315|0.033065471946661006|0.030578278650703714
NAGCurvature|4.697870830694835|4.567383577426274|4.447898189226787|4.318035334348679|4.189920261502266|4.044710338115692|3.917918731768926|3.796193554997444|3.6800236652294793|3.5874108423789344|0.007123631941697605|0.01740779881359367|0.042616925100532436|0.08049118385764606|0.10281502066733188|0.09842164191586353|0.1169562982466369|0.10516157191587326|0.10092614334043391|0.10753265778240222
Adagrad|4.460916226108869|3.603734696904818|3.123014767964681|2.803501004974047|2.4967870066563287|2.280719796816508|2.0537129342556|1.829874853293101|1.6041975518067677|1.4508625889817874|0.02641408493294236|0.024240529087080312|0.021854490800219093|0.038576825700524425|0.04488193362065717|0.010428044558099656|0.02390825350606367|0.019383451074962952|0.018835698979966328|0.021059396081731557
AdagradCurvature|4.502056171496709|3.5883703182140985|3.068236211935679|2.7246249516805015|2.4577714651823044|2.2444833318392434|2.073342422644297|1.931820496916771|1.8073497315247853|1.6773489341139793|0.03261559253547575|0.054379519616454555|0.012505426472400211|0.015126162261232735|0.034519951999627395|0.04826698438048221|0.05474222521973|0.03169939474267146|0.03833466929136724|0.0501274322891322
