Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,1748.0546875,3266.72265625,42.88623046875,104.7392578125,64.0,2156.0
SimpleSGD,2,3274.23046875,3275.08203125,59.25341796875,105.8642578125,542.0,2158.0
SimpleSGD,3,3275.0859375,3274.921875,60.47998046875,105.0830078125,640.0,2228.0
SimpleSGDCurvature,1,3275.15625,3279.15625,59.13623046875,102.7080078125,642.0,2166.0
SimpleSGDCurvature,2,3280.296875,3280.18359375,60.01123046875,103.1298828125,378.0,2248.0
SimpleSGDCurvature,3,3280.1015625,3280.02734375,59.72998046875,102.9111328125,238.0,2166.0
Adam,1,3281.41015625,3282.02734375,59.13623046875,191.5859375,376.0,2162.0
Adam,2,3282.171875,3282.05078125,59.82373046875,191.5546875,870.0,2236.0
Adam,3,3282.19140625,3282.44921875,60.38623046875,190.2109375,888.0,2190.0
AdamCurvature,1,3282.2734375,3282.234375,59.13623046875,189.7578125,654.0,2208.0
AdamCurvature,2,3282.33203125,3282.21875,60.13623046875,189.8203125,446.0,2212.0
AdamCurvature,3,3282.2578125,3282.16796875,60.13623046875,189.8984375,878.0,2246.0
HeavyBall,1,3282.2109375,3282.29296875,59.13623046875,148.11572265625,460.0,2230.0
HeavyBall,2,3283.7890625,3284.16796875,59.37060546875,146.88916015625,550.0,2238.0
HeavyBall,3,3283.94921875,3284.13671875,61.33935546875,146.56103515625,726.0,2192.0
HeavyBallCurvature,1,3284.2734375,3283.89453125,59.13623046875,146.56103515625,578.0,2374.0
HeavyBallCurvature,2,3284.33984375,3284.0390625,61.01123046875,146.49853515625,650.0,2216.0
HeavyBallCurvature,3,3284.1875,3284.14453125,60.01123046875,144.81103515625,858.0,2424.0
NAG,1,3287.22265625,3288.33984375,59.13623046875,146.39697265625,406.0,2224.0
NAG,2,3288.39453125,3288.59765625,61.41748046875,149.31884765625,562.0,2200.0
NAG,3,3288.5703125,3288.62890625,59.26123046875,147.99853515625,466.0,2180.0
NAGCurvature,1,3288.26171875,3288.375,59.13623046875,146.31103515625,700.0,2176.0
NAGCurvature,2,3289.24609375,3289.3515625,59.63623046875,145.56103515625,464.0,2190.0
NAGCurvature,3,3291.1796875,3291.3828125,60.51123046875,145.18603515625,576.0,2216.0
Adagrad,1,3293.1328125,3293.88671875,59.13623046875,146.98291015625,440.0,2178.0
Adagrad,2,3293.546875,3293.72265625,61.01123046875,149.34228515625,726.0,2192.0
Adagrad,3,3293.80859375,3293.6328125,59.63623046875,148.57666015625,790.0,2206.0
AdagradCurvature,1,3293.78515625,3293.69140625,59.13623046875,146.56103515625,926.0,2188.0
AdagradCurvature,2,3293.609375,3293.8125,59.63623046875,148.93603515625,440.0,2228.0
AdagradCurvature,3,3293.61328125,3293.84375,59.13623046875,146.06103515625,490.0,2206.0
Adadelta,1,3293.5625,3293.84375,59.13623046875,189.8359375,416.0,2202.0
Adadelta,2,3293.75390625,3293.8203125,60.01123046875,191.1171875,754.0,2270.0
Adadelta,3,3293.734375,3293.68359375,59.38623046875,192.6875,682.0,2198.0
AdadeltaCurvature,1,3295.2109375,3295.6171875,59.13623046875,191.6328125,680.0,2214.0
AdadeltaCurvature,2,3295.15625,3295.46484375,59.52685546875,190.8671875,710.0,2224.0
AdadeltaCurvature,3,3295.4296875,3295.34375,59.26123046875,189.2734375,548.0,2384.0
RMSProp,1,3295.5234375,3295.67578125,59.13623046875,146.98291015625,548.0,2186.0
RMSProp,2,3297.1640625,3297.62890625,61.01123046875,149.34228515625,726.0,2192.0
RMSProp,3,3299.7421875,3299.71484375,59.63623046875,148.57666015625,790.0,2206.0
RMSPropCurvature,1,3299.94921875,3299.7421875,59.13623046875,146.81103515625,926.0,2188.0
RMSPropCurvature,2,3299.66015625,3299.80859375,59.26123046875,147.52978515625,414.0,2202.0
RMSPropCurvature,3,3299.578125,3299.98046875,59.26123046875,147.06103515625,648.0,2242.0
RMSPropMomentum,1,3299.55859375,3300.0078125,59.13623046875,189.2578125,464.0,2162.0
RMSPropMomentum,2,3299.69921875,3299.73046875,59.26123046875,191.0234375,730.0,2196.0
RMSPropMomentum,3,3299.8203125,3299.59765625,59.82373046875,191.8984375,816.0,2232.0
RMSPropMomentumCurvature,1,3299.83984375,3299.8359375,59.13623046875,190.5234375,902.0,2234.0
RMSPropMomentumCurvature,2,3300.05859375,3299.72265625,60.51123046875,191.7890625,538.0,2206.0
RMSPropMomentumCurvature,3,3299.71875,3299.8671875,59.40185546875,191.0859375,688.0,2256.0
AdamW,1,3299.66796875,3300.0,59.13623046875,189.8203125,600.0,2220.0
AdamW,2,3299.8203125,3299.62109375,59.63623046875,191.75,592.0,2190.0
AdamW,3,3299.54296875,3299.83984375,59.38623046875,189.8046875,782.0,2198.0
AdamWCurvature,1,3299.66796875,3299.8984375,59.13623046875,188.9453125,868.0,2200.0
AdamWCurvature,2,3299.55859375,3299.92578125,59.51123046875,190.1171875,660.0,2200.0
AdamWCurvature,3,3299.83203125,3299.80078125,60.13623046875,191.0703125,738.0,2206.0
NAdam,1,3299.85546875,3300.00390625,59.13623046875,189.8203125,552.0,2222.0
NAdam,2,3299.98046875,3299.98828125,59.63623046875,191.75,592.0,2190.0
NAdam,3,3299.8125,3299.69140625,59.38623046875,189.8046875,782.0,2198.0
NAdamCurvature,1,3299.8203125,3299.7734375,59.13623046875,190.0859375,868.0,2200.0
NAdamCurvature,2,3299.83203125,3299.74609375,59.63623046875,189.5390625,660.0,2250.0
NAdamCurvature,3,3299.91015625,3299.8671875,60.01123046875,188.5703125,760.0,2228.0
NAdamW,1,3300.140625,3300.08984375,59.13623046875,189.8203125,602.0,2222.0
NAdamW,2,3301.9609375,3302.18359375,59.63623046875,191.75,592.0,2190.0
NAdamW,3,3302.10546875,3302.140625,59.38623046875,189.8046875,782.0,2198.0
NAdamWCurvature,1,3302.21484375,3302.25390625,59.13623046875,189.9140625,868.0,2200.0
