,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,4.719290763139725
1,SimpleSGD,1,2,4.697644531726837
2,SimpleSGD,1,3,4.678588896989822
3,SimpleSGD,1,4,4.660991430282593
4,SimpleSGD,1,5,4.647605389356613
5,SimpleSGD,1,6,4.630535274744034
6,SimpleSGD,1,7,4.616803973913193
7,SimpleSGD,1,8,4.605552554130554
8,SimpleSGD,1,9,4.595932990312576
9,SimpleSGD,1,10,4.586936593055725
10,SimpleSGD,2,1,4.725756406784058
11,SimpleSGD,2,2,4.701279193162918
12,SimpleSGD,2,3,4.683241814374924
13,SimpleSGD,2,4,4.665517628192902
14,SimpleSGD,2,5,4.644650757312775
15,SimpleSGD,2,6,4.630952537059784
16,SimpleSGD,2,7,4.6155781745910645
17,SimpleSGD,2,8,4.604501843452454
18,SimpleSGD,2,9,4.591249018907547
19,SimpleSGD,2,10,4.57984060049057
20,SimpleSGD,3,1,4.736511170864105
21,SimpleSGD,3,2,4.7122581005096436
22,SimpleSGD,3,3,4.691511899232864
23,SimpleSGD,3,4,4.674942135810852
24,SimpleSGD,3,5,4.655075192451477
25,SimpleSGD,3,6,4.6406108140945435
26,SimpleSGD,3,7,4.626666963100433
27,SimpleSGD,3,8,4.612412750720978
28,SimpleSGD,3,9,4.598857074975967
29,SimpleSGD,3,10,4.587408870458603
30,SimpleSGDCurvature,1,1,4.694094687700272
31,SimpleSGDCurvature,1,2,4.628397285938263
32,SimpleSGDCurvature,1,3,4.5773657858371735
33,SimpleSGDCurvature,1,4,4.530433505773544
34,SimpleSGDCurvature,1,5,4.478609502315521
35,SimpleSGDCurvature,1,6,4.435391306877136
36,SimpleSGDCurvature,1,7,4.381480485200882
37,SimpleSGDCurvature,1,8,4.340301543474197
38,SimpleSGDCurvature,1,9,4.29940140247345
39,SimpleSGDCurvature,1,10,4.250116169452667
