Optimizer Name|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Mean_Training_Loss_epoch6|Mean_Training_Loss_epoch7|Mean_Training_Loss_epoch8|Mean_Training_Loss_epoch9|Mean_Training_Loss_epoch10|Std_Training_Loss_epoch1|Std_Training_Loss_epoch2|Std_Training_Loss_epoch3|Std_Training_Loss_epoch4|Std_Training_Loss_epoch5|Std_Training_Loss_epoch6|Std_Training_Loss_epoch7|Std_Training_Loss_epoch8|Std_Training_Loss_epoch9|Std_Training_Loss_epoch10
AMSGrad|4.553850000000001|3.71985|3.3072|3.0176|2.841875|2.6435750000000002|2.45965|2.327375|2.172425|2.032975|0.06324515791742479|0.06993208610263732|0.09484896766263005|0.07824427561596196|0.06033646630907938|0.08896127903007404|0.07914297189264512|0.10634438944611349|0.11926280154907173|0.06259362986758316
AMSGradCurvature|4.560325|3.721625|3.31425|3.013225|2.8391|2.640875|2.466675|2.33|2.1829|2.05945|0.059622220410402896|0.06267510803075398|0.07912523828294814|0.05008195782914241|0.0600753415859341|0.0834536348319631|0.06579682743111558|0.11082680181255775|0.12022703522918612|0.06809701412935314
Adadelta|4.748425|4.738525|4.727525|4.71705|4.707725|4.698375|4.68825|4.6789000000000005|4.6708|4.661325|0.021821759018618835|0.02026908565607536|0.019815377025599965|0.01827977023925598|0.017344811904428572|0.01797078647880109|0.016544989170944463|0.01671426536425354|0.014176271253989025|0.013235400762097534
AdadeltaCurvature|4.74725|4.7326|4.71645|4.70055|4.686075000000001|4.671225|4.65585|4.64105|4.62685|4.610725|0.021757527433051246|0.019965470192309737|0.01923720353897602|0.017542424765883045|0.01659605876907701|0.01719677779895565|0.016202366082355583|0.016470276257549793|0.013959584521038041|0.012978539979519522
Adagrad|4.442325|3.553325|3.06425|2.720575|2.466475|2.21675|2.0000999999999998|1.83825|1.665675|1.5002|0.060124003803251135|0.03693790961419816|0.06946641874555891|0.025435064379710392|0.046668860067501226|0.05375087596185471|0.060091707691938175|0.04860819546811709|0.05170095904977654|0.03677598854325104
AdagradCurvature|4.442925|3.5437250000000002|3.06585|2.7256|2.46975|2.224725|2.00065|1.844725|1.6696|1.4981499999999999|0.05479047210358151|0.03146038514280015|0.07407124948318344|0.03292000405022271|0.05714942402742715|0.055760641734709945|0.08207088399670126|0.05140015402052155|0.06087270871800168|0.05063098524289912
Adam|4.554225|3.7152000000000003|3.3026|3.024025|2.839525|2.63465|2.4641|2.319325|2.1783|2.05775|0.06139366824030006|0.07541405704508947|0.10016083732344365|0.0816185181193581|0.05572865062066365|0.08820432718032212|0.08798912811630014|0.11836630643895239|0.10504992463903373|0.08043268406976525
AdamCurvature|4.559025|3.7212|3.325925|3.024575|2.864125|2.6473750000000003|2.46015|2.3609|2.211625|2.0696|0.06293458905879969|0.06770691742109289|0.07886314623024716|0.06937225069627373|0.08197265296019975|0.06316461957984602|0.0710533367736287|0.09799033965992077|0.0869028720277222|0.05629600341054395
AdamW|4.556125|3.713075|3.30795|3.0315|2.84225|2.62925|2.453675|2.3164499999999997|2.199325|2.06785|0.05627974028606321|0.05782769665134528|0.08503671755973026|0.049348623756561245|0.03219528951052722|0.06744847416114547|0.10162917478099819|0.09600390617053038|0.11721323517419013|0.045124826869473784
AdamWCurvature|4.55875|3.708475|3.306425|3.00135|2.8240499999999997|2.619075|2.439425|2.31905|2.1731499999999997|2.029325|0.05779651085201152|0.07161416875637591|0.08936286980620083|0.056691945342055905|0.06567904282696792|0.09381220158735558|0.08819971182870544|0.09951189208665812|0.10844490152453762|0.053910009893030804
