|Optimizer Name|Momentum|Running loop number|Epoch number|Average Training Loss
0|SimpleSGD|0.0|1|1|1.8941
1|SimpleSGD|0.0|1|2|1.1946
2|SimpleSGD|0.0|2|1|1.9317
3|SimpleSGD|0.0|2|2|1.238
4|SimpleSGD|0.0|3|1|1.8849
5|SimpleSGD|0.0|3|2|1.1934
6|SimpleSGD|0.0|4|1|1.9097
7|SimpleSGD|0.0|4|2|1.2067
8|SimpleSGD|0.0|5|1|1.9084
9|SimpleSGD|0.0|5|2|1.2013
10|SimpleSGD|0.0|6|1|1.8934
11|SimpleSGD|0.0|6|2|1.2024
12|SimpleSGD|0.0|7|1|1.932
13|SimpleSGD|0.0|7|2|1.2345
14|SimpleSGD|0.0|8|1|1.8948
15|SimpleSGD|0.0|8|2|1.1949
16|SimpleSGD|0.0|9|1|1.8605
17|SimpleSGD|0.0|9|2|1.1622
18|SimpleSGD|0.0|10|1|1.9008
19|SimpleSGD|0.0|10|2|1.2148
20|SimpleSGDCurvature|0.0|1|1|0.3994
21|SimpleSGDCurvature|0.0|1|2|0.1759
22|SimpleSGDCurvature|0.0|2|1|0.3969
23|SimpleSGDCurvature|0.0|2|2|0.1773
24|SimpleSGDCurvature|0.0|3|1|0.3897
25|SimpleSGDCurvature|0.0|3|2|0.1759
26|SimpleSGDCurvature|0.0|4|1|0.3968
27|SimpleSGDCurvature|0.0|4|2|0.1751
28|SimpleSGDCurvature|0.0|5|1|0.3982
29|SimpleSGDCurvature|0.0|5|2|0.177
30|SimpleSGDCurvature|0.0|6|1|0.392
31|SimpleSGDCurvature|0.0|6|2|0.1746
32|SimpleSGDCurvature|0.0|7|1|0.3949
33|SimpleSGDCurvature|0.0|7|2|0.1789
34|SimpleSGDCurvature|0.0|8|1|0.403
35|SimpleSGDCurvature|0.0|8|2|0.177
36|SimpleSGDCurvature|0.0|9|1|0.3959
37|SimpleSGDCurvature|0.0|9|2|0.1775
38|SimpleSGDCurvature|0.0|10|1|0.3957
39|SimpleSGDCurvature|0.0|10|2|0.1768
40|Adam|0.0|1|1|0.387
41|Adam|0.0|1|2|0.1812
42|Adam|0.0|2|1|0.3877
43|Adam|0.0|2|2|0.1832
44|Adam|0.0|3|1|0.3916
45|Adam|0.0|3|2|0.1855
46|Adam|0.0|4|1|0.3862
47|Adam|0.0|4|2|0.1794
48|Adam|0.0|5|1|0.393
49|Adam|0.0|5|2|0.1833
50|Adam|0.0|6|1|0.3901
51|Adam|0.0|6|2|0.183
52|Adam|0.0|7|1|0.3921
53|Adam|0.0|7|2|0.1876
54|Adam|0.0|8|1|0.3904
55|Adam|0.0|8|2|0.1846
56|Adam|0.0|9|1|0.3897
57|Adam|0.0|9|2|0.1852
58|Adam|0.0|10|1|0.3908
59|Adam|0.0|10|2|0.1862
60|Adam|0.05|1|1|0.376
61|Adam|0.05|1|2|0.1772
62|Adam|0.05|2|1|0.387
63|Adam|0.05|2|2|0.1838
64|Adam|0.05|3|1|0.3858
65|Adam|0.05|3|2|0.1869
66|Adam|0.05|4|1|0.3883
67|Adam|0.05|4|2|0.182
68|Adam|0.05|5|1|0.3921
