Optimizer Name|Momentum|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Std_Training_Loss_epoch1|Std_Training_Loss_epoch2
AMSGrad|0.0|3.9042e-01|1.8365e-01|2.6029e-03|2.6027e-03
AMSGrad|0.05|3.8704e-01|1.8271e-01|5.0986e-03|3.3633e-03
AMSGrad|0.1|3.8362e-01|1.8178e-01|4.4723e-03|3.7276e-03
AMSGrad|0.15|3.8235e-01|1.8267e-01|3.2243e-03|3.3207e-03
AMSGrad|0.2|3.7953e-01|1.8250e-01|3.2904e-03|2.7536e-03
AMSGrad|0.25|3.7845e-01|1.8223e-01|3.8601e-03|3.7336e-03
AMSGrad|0.3|3.7878e-01|1.8376e-01|4.7185e-03|4.6912e-03
AMSGrad|0.35|3.7632e-01|1.8260e-01|3.9597e-03|3.2809e-03
AMSGrad|0.4|3.7849e-01|1.8622e-01|4.1786e-03|4.1737e-03
AMSGrad|0.45|3.7765e-01|1.8625e-01|5.5362e-03|4.6013e-03
AMSGrad|0.5|3.7720e-01|1.8609e-01|6.1657e-03|4.6013e-03
AMSGrad|0.55|3.7813e-01|1.8840e-01|5.0513e-03|3.4564e-03
AMSGrad|0.6|3.7865e-01|1.8883e-01|5.8092e-03|3.8604e-03
AMSGrad|0.65|3.7994e-01|1.9124e-01|6.3304e-03|5.1926e-03
AMSGrad|0.7|3.8155e-01|1.9309e-01|5.3560e-03|3.8780e-03
AMSGrad|0.75|3.8257e-01|1.9456e-01|5.0999e-03|4.1240e-03
AMSGrad|0.8|3.8358e-01|1.9658e-01|6.7764e-03|4.7590e-03
AMSGrad|0.85|3.8491e-01|1.9782e-01|5.2286e-03|4.8602e-03
AMSGrad|0.9|3.8619e-01|1.9953e-01|7.5853e-03|6.8830e-03
AMSGrad|0.95|3.8675e-01|2.0148e-01|4.8086e-03|3.9927e-03
AMSGradCurvature|0.0|3.8890e-01|1.8267e-01|2.3290e-03|3.0262e-03
AMSGradCurvature|0.05|3.8696e-01|1.8245e-01|5.5594e-03|3.4597e-03
AMSGradCurvature|0.1|3.8435e-01|1.8293e-01|2.7098e-03|2.7913e-03
AMSGradCurvature|0.15|3.8263e-01|1.8204e-01|3.1059e-03|2.7597e-03
AMSGradCurvature|0.2|3.7840e-01|1.8179e-01|4.5451e-03|3.1726e-03
AMSGradCurvature|0.25|3.7885e-01|1.8299e-01|3.4709e-03|2.6946e-03
AMSGradCurvature|0.3|3.7812e-01|1.8314e-01|5.3555e-03|4.3074e-03
AMSGradCurvature|0.35|3.7588e-01|1.8234e-01|2.8705e-03|2.5356e-03
AMSGradCurvature|0.4|3.7826e-01|1.8653e-01|4.6371e-03|4.2471e-03
AMSGradCurvature|0.45|3.7903e-01|1.8762e-01|5.5406e-03|5.1357e-03
AMSGradCurvature|0.5|3.7796e-01|1.8717e-01|6.7837e-03|5.5698e-03
AMSGradCurvature|0.55|3.7765e-01|1.8843e-01|5.3920e-03|3.7316e-03
AMSGradCurvature|0.6|3.7890e-01|1.8890e-01|5.7565e-03|4.9522e-03
AMSGradCurvature|0.65|3.8027e-01|1.9164e-01|6.6866e-03|4.9142e-03
AMSGradCurvature|0.7|3.8153e-01|1.9278e-01|4.9457e-03|3.3684e-03
AMSGradCurvature|0.75|3.8269e-01|1.9474e-01|5.0897e-03|3.9660e-03
AMSGradCurvature|0.8|3.8351e-01|1.9635e-01|6.3238e-03|4.7444e-03
AMSGradCurvature|0.85|3.8492e-01|1.9829e-01|5.7740e-03|5.0483e-03
AMSGradCurvature|0.9|3.8587e-01|1.9951e-01|6.7695e-03|6.2431e-03
AMSGradCurvature|0.95|3.8655e-01|2.0159e-01|5.1158e-03|5.2401e-03
Adadelta|0.0|6.3981e-01|3.5318e-01|5.2071e-02|4.7812e-02
Adadelta|0.05|4.4470e-01|2.2720e-01|6.9995e-03|5.6334e-03
Adadelta|0.1|4.2725e-01|2.1250e-01|5.3862e-03|5.2665e-03
Adadelta|0.15|4.1559e-01|2.0679e-01|3.4372e-03|3.6668e-03
Adadelta|0.2|4.0801e-01|2.0040e-01|3.5707e-03|4.4475e-03
Adadelta|0.25|4.0007e-01|1.9429e-01|4.0371e-03|2.9678e-03
Adadelta|0.3|3.9665e-01|1.9104e-01|2.6701e-03|2.1721e-03
Adadelta|0.35|3.9152e-01|1.8655e-01|2.5529e-03|2.1131e-03
Adadelta|0.4|3.8899e-01|1.8372e-01|3.4404e-03|3.6070e-03
Adadelta|0.45|3.8609e-01|1.8144e-01|3.8466e-03|2.5609e-03
Adadelta|0.5|3.8241e-01|1.7827e-01|2.6739e-03|3.5274e-03
Adadelta|0.55|3.8105e-01|1.7729e-01|3.5538e-03|3.9686e-03
Adadelta|0.6|3.7986e-01|1.7568e-01|3.1613e-03|2.8786e-03
Adadelta|0.65|3.7574e-01|1.7278e-01|2.9564e-03|1.8214e-03
Adadelta|0.7|3.7475e-01|1.7061e-01|2.7766e-03|3.3211e-03
Adadelta|0.75|3.7424e-01|1.7075e-01|4.0533e-03|3.4703e-03
Adadelta|0.8|3.7226e-01|1.6892e-01|4.0003e-03|2.9843e-03
Adadelta|0.85|3.7295e-01|1.6928e-01|2.4070e-03|2.8405e-03
Adadelta|0.9|3.7421e-01|1.7061e-01|3.0476e-03|2.8065e-03
Adadelta|0.95|3.7878e-01|1.7914e-01|4.8150e-03|3.6503e-03
AdadeltaCurvature|0.0|1.8641e+00|1.5128e+00|2.4850e-01|6.2839e-01
AdadeltaCurvature|0.05|4.7353e-01|2.7049e-01|6.1867e-03|5.1037e-03
AdadeltaCurvature|0.1|4.4061e-01|2.4370e-01|6.0285e-03|5.3250e-03
AdadeltaCurvature|0.15|4.2466e-01|2.2573e-01|5.3747e-03|4.2576e-03
AdadeltaCurvature|0.2|4.1201e-01|2.1462e-01|4.9174e-03|4.9517e-03
AdadeltaCurvature|0.25|4.0722e-01|2.0929e-01|5.6983e-03|2.7906e-03
AdadeltaCurvature|0.3|4.0118e-01|2.0099e-01|5.4238e-03|4.4031e-03
AdadeltaCurvature|0.35|3.9554e-01|1.9500e-01|3.1602e-03|2.4019e-03
AdadeltaCurvature|0.4|3.9172e-01|1.9168e-01|4.5136e-03|2.2305e-03
AdadeltaCurvature|0.45|3.8817e-01|1.8774e-01|1.8815e-03|2.9159e-03
AdadeltaCurvature|0.5|3.8642e-01|1.8490e-01|3.0151e-03|3.2741e-03
AdadeltaCurvature|0.55|3.8165e-01|1.7982e-01|3.5148e-03|3.0933e-03
AdadeltaCurvature|0.6|3.7805e-01|1.7745e-01|2.5864e-03|1.6202e-03
AdadeltaCurvature|0.65|3.7539e-01|1.7423e-01|2.4515e-03|2.0314e-03
