Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,2665.2265625,2969.94140625,46.53466796875,109.3193359375,50.0,1484.0
SimpleSGD,2,3002.5546875,3003.32421875,62.78466796875,109.3193359375,214.0,1106.0
SimpleSGD,3,3003.4765625,3003.4765625,62.78466796875,109.3193359375,208.0,1914.0
SimpleSGDCurvature,1,3005.01953125,3005.01953125,62.78466796875,109.3193359375,152.0,1650.0
SimpleSGDCurvature,2,3005.65625,3005.65625,62.78466796875,109.3193359375,200.0,836.0
SimpleSGDCurvature,3,3005.69140625,3005.69140625,62.78466796875,109.3193359375,200.0,1220.0
Adam,1,3006.0390625,3006.0390625,62.78466796875,202.388671875,198.0,1706.0
Adam,2,3006.421875,3006.421875,62.78466796875,202.388671875,334.0,1834.0
Adam,3,3006.453125,3006.453125,62.78466796875,202.388671875,308.0,1182.0
AdamCurvature,1,3006.47265625,3006.47265625,62.78466796875,202.388671875,298.0,1906.0
AdamCurvature,2,3006.4765625,3006.4765625,62.78466796875,202.388671875,344.0,1996.0
AdamCurvature,3,3006.48046875,3006.48046875,62.78466796875,202.388671875,324.0,1478.0
HeavyBall,1,3006.48046875,3006.48046875,62.78466796875,155.85400390625,270.0,1176.0
HeavyBall,2,3006.484375,3006.484375,62.78466796875,155.85400390625,270.0,1460.0
HeavyBall,3,3006.48828125,3006.48828125,62.78466796875,155.85400390625,268.0,1046.0
HeavyBallCurvature,1,3006.50390625,3006.50390625,62.78466796875,155.85400390625,212.0,2102.0
HeavyBallCurvature,2,3006.50390625,3006.50390625,62.78466796875,155.85400390625,282.0,1986.0
HeavyBallCurvature,3,3006.50390625,3006.50390625,62.78466796875,155.85400390625,282.0,2038.0
NAG,1,3006.50390625,3006.50390625,62.78466796875,155.85400390625,218.0,2188.0
NAG,2,3006.50390625,3006.50390625,62.78466796875,155.85400390625,264.0,1534.0
NAG,3,3006.50390625,3006.50390625,62.78466796875,155.85400390625,250.0,1544.0
NAGCurvature,1,3006.50390625,3006.50390625,62.78466796875,155.85400390625,202.0,1450.0
NAGCurvature,2,3006.50390625,3006.50390625,62.78466796875,155.85400390625,246.0,1722.0
NAGCurvature,3,3006.50390625,3006.50390625,62.78466796875,155.85400390625,260.0,1572.0
Adagrad,1,3006.50390625,3006.50390625,62.78466796875,155.85400390625,234.0,1346.0
Adagrad,2,3006.50390625,3006.50390625,62.78466796875,155.85400390625,270.0,1706.0
Adagrad,3,3006.50390625,3006.50390625,62.78466796875,155.85400390625,256.0,1610.0
AdagradCurvature,1,3006.50390625,3006.50390625,62.78466796875,155.85400390625,208.0,2464.0
AdagradCurvature,2,3006.50390625,3006.50390625,62.78466796875,155.85400390625,248.0,1400.0
AdagradCurvature,3,3006.50390625,3006.50390625,62.78466796875,155.85400390625,270.0,2406.0
Adadelta,1,3013.8359375,3013.8359375,62.78466796875,202.388671875,218.0,1394.0
Adadelta,2,3013.8359375,3013.8359375,62.78466796875,202.388671875,336.0,1880.0
Adadelta,3,3013.8359375,3013.8359375,62.78466796875,202.388671875,314.0,1826.0
AdadeltaCurvature,1,3013.8359375,3013.8359375,62.78466796875,202.388671875,250.0,1938.0
AdadeltaCurvature,2,3013.83984375,3013.83984375,62.78466796875,202.388671875,324.0,1716.0
AdadeltaCurvature,3,3013.83984375,3013.83984375,62.78466796875,202.388671875,318.0,1802.0
RMSProp,1,3013.83984375,3013.83984375,62.78466796875,155.85400390625,250.0,1300.0
RMSProp,2,3013.83984375,3013.83984375,62.78466796875,155.85400390625,250.0,1904.0
RMSProp,3,3013.83984375,3013.83984375,62.78466796875,155.85400390625,246.0,2062.0
RMSPropCurvature,1,3013.83984375,3013.83984375,62.78466796875,155.85400390625,198.0,2354.0
RMSPropCurvature,2,3013.83984375,3013.83984375,62.78466796875,155.85400390625,272.0,2042.0
RMSPropCurvature,3,3013.83984375,3013.83984375,62.78466796875,155.85400390625,264.0,2192.0
RMSPropMomentum,1,3013.83984375,3013.83984375,62.78466796875,202.388671875,216.0,1424.0
RMSPropMomentum,2,3013.83984375,3013.83984375,62.78466796875,202.388671875,332.0,1272.0
RMSPropMomentum,3,3013.83984375,3013.83984375,62.78466796875,202.388671875,312.0,1736.0
RMSPropMomentumCurvature,1,3013.83984375,3013.83984375,62.78466796875,202.388671875,264.0,1806.0
RMSPropMomentumCurvature,2,3013.83984375,3013.83984375,62.78466796875,202.388671875,330.0,1498.0
RMSPropMomentumCurvature,3,3013.83984375,3013.83984375,62.78466796875,202.388671875,332.0,2524.0
AdamW,1,3013.83984375,3013.83984375,62.78466796875,202.388671875,254.0,1686.0
AdamW,2,3013.83984375,3013.83984375,62.78466796875,202.388671875,320.0,1844.0
AdamW,3,3013.83984375,3013.83984375,62.78466796875,202.388671875,310.0,1838.0
AdamWCurvature,1,3013.83984375,3013.83984375,62.78466796875,202.388671875,262.0,2332.0
AdamWCurvature,2,3013.83984375,3013.83984375,62.78466796875,202.388671875,318.0,1262.0
AdamWCurvature,3,3013.83984375,3013.83984375,62.78466796875,202.388671875,332.0,1746.0
NAdam,1,3013.83984375,3013.83984375,62.78466796875,202.388671875,260.0,1314.0
NAdam,2,3013.83984375,3013.83984375,62.78466796875,202.388671875,318.0,1450.0
NAdam,3,3013.83984375,3013.83984375,62.78466796875,202.388671875,304.0,1902.0
NAdamCurvature,1,3013.83984375,3013.83984375,62.78466796875,202.388671875,256.0,2164.0
NAdamCurvature,2,3013.83984375,3013.83984375,62.78466796875,202.388671875,324.0,1810.0
NAdamCurvature,3,3013.83984375,3013.83984375,62.78466796875,202.388671875,322.0,1198.0
NAdamW,1,3013.83984375,3013.83984375,62.78466796875,202.388671875,262.0,1536.0
NAdamW,2,3013.83984375,3013.83984375,62.78466796875,202.388671875,310.0,1890.0
