|Peak CPU Memory (MB)|Peak CPU Memory (MB)|Peak GPU Memory Allocated (MB)|Peak GPU Memory Allocated (MB)|Peak GPU Memory Reserved (MB)|Peak GPU Memory Reserved (MB)
|mean|std|mean|std|mean|std
Optimizer Name||||||
AMSGrad|3014.01|0.14|248.92|0.0|1578.67|126.53
AMSGradCurvature|3014.09|0.0|248.92|0.0|2163.33|307.15
Adadelta|3013.84|0.0|202.39|0.0|1700.0|266.38
AdadeltaCurvature|3013.84|0.0|202.39|0.0|1818.67|111.93
Adagrad|3006.5|0.0|155.85|0.0|1554.0|186.42
AdagradCurvature|3006.5|0.0|155.85|0.0|2090.0|598.26
Adam|3006.3|0.23|202.39|0.0|1574.0|345.46
AdamCurvature|3006.48|0.0|202.39|0.0|1793.33|276.77
AdamW|3013.84|0.0|202.39|0.0|1789.33|89.54
AdamWCurvature|3013.84|0.0|202.39|0.0|1780.0|535.81
HeavyBall|3006.48|0.0|155.85|0.0|1227.33|211.72
HeavyBallCurvature|3006.5|0.0|155.85|0.0|2042.0|58.1
NAG|3006.5|0.0|155.85|0.0|1755.33|374.73
NAGCurvature|3006.5|0.0|155.85|0.0|1581.33|136.24
NAdam|3013.84|0.0|202.39|0.0|1555.33|307.83
NAdamCurvature|3013.84|0.0|202.39|0.0|1724.0|488.71
NAdamW|3013.84|0.0|202.39|0.0|1732.0|180.03
NAdamWCurvature|3013.84|0.0|202.39|0.0|1888.67|112.43
RMSProp|3013.84|0.0|155.85|0.0|1755.33|402.17
RMSPropCurvature|3013.84|0.0|155.85|0.0|2196.0|156.04
RMSPropMomentum|3013.84|0.0|202.39|0.0|1477.33|236.55
RMSPropMomentumCurvature|3013.84|0.0|202.39|0.0|1942.67|526.48
SimpleSGD|2992.25|19.32|109.32|0.0|1501.33|404.28
SimpleSGDCurvature|3005.46|0.38|109.32|0.0|1235.33|407.22
