,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,0.2934965473954635
1,SimpleSGD,1,2,0.13452677836503518
2,SimpleSGD,2,1,0.34651062601362653
3,SimpleSGD,2,2,0.15698532805875745
4,SimpleSGD,3,1,0.2814241103885119
5,SimpleSGD,3,2,0.12649295141782296
6,SimpleSGDCurvature,1,1,0.010730472893104739
7,SimpleSGDCurvature,1,2,0.00012533934480246262
8,SimpleSGDCurvature,2,1,0.011583108603234535
9,SimpleSGDCurvature,2,2,0.00012191068681041517
10,SimpleSGDCurvature,3,1,0.011889193787297104
11,SimpleSGDCurvature,3,2,0.00011745546991333052
12,Adam,1,1,0.009049361923948744
13,Adam,1,2,4.803995385080043e-05
14,Adam,2,1,0.008804712834821739
15,Adam,2,2,7.27219236706121e-05
16,Adam,3,1,0.011718844184368376
17,Adam,3,2,7.901036674539377e-05
18,AdamCurvature,1,1,0.008310158456646828
19,AdamCurvature,1,2,0.0016748860433582402
20,AdamCurvature,2,1,0.008584579140890006
21,AdamCurvature,2,2,0.0008403686668111673
22,AdamCurvature,3,1,0.006610728091039785
23,AdamCurvature,3,2,2.6498701115490307e-05
24,HeavyBall,1,1,0.10206570617778374
25,HeavyBall,1,2,0.011360478268869583
26,HeavyBall,2,1,0.08621991622259322
27,HeavyBall,2,2,0.007390514612519433
28,HeavyBall,3,1,0.09818317849532036
29,HeavyBall,3,2,0.01026560664367493
30,HeavyBallCurvature,1,1,0.007402535589920465
31,HeavyBallCurvature,1,2,5.404321418051212e-05
32,HeavyBallCurvature,2,1,0.0064848574505972775
33,HeavyBallCurvature,2,2,4.4583357449224526e-05
34,HeavyBallCurvature,3,1,0.006820396509264847
35,HeavyBallCurvature,3,2,4.0684420974636205e-05
36,NAG,1,1,0.09769679902745482
37,NAG,1,2,0.008517596348727128
38,NAG,2,1,0.09024838001474433
39,NAG,2,2,0.0049167017939517185
40,NAG,3,1,0.08562795594429878
41,NAG,3,2,0.006143056702099817
42,NAGCurvature,1,1,0.006991107507463758
43,NAGCurvature,1,2,5.1113710378791215e-05
44,NAGCurvature,2,1,0.006235379647557199
45,NAGCurvature,2,2,4.3235897104369146e-05
46,NAGCurvature,3,1,0.007435301775968371
47,NAGCurvature,3,2,4.832115315794534e-05
48,Adagrad,1,1,0.011462999528626462
49,Adagrad,1,2,0.002047315018091951
50,Adagrad,2,1,0.01218808884970615
51,Adagrad,2,2,0.002065923379953293
52,Adagrad,3,1,0.014014634017920708
53,Adagrad,3,2,0.002121293224165659
54,AdagradCurvature,1,1,0.008492135237205697
55,AdagradCurvature,1,2,0.001400759651833583
56,AdagradCurvature,2,1,0.008508184643657615
57,AdagradCurvature,2,2,0.0012386932688773565
58,AdagradCurvature,3,1,0.00934568494859049
59,AdagradCurvature,3,2,0.0008090301896915878
60,Adadelta,1,1,0.5441051588186523
61,Adadelta,1,2,0.3546268885092967
62,Adadelta,2,1,0.5322253717790784
63,Adadelta,2,2,0.3384291310520733
64,Adadelta,3,1,0.44670603555791516
65,Adadelta,3,2,0.2854767306076596
66,AdadeltaCurvature,1,1,0.26723778613692967
67,AdadeltaCurvature,1,2,0.08815273876918857
68,AdadeltaCurvature,2,1,0.2967557669676783
69,AdadeltaCurvature,2,2,0.10669393415379402
70,AdadeltaCurvature,3,1,0.26161714755665616
71,AdadeltaCurvature,3,2,0.09011385023898785
72,RMSProp,1,1,0.004517801914937914
73,RMSProp,1,2,0.007779552182489246
