|cifar-100|dbpedia|caltech101-resnet|amazon-review-polarity|cifar10|sogou-news|yelp|colabert|oxfordpet|reuters-large-batch|caltech101|fashionmnist|amazon-review-full|fashionmnist-largebatch|flowers102|agnews|mnist|eurosat|stl10-resnet|cola|stl10|imdb|reuters|Average Rank
AMSGrad|1.0|22.0|5.0|6.0|2.0|12.0|20.0|1.5|7.0|2.0|1.5|3.0|11.0|6.5|4.0|10.0|4.0|8.0|8.0|9.0|4.0|11.0|14.0|7.5
AMSGradCurvature|2.0|23.0|4.0|10.0|1.0|14.0|19.0|1.5|9.0|5.0|3.0|4.0|16.0|6.5|6.0|3.0|5.0|5.0|4.0|4.0|7.0|9.0|5.0|7.217391304347826
Adadelta|24.0|19.0|24.0|23.0|25.0|15.0|24.0|18.0|24.0|24.0|24.0|25.0|24.0|24.0|24.0|14.0|24.0|24.0|24.0|14.0|24.0|24.0|23.0|22.26086956521739
AdadeltaCurvature|23.0|21.0|22.0|17.0|24.0|21.0|22.0|23.0|22.0|21.0|23.0|24.0|19.0|22.0|23.0|12.0|25.0|22.0|22.0|23.0|22.0|23.0|24.0|21.73913043478261
Adagrad|21.0|15.0|16.0|14.0|20.0|11.0|9.0|14.0|1.0|10.0|21.0|22.0|10.0|21.0|2.0|1.0|22.0|2.0|1.0|8.0|19.0|15.0|11.0|12.434782608695652
AdagradCurvature|20.0|14.0|19.0|1.0|21.0|8.0|3.0||2.0|7.0|18.0|21.0|3.0|18.0|1.0|2.0|21.0|1.0|2.0|15.0|18.0|14.0|9.0|10.818181818181818
Adam|8.0|17.0|3.0|8.0|4.0|18.0|18.0|3.0|5.0|4.0|8.0|1.0|17.0|2.0|5.0|18.5|6.0|6.0|7.0|10.0|5.0|13.0|1.0|8.152173913043478
AdamCurvature|11.0|24.0|7.0|11.0|5.0|16.0|8.0|10.0|11.0|1.0|6.0|2.0|12.0|1.0|8.0|20.0|7.0|3.0|6.0|3.0|9.0|7.0|2.0|8.26086956521739
AdamW|9.0|18.0|6.0|12.0|7.0|17.0|4.0|5.0|8.0|6.0|7.0|6.0|18.0|5.0|7.0|11.0|8.0|4.0|3.0|11.0|6.0|5.0|3.0|8.08695652173913
AdamWCurvature|10.0|20.0|8.0|16.0|6.0|19.0|1.0|4.0|6.0|3.0|4.0|5.0|13.0|3.0|3.0|18.5|9.0|7.0|5.0|5.0|8.0|10.0|4.0|8.152173913043478
HeavyBall|19.0|8.5|20.0|9.0|19.0|9.5|12.0|12.5|20.0|18.5|19.0|19.0|1.0|20.0|21.0|16.0|19.0|10.0|20.0|20.5|20.0|19.5|16.0|16.043478260869566
HeavyBallCurvature|13.0|12.0|1.0|2.0|9.0|6.0|6.0|19.0|4.0|8.0|11.0|12.0|4.0|13.0|9.0|5.0|2.0|16.0|9.0|16.5|15.0|1.5|7.0|8.73913043478261
NAG|18.0|8.5|21.0|20.0|18.0|9.5|11.0|12.5|21.0|18.5|20.0|18.0|2.0|19.0|20.0|16.0|20.0|9.0|21.0|20.5|21.0|19.5|17.0|16.565217391304348
NAGCurvature|12.0|13.0|2.0|24.0|8.0|5.0|21.0|20.0|3.0|9.0|10.0|11.0|5.0|11.0|10.0|4.0|3.0|21.0|10.0|16.5|14.0|1.5|8.0|10.521739130434783
NAdam|17.0|7.0|11.0|15.0|17.0|22.0|16.0|22.0|12.0|22.0|17.0|14.0|21.0|12.0|12.0|23.0|15.0|14.0|14.0|12.0|2.0|21.0|22.0|15.652173913043478
NAdamCurvature|14.0|10.0|10.0|21.0|15.0|24.0|17.0|17.0|13.0|15.0|14.0|13.0|15.0|10.0|13.0|22.0|16.0|12.0|11.0|6.0|3.0|16.0|19.0|14.173913043478262
NAdamW|16.0|11.0|12.0|19.0|16.0|23.0|13.0|21.0|14.0|14.0|15.0|15.0|20.0|15.0|14.0|21.0|17.0|13.0|13.0|13.0|1.0|18.0|12.0|15.043478260869565
NAdamWCurvature|15.0|6.0|9.0|18.0|14.0|20.0|15.0|15.0|15.0|20.0|16.0|16.0|22.0|14.0|15.0||18.0|11.0|12.0|7.0|10.0|17.0|18.0|14.681818181818182
RMSProp|5.0|2.0|18.0|7.0|13.0|2.0|5.0|9.0|17.0|17.0|9.0|8.0|8.0|8.0|17.0|13.0|11.0|18.0|17.0|22.0|16.0|12.0|15.0|11.695652173913043
RMSPropCurvature|4.0|3.0|14.0|5.0|10.0|1.0|2.0|6.0|16.0|11.0|5.0|7.0|9.0|16.0|16.0|6.0|10.0|17.0|18.0|2.0|12.0|6.0|6.0|8.782608695652174
RMSPropMomentum|6.0|5.0|15.0|13.0|11.0|3.0|7.0|7.5|18.0|13.0|12.0|10.0|14.0|9.0|19.0|8.0|13.0|15.0|16.0|19.0|17.0|4.0|13.0|11.630434782608695
RMSPropMomentumCurvature|7.0|4.0|17.0|3.0|12.0|4.0|14.0|7.5|19.0|16.0|13.0|9.0|7.0|4.0|18.0|9.0|12.0|19.0|19.0|1.0|13.0|8.0|20.0|11.108695652173912
SimpleSGD|22.0|16.0|23.0|22.0|23.0|13.0|23.0|16.0|23.0|23.0|22.0|23.0|23.0|23.0|22.0|16.0|23.0|23.0|23.0|24.0|23.0|22.0|21.0|21.391304347826086
SimpleSGDCurvature|3.0|1.0|13.0|4.0|3.0|7.0|10.0|11.0|10.0|12.0|1.5|17.0|6.0|17.0|11.0|7.0|1.0|20.0|15.0|18.0|11.0|3.0|10.0|9.195652173913043
Shampoo|||||22.0|||||||20.0|||||14.0||25.0|||||20.25
