|Epoch_1|Epoch_2|Epoch_3|Epoch_4|Epoch_5|Epoch_6|Epoch_7|Epoch_8|Epoch_9|Epoch_10|Epoch_11|Epoch_12|Epoch_13|Epoch_14|Epoch_15|Epoch_16|Epoch_17|Epoch_18|Epoch_19|Epoch_20|Epoch_21|Epoch_22|Epoch_23|Epoch_24|Epoch_25|Epoch_26|Epoch_27|Epoch_28|Epoch_29|Epoch_30|Epoch_31|Epoch_32|Epoch_33|Epoch_34|Epoch_35|Epoch_36|Epoch_37|Epoch_38|Epoch_39|Epoch_40|Epoch_41|Epoch_42|Epoch_43|Epoch_44|Epoch_45|Epoch_46|Epoch_47|Epoch_48|Epoch_49|Epoch_50
AMSGrad|1.7335500000000001|1.09055|1.1058999999999999|1.10025|1.011275|0.967125|0.95575|0.942725|0.883075|0.8287499999999999|0.779225|1.38905|0.75975|0.7345|0.8007000000000001|0.7288|0.68365|0.6289|0.575975|0.53745|0.50315|0.457375|1.2637999999999998|0.41735|0.38862499999999994|0.36922499999999997|0.3554|0.312325|0.2736|0.230775|0.1973|0.165925|0.1428|1.1787999999999998|0.12605|0.11215|0.115325|0.10472500000000001|0.08884999999999996|0.07880000000000001|0.0683|0.06104999999999995|0.055875|0.051125000000000004|1.363575|0.048475|1.279275|1.207325|1.194525|1.1523999999999999
AMSGradCurvature|1.73345|1.0353750000000002|1.016325|0.983525|0.976575|0.981375|0.99175|0.925875|0.879525|0.920925|0.907875|1.3891499999999999|0.8427749999999999|0.7886000000000001|0.7369|0.68695|0.6389|0.6177|0.592425|0.560025|0.575025|0.6813250000000001|1.265025|0.694525|0.62535|0.5398|0.47302500000000003|0.4271499999999999|0.37165000000000004|0.33075|0.296725|0.26275000000000004|0.23802499999999993|1.18005|0.220525|0.20865|0.20124999999999998|0.18424999999999994|0.1855|0.16035|0.14|0.16299999999999995|0.137925|0.11635000000000001|1.1379499999999998|0.09882500000000001|1.1235249999999999|1.137475|1.1080249999999998|1.064175
Adadelta|3.0471500000000002|2.6003749999999997|2.5177|2.43335|2.352025|2.277875|2.2116|2.1538|2.1035|2.058675|2.018875|3.0119499999999997|1.983075|1.9506750000000002|1.921125|1.89435|1.8696000000000002|1.846975|1.825875|1.8065250000000002|1.78855|1.7721|2.9764749999999998|1.75635|1.7422499999999999|1.7285249999999999|1.716025|1.704125|1.6930999999999998|1.6831749999999999|1.67285|1.6642|1.655375|2.93925|1.64715|1.63955|1.633025|1.625625|1.619275|1.612925|1.60735|1.60155|1.596175|1.5913499999999998|2.8988750000000003|1.5864500000000001|2.8539|2.803025|2.744475|2.676775
AdadeltaCurvature|3.03545|2.165875|2.11465|2.0683249999999997|2.024925|1.98475|1.946075|1.9098000000000002|1.875175|1.8420999999999998|1.810875|2.9619|1.7812999999999999|1.7536500000000002|1.727725|1.7039|1.68175|1.661675|1.6431|1.6265749999999999|1.611375|1.598025|2.858425|1.585575|1.574875|1.5646|1.555675|1.547325|1.53975|1.533075|1.526025|1.520275|1.5143499999999999|2.7285000000000004|1.50875|1.50345|1.4992750000000001|1.4942000000000002|1.4899499999999999|1.485525|1.4816500000000001|1.477725|1.473925|1.47065|2.59355|1.46725|2.47205|2.3721750000000004|2.290675|2.22315
Adagrad|1.8728000000000002|1.285675|1.2409|1.225825|1.2199|1.2144|1.2084249999999999|1.203525|1.200925|1.19975|1.1936499999999999|1.457925|1.1946|1.1872|1.18375|1.196125|1.2358500000000001|1.2663|1.186525|1.163775|1.174775|1.1552|1.411475|1.142275|1.178825|1.1391|1.1291|1.172675|1.138325|1.1582999999999999|1.138|1.135675|1.195675|1.36005|1.301725|1.205675|1.176675|1.1688|1.1632500000000001|1.157425|1.15575|1.1499000000000001|1.145025|1.141625|1.40305|1.1395250000000001|1.29145|1.2586249999999999|1.25365|1.2817
AdagradCurvature|1.8552749999999998|1.198375|1.17885|1.207325|1.168825|1.165225|1.2338|1.1767999999999998|1.162875|1.14695|1.139675|1.4356250000000002|1.13965|1.1237000000000001|1.126825|1.1096249999999999|1.1087|1.10585|1.0979999999999999|1.08925|1.128|1.074175|1.3778|1.06815|1.059225|1.087525|1.089775|1.054225|1.05395|1.06155|1.0461500000000001|1.042525|1.043975|1.3495|1.027025|1.03275|1.0201|1.01125|1.032925|1.003125|1.0286250000000001|1.00205|0.98285|1.020425|1.281975|0.9809|1.245525|1.2235749999999999|1.212975|1.2586
Adam|1.733575|1.034775|1.0006|0.9729|0.9354|0.9967999999999999|0.99075|0.90825|0.858225|0.8122|0.76995|1.389125|0.7279500000000001|0.6827500000000001|0.7353500000000001|0.865525|0.792825|0.7266499999999999|0.6658000000000001|0.61315|0.56445|0.516525|1.2636749999999999|0.474425|0.436925|0.39227500000000004|0.3671|0.346925|0.31795|0.32837500000000003|0.299275|0.262375|0.246725|1.1727999999999998|0.22312499999999993|0.260125|0.2269|0.186925|0.151225|0.12695|0.10704999999999999|0.09215|0.080475|0.070325|1.1363|0.062975|1.1090499999999999|1.1067500000000001|1.096|1.05375
AdamCurvature|1.733575|1.054|1.0733|0.9887250000000001|0.945825|0.904425|0.878475|0.8384|0.788375|0.7549250000000001|0.7107|1.3892|0.66385|0.6163|0.578925|0.5944499999999999|0.576825|0.5418999999999999|0.470175|0.426225|0.377575|0.33644999999999997|1.26505|0.304575|0.26064999999999994|0.23405|0.221925|0.19905|0.1877|0.15034999999999998|0.14425|0.13344999999999999|0.142625|1.187975|0.11547500000000001|0.0977|0.0828|0.071|0.0603|0.053475|0.04744999999999995|0.043649999999999994|0.041825|0.038400000000000004|1.1431499999999999|0.036800000000000006|1.10865|1.085825|1.0579|1.050225
AdamW|1.7334|1.1060999999999999|1.092125|1.0819999999999999|1.06775|1.0559|1.0411249999999999|1.032125|1.0201500000000001|1.0088|0.9974|1.3892499999999999|1.005375|0.983425|0.9590249999999999|0.943775|0.9255749999999999|0.90325|0.8819750000000001|0.87685|0.8432999999999999|0.835625|1.26415|0.7986749999999999|0.7883|0.7803249999999999|0.76145|0.72965|0.7205|0.715375|0.702125|0.675725|0.6377999999999999|1.2223249999999999|0.6193500000000001|0.591925|0.57635|0.56115|0.54955|0.5522250000000001|0.50805|0.47195|0.45427500000000004|0.43185|1.237175|0.4408999999999999|1.203375|1.1733250000000002|1.1443249999999998|1.1246
AdamWCurvature|1.7336|1.0280500000000001|1.0053750000000001|0.970225|0.94895|1.0609000000000002|1.185|1.03765|0.980125|0.92515|0.874425|1.389125|0.8240000000000001|0.772|0.7583|0.7257|0.66985|0.640775|0.6259|0.575125|0.53825|0.48695|1.265125|0.442425|0.41485|0.37274999999999997|0.33880000000000005|0.31509999999999994|0.301475|0.29935|0.31029999999999996|0.30615|0.25895|1.1806999999999999|0.21125|0.17874999999999996|0.162|0.13515|0.110125|0.09445|0.08085|0.072825|0.06434999999999999|0.056549999999999996|1.1660249999999999|0.05225|1.1366999999999998|1.098125|1.0744|1.0478750000000001
