Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,1770.703125,2248.984375,0.388671875,17.02734375,2.0,24.0
SimpleSGD,2,2248.984375,2248.984375,16.638671875,17.02734375,22.0,24.0
SimpleSGDCurvature,1,2257.515625,2257.515625,16.638671875,17.02734375,22.0,26.0
SimpleSGDCurvature,2,2258.75390625,2258.75390625,16.638671875,17.02734375,22.0,24.0
Adam,1,2259.16015625,2259.16015625,16.638671875,17.8046875,22.0,24.0
Adam,2,2259.16015625,2259.16015625,16.638671875,17.8046875,24.0,24.0
AdamCurvature,1,2260.2421875,2260.2421875,16.638671875,17.8046875,24.0,26.0
AdamCurvature,2,2260.2421875,2260.2421875,16.638671875,17.8046875,24.0,26.0
HeavyBall,1,2260.2578125,2260.2578125,16.638671875,17.416015625,24.0,24.0
HeavyBall,2,2260.2578125,2260.2578125,16.638671875,17.416015625,22.0,24.0
HeavyBallCurvature,1,2260.3828125,2260.3828125,16.638671875,17.416015625,22.0,26.0
HeavyBallCurvature,2,2260.3828125,2260.3828125,16.638671875,17.416015625,24.0,26.0
NAG,1,2260.43359375,2260.43359375,16.638671875,17.416015625,24.0,24.0
NAG,2,2260.43359375,2260.43359375,16.638671875,17.416015625,22.0,24.0
NAGCurvature,1,2260.51171875,2260.51171875,16.638671875,17.416015625,22.0,26.0
NAGCurvature,2,2260.51171875,2260.51171875,16.638671875,17.416015625,24.0,26.0
Adagrad,1,2260.5234375,2260.5234375,16.638671875,17.416015625,24.0,24.0
Adagrad,2,2260.5234375,2260.5234375,16.638671875,17.416015625,22.0,24.0
AdagradCurvature,1,2260.5625,2260.5625,16.638671875,17.416015625,22.0,26.0
AdagradCurvature,2,2260.5625,2260.5625,16.638671875,17.416015625,24.0,26.0
Adadelta,1,2260.5625,2260.5625,16.638671875,17.8046875,24.0,24.0
Adadelta,2,2260.5625,2260.5625,16.638671875,17.8046875,24.0,24.0
AdadeltaCurvature,1,2260.5703125,2260.5703125,16.638671875,17.8046875,24.0,26.0
AdadeltaCurvature,2,2260.5703125,2260.5703125,16.638671875,17.8046875,24.0,26.0
RMSProp,1,2260.5703125,2260.5703125,16.638671875,17.416015625,24.0,24.0
RMSProp,2,2260.5703125,2260.5703125,16.638671875,17.416015625,22.0,24.0
RMSPropCurvature,1,2260.5703125,2260.5703125,16.638671875,17.416015625,22.0,26.0
RMSPropCurvature,2,2260.5703125,2260.5703125,16.638671875,17.416015625,24.0,26.0
RMSPropMomentum,1,2260.609375,2260.609375,16.638671875,17.8046875,24.0,24.0
RMSPropMomentum,2,2260.609375,2260.609375,16.638671875,17.8046875,24.0,24.0
RMSPropMomentumCurvature,1,2260.61328125,2260.61328125,16.638671875,17.8046875,24.0,26.0
RMSPropMomentumCurvature,2,2260.61328125,2260.61328125,16.638671875,17.8046875,24.0,26.0
AdamW,1,2260.62890625,2260.62890625,16.638671875,17.8046875,24.0,24.0
AdamW,2,2260.62890625,2260.62890625,16.638671875,17.8046875,24.0,24.0
AdamWCurvature,1,2260.62890625,2260.62890625,16.638671875,17.8046875,24.0,26.0
AdamWCurvature,2,2260.62890625,2260.62890625,16.638671875,17.8046875,24.0,26.0
NAdam,1,2260.65234375,2260.65234375,16.638671875,17.8046875,24.0,24.0
NAdam,2,2260.65234375,2260.65234375,16.638671875,17.8046875,24.0,24.0
NAdamCurvature,1,2260.65625,2260.65625,16.638671875,17.8046875,24.0,26.0
NAdamCurvature,2,2260.65625,2260.65625,16.638671875,17.8046875,24.0,26.0
NAdamW,1,2260.65625,2260.65625,16.638671875,17.8046875,24.0,24.0
NAdamW,2,2260.65625,2260.65625,16.638671875,17.8046875,24.0,24.0
NAdamWCurvature,1,2260.66015625,2260.66015625,16.638671875,17.8046875,24.0,26.0
NAdamWCurvature,2,2260.66015625,2260.66015625,16.638671875,17.8046875,24.0,26.0
AMSGrad,1,2260.66015625,2260.66015625,16.638671875,18.193359375,24.0,24.0
AMSGrad,2,2260.66015625,2260.66015625,16.638671875,18.193359375,24.0,24.0
AMSGradCurvature,1,2260.9296875,2260.9296875,16.638671875,18.193359375,24.0,28.0
AMSGradCurvature,2,2260.9296875,2260.9296875,16.638671875,18.193359375,26.0,28.0
