|Peak CPU Memory (MB)|Peak CPU Memory (MB)|Peak GPU Memory Allocated (MB)|Peak GPU Memory Allocated (MB)|Peak GPU Memory Reserved (MB)|Peak GPU Memory Reserved (MB)
|mean|std|mean|std|mean|std
Optimizer Name||||||
AMSGrad|2260.66|0.0|18.19|0.0|24.0|0.0
AMSGradCurvature|2260.93|0.0|18.19|0.0|28.0|0.0
Adadelta|2260.56|0.0|17.8|0.0|24.0|0.0
AdadeltaCurvature|2260.57|0.0|17.8|0.0|26.0|0.0
Adagrad|2260.52|0.0|17.42|0.0|24.0|0.0
AdagradCurvature|2260.56|0.0|17.42|0.0|26.0|0.0
Adam|2259.16|0.0|17.8|0.0|24.0|0.0
AdamCurvature|2260.24|0.0|17.8|0.0|26.0|0.0
AdamW|2260.63|0.0|17.8|0.0|24.0|0.0
AdamWCurvature|2260.63|0.0|17.8|0.0|26.0|0.0
HeavyBall|2260.26|0.0|17.42|0.0|24.0|0.0
HeavyBallCurvature|2260.38|0.0|17.42|0.0|26.0|0.0
NAG|2260.43|0.0|17.42|0.0|24.0|0.0
NAGCurvature|2260.51|0.0|17.42|0.0|26.0|0.0
NAdam|2260.65|0.0|17.8|0.0|24.0|0.0
NAdamCurvature|2260.66|0.0|17.8|0.0|26.0|0.0
NAdamW|2260.66|0.0|17.8|0.0|24.0|0.0
NAdamWCurvature|2260.66|0.0|17.8|0.0|26.0|0.0
RMSProp|2260.57|0.0|17.42|0.0|24.0|0.0
RMSPropCurvature|2260.57|0.0|17.42|0.0|26.0|0.0
RMSPropMomentum|2260.61|0.0|17.8|0.0|24.0|0.0
RMSPropMomentumCurvature|2260.61|0.0|17.8|0.0|26.0|0.0
SimpleSGD|2248.98|0.0|17.03|0.0|24.0|0.0
SimpleSGDCurvature|2258.13|0.88|17.03|0.0|25.0|1.41
