,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,1.911486237669296
1,SimpleSGD,1,2,1.1969836286263171
2,SimpleSGD,1,3,0.8219249186866573
3,SimpleSGD,1,4,0.6522740581269457
4,SimpleSGD,1,5,0.5620776795184435
5,SimpleSGD,1,6,0.5069585860982887
6,SimpleSGD,1,7,0.46982556571965534
7,SimpleSGD,1,8,0.44288356101779797
8,SimpleSGD,1,9,0.4226421964988271
9,SimpleSGD,1,10,0.4066199665225899
10,SimpleSGD,2,1,1.9609637928924073
11,SimpleSGD,2,2,1.2708072409446813
12,SimpleSGD,2,3,0.8745786631539432
13,SimpleSGD,2,4,0.686261956339706
14,SimpleSGD,2,5,0.5850447950396203
15,SimpleSGD,2,6,0.5230812169690885
16,SimpleSGD,2,7,0.4817169793188445
17,SimpleSGD,2,8,0.4519975375074313
18,SimpleSGD,2,9,0.4297330620637072
19,SimpleSGD,2,10,0.4120232127368577
20,SimpleSGDCurvature,1,1,0.8330015493417854
21,SimpleSGDCurvature,1,2,0.3810767774452279
22,SimpleSGDCurvature,1,3,0.3305400513144317
23,SimpleSGDCurvature,1,4,0.3024904653032833
24,SimpleSGDCurvature,1,5,0.2809439173210531
25,SimpleSGDCurvature,1,6,0.2614500495368865
26,SimpleSGDCurvature,1,7,0.24448424322343965
27,SimpleSGDCurvature,1,8,0.22947324780640063
28,SimpleSGDCurvature,1,9,0.2153125063204435
29,SimpleSGDCurvature,1,10,0.20264971032659254
30,SimpleSGDCurvature,2,1,0.8276019184701224
31,SimpleSGDCurvature,2,2,0.3814276259050949
32,SimpleSGDCurvature,2,3,0.3310626950472403
33,SimpleSGDCurvature,2,4,0.3040444788330399
34,SimpleSGDCurvature,2,5,0.28348837610977545
35,SimpleSGDCurvature,2,6,0.265596584073389
36,SimpleSGDCurvature,2,7,0.24865685460536974
37,SimpleSGDCurvature,2,8,0.23324448126417868
38,SimpleSGDCurvature,2,9,0.21863965862897286
