|Optimizer Name|Running loop number|Epoch number|Average Training Loss
0||1|1|1.8941
1||1|2|1.1946
2||1|3|0.8249
3||1|4|0.6558
4||1|5|0.5652
5||1|6|0.5094
6||1|7|0.4719
7||1|8|0.4448
8||1|9|0.4243
9||1|10|0.408
10||2|1|1.8617
11||2|2|1.1674
12||2|3|0.8189
13||2|4|0.656
14||2|5|0.5669
15||2|6|0.5118
16||2|7|0.4745
17||2|8|0.4475
18||2|9|0.4272
19||2|10|0.411
20||3|1|1.8871
21||3|2|1.1726
22||3|3|0.8114
23||3|4|0.6468
24||3|5|0.5587
25||3|6|0.5048
26||3|7|0.4684
27||3|8|0.4422
28||3|9|0.4224
29||3|10|0.4064
30||4|1|1.8808
31||4|2|1.1783
32||4|3|0.8232
33||4|4|0.6582
34||4|5|0.5686
35||4|6|0.5128
36||4|7|0.475
37||4|8|0.4476
38||4|9|0.4269
39||4|10|0.4104
40||5|1|1.9332
41||5|2|1.2131
42||5|3|0.8405
43||5|4|0.6692
44||5|5|0.5756
45||5|6|0.5177
46||5|7|0.4783
47||5|8|0.4502
48||5|9|0.4288
49||5|10|0.4118
50||6|1|1.932
51||6|2|1.2414
52||6|3|0.8495
53||6|4|0.6703
54||6|5|0.5755
55||6|6|0.5173
56||6|7|0.478
57||6|8|0.4495
58||6|9|0.428
59||6|10|0.4112
60||7|1|1.9409
61||7|2|1.2523
62||7|3|0.8623
63||7|4|0.6801
64||7|5|0.5828
65||7|6|0.5233
66||7|7|0.4827
67||7|8|0.4538
68||7|9|0.4315
69||7|10|0.4139
70||8|1|1.9479
71||8|2|1.2464
72||8|3|0.8554
73||8|4|0.674
74||8|5|0.5779
75||8|6|0.5193
76||8|7|0.4801
77||8|8|0.452
78||8|9|0.4305
79||8|10|0.4138
80||9|1|1.8819
81||9|2|1.1713
82||9|3|0.812
83||9|4|0.6495
84||9|5|0.5624
85||9|6|0.5088
86||9|7|0.4721
87||9|8|0.4454
88||9|9|0.425
89||9|10|0.4087
90||10|1|1.8947
91||10|2|1.2057
92||10|3|0.8306
93||10|4|0.6586
94||10|5|0.5674
95||10|6|0.5115
96||10|7|0.4737
97||10|8|0.4465
98||10|9|0.4256
99||10|10|0.4096
100|SimpleSGDCurvature|1|1|0.3994
101|SimpleSGDCurvature|1|2|0.1759
102|SimpleSGDCurvature|1|3|0.1302
103|SimpleSGDCurvature|1|4|0.1055
104|SimpleSGDCurvature|1|5|0.0893
105|SimpleSGDCurvature|1|6|0.0783
106|SimpleSGDCurvature|1|7|0.0674
107|SimpleSGDCurvature|1|8|0.0613
108|SimpleSGDCurvature|1|9|0.055
109|SimpleSGDCurvature|1|10|0.0492
110|SimpleSGDCurvature|2|1|0.3943
111|SimpleSGDCurvature|2|2|0.1706
112|SimpleSGDCurvature|2|3|0.1265
113|SimpleSGDCurvature|2|4|0.1021
114|SimpleSGDCurvature|2|5|0.0869
115|SimpleSGDCurvature|2|6|0.0756
116|SimpleSGDCurvature|2|7|0.0662
117|SimpleSGDCurvature|2|8|0.0598
118|SimpleSGDCurvature|2|9|0.0527
119|SimpleSGDCurvature|2|10|0.0478
120|SimpleSGDCurvature|3|1|0.3906
121|SimpleSGDCurvature|3|2|0.1749
122|SimpleSGDCurvature|3|3|0.1302
123|SimpleSGDCurvature|3|4|0.106
124|SimpleSGDCurvature|3|5|0.0879
125|SimpleSGDCurvature|3|6|0.078
126|SimpleSGDCurvature|3|7|0.0693
127|SimpleSGDCurvature|3|8|0.0614
128|SimpleSGDCurvature|3|9|0.0557
129|SimpleSGDCurvature|3|10|0.0494
130|SimpleSGDCurvature|4|1|0.3975
131|SimpleSGDCurvature|4|2|0.1772
132|SimpleSGDCurvature|4|3|0.1305
133|SimpleSGDCurvature|4|4|0.1055
134|SimpleSGDCurvature|4|5|0.0907
135|SimpleSGDCurvature|4|6|0.078
136|SimpleSGDCurvature|4|7|0.0705
137|SimpleSGDCurvature|4|8|0.0625
138|SimpleSGDCurvature|4|9|0.0569
139|SimpleSGDCurvature|4|10|0.0508
140|SimpleSGDCurvature|5|1|0.3975
141|SimpleSGDCurvature|5|2|0.1742
142|SimpleSGDCurvature|5|3|0.1301
143|SimpleSGDCurvature|5|4|0.1057
144|SimpleSGDCurvature|5|5|0.0913
145|SimpleSGDCurvature|5|6|0.0784
146|SimpleSGDCurvature|5|7|0.0699
147|SimpleSGDCurvature|5|8|0.0613
148|SimpleSGDCurvature|5|9|0.0565
149|SimpleSGDCurvature|5|10|0.0503
150|SimpleSGDCurvature|6|1|0.3991
151|SimpleSGDCurvature|6|2|0.1775
152|SimpleSGDCurvature|6|3|0.1314
153|SimpleSGDCurvature|6|4|0.1052
154|SimpleSGDCurvature|6|5|0.0902
155|SimpleSGDCurvature|6|6|0.0782
156|SimpleSGDCurvature|6|7|0.0693
157|SimpleSGDCurvature|6|8|0.0608
158|SimpleSGDCurvature|6|9|0.0543
159|SimpleSGDCurvature|6|10|0.0487
160|SimpleSGDCurvature|7|1|0.3983
161|SimpleSGDCurvature|7|2|0.1741
162|SimpleSGDCurvature|7|3|0.128
163|SimpleSGDCurvature|7|4|0.1041
164|SimpleSGDCurvature|7|5|0.0883
165|SimpleSGDCurvature|7|6|0.0778
166|SimpleSGDCurvature|7|7|0.0686
167|SimpleSGDCurvature|7|8|0.0615
168|SimpleSGDCurvature|7|9|0.0555
169|SimpleSGDCurvature|7|10|0.0509
170|SimpleSGDCurvature|8|1|0.3998
171|SimpleSGDCurvature|8|2|0.179
172|SimpleSGDCurvature|8|3|0.1328
173|SimpleSGDCurvature|8|4|0.1085
174|SimpleSGDCurvature|8|5|0.0927
175|SimpleSGDCurvature|8|6|0.0803
176|SimpleSGDCurvature|8|7|0.0728
177|SimpleSGDCurvature|8|8|0.0634
178|SimpleSGDCurvature|8|9|0.0572
179|SimpleSGDCurvature|8|10|0.0514
180|SimpleSGDCurvature|9|1|0.3904
181|SimpleSGDCurvature|9|2|0.1774
182|SimpleSGDCurvature|9|3|0.1328
183|SimpleSGDCurvature|9|4|0.1096
184|SimpleSGDCurvature|9|5|0.0945
185|SimpleSGDCurvature|9|6|0.0834
186|SimpleSGDCurvature|9|7|0.0734
187|SimpleSGDCurvature|9|8|0.0654
188|SimpleSGDCurvature|9|9|0.0588
189|SimpleSGDCurvature|9|10|0.0538
190|SimpleSGDCurvature|10|1|0.3982
191|SimpleSGDCurvature|10|2|0.1785
192|SimpleSGDCurvature|10|3|0.1332
193|SimpleSGDCurvature|10|4|0.1079
194|SimpleSGDCurvature|10|5|0.0918
195|SimpleSGDCurvature|10|6|0.0797
196|SimpleSGDCurvature|10|7|0.0699
197|SimpleSGDCurvature|10|8|0.0621
198|SimpleSGDCurvature|10|9|0.056
199|SimpleSGDCurvature|10|10|0.0544
200|Adam|1|1|0.3801
201|Adam|1|2|0.195
202|Adam|1|3|0.1361
203|Adam|1|4|0.109
204|Adam|1|5|0.0927
205|Adam|1|6|0.0824
206|Adam|1|7|0.072
207|Adam|1|8|0.0664
208|Adam|1|9|0.0592
209|Adam|1|10|0.0548
210|Adam|2|1|0.3797
211|Adam|2|2|0.1927
212|Adam|2|3|0.1393
213|Adam|2|4|0.1097
214|Adam|2|5|0.0963
215|Adam|2|6|0.0843
216|Adam|2|7|0.0735
217|Adam|2|8|0.0658
218|Adam|2|9|0.059
219|Adam|2|10|0.0583
220|Adam|3|1|0.3726
221|Adam|3|2|0.1904
222|Adam|3|3|0.1396
223|Adam|3|4|0.1116
224|Adam|3|5|0.0965
225|Adam|3|6|0.0838
226|Adam|3|7|0.074
227|Adam|3|8|0.0666
228|Adam|3|9|0.0628
229|Adam|3|10|0.0552
230|Adam|4|1|0.3863
231|Adam|4|2|0.2026
232|Adam|4|3|0.1445
233|Adam|4|4|0.1154
234|Adam|4|5|0.0985
235|Adam|4|6|0.0853
236|Adam|4|7|0.0772
237|Adam|4|8|0.0699
238|Adam|4|9|0.0622
239|Adam|4|10|0.0579
240|Adam|5|1|0.383
241|Adam|5|2|0.1934
242|Adam|5|3|0.1426
243|Adam|5|4|0.1143
244|Adam|5|5|0.0974
245|Adam|5|6|0.0867
246|Adam|5|7|0.0739
247|Adam|5|8|0.0671
248|Adam|5|9|0.0616
249|Adam|5|10|0.0576
250|Adam|6|1|0.3795
251|Adam|6|2|0.1912
252|Adam|6|3|0.1404
253|Adam|6|4|0.1137
254|Adam|6|5|0.0941
255|Adam|6|6|0.0831
256|Adam|6|7|0.0763
257|Adam|6|8|0.0669
258|Adam|6|9|0.0611
259|Adam|6|10|0.0567
260|Adam|7|1|0.3833
261|Adam|7|2|0.1971
262|Adam|7|3|0.1391
263|Adam|7|4|0.1132
264|Adam|7|5|0.0954
265|Adam|7|6|0.0845
266|Adam|7|7|0.0716
267|Adam|7|8|0.0661
268|Adam|7|9|0.0609
269|Adam|7|10|0.0572
270|Adam|8|1|0.3893
271|Adam|8|2|0.2047
272|Adam|8|3|0.1499
273|Adam|8|4|0.122
274|Adam|8|5|0.1024
275|Adam|8|6|0.0924
276|Adam|8|7|0.0804
277|Adam|8|8|0.0751
278|Adam|8|9|0.0687
279|Adam|8|10|0.0634
280|Adam|9|1|0.3774
281|Adam|9|2|0.1888
282|Adam|9|3|0.1361
283|Adam|9|4|0.1093
284|Adam|9|5|0.0943
285|Adam|9|6|0.0825
286|Adam|9|7|0.0751
287|Adam|9|8|0.0673
288|Adam|9|9|0.0641
289|Adam|9|10|0.0582
290|Adam|10|1|0.3898
