optimizer,momentum,mean_accuracy,std_accuracy
SimpleSGD,,0.8949999999999999,0.0011153474794879073
SimpleSGDCurvature,,0.9736800000000001,0.0029822139426942656
Adam,,0.97195,0.0021648325570353135
HeavyBall,,0.9450999999999998,0.00144637477854117
HeavyBallCurvature,,0.9708,0.004472583146236625
NAG,,0.94513,0.001508674915281618
NAGCurvature,,0.97048,0.0037714188311562392
Adagrad,,0.9533399999999999,0.00223168098078556
Adadelta,,0.96663,0.004738997784342188
RMSProp,,0.93051,0.014566842485590339
RMSPropMomentum,,0.9266800000000002,0.009410079702106696
AdamW,,0.9713899999999999,0.001805242365999658
NAdam,,0.9537699999999999,0.006460503076386533
NAdamW,,0.95351,0.004813823843889588
AMSGrad,,0.9732099999999999,0.0015254179755070432
Shampoo,,0.96326,0.0013958509949131416
