optimizer,momentum,mean_accuracy,std_accuracy
RMSPropMomentumCurvature,0.0,0.8943199999999999,0.014931697827105945
RMSPropMomentumCurvature,0.05,0.88491,0.023141929478762147
RMSPropMomentumCurvature,0.1,0.89322,0.02028274143206486
RMSPropMomentumCurvature,0.15,0.8929199999999999,0.018337818845217103
RMSPropMomentumCurvature,0.2,0.88827,0.018074183245723702
RMSPropMomentumCurvature,0.25,0.8793599999999999,0.025435927346963382
RMSPropMomentumCurvature,0.3,0.87348,0.032752428917562755
RMSPropMomentumCurvature,0.35,0.8675900000000001,0.02624280663343767
RMSPropMomentumCurvature,0.4,0.87722,0.017370365568979834
RMSPropMomentumCurvature,0.45,0.87152,0.024866193918651868
RMSPropMomentumCurvature,0.5,0.8412200000000001,0.033507814014047524
RMSPropMomentumCurvature,0.55,0.8444699999999999,0.0391710875519177
RMSPropMomentumCurvature,0.6,0.8467399999999999,0.030331838058383465
RMSPropMomentumCurvature,0.65,0.7992100000000001,0.0622829262318334
RMSPropMomentumCurvature,0.7,0.67822,0.20763456263348834
RMSPropMomentumCurvature,0.75,0.53811,0.2344390345057751
RMSPropMomentumCurvature,0.8,0.3121999999999999,0.2230911697042265
RMSPropMomentumCurvature,0.85,0.11599000000000001,0.05397
RMSPropMomentumCurvature,0.9,0.098,0.0
RMSPropMomentumCurvature,0.95,0.098,0.0
