|Peak CPU Memory (MB)|Peak CPU Memory (MB)|Peak GPU Memory Allocated (MB)|Peak GPU Memory Allocated (MB)|Peak GPU Memory Reserved (MB)|Peak GPU Memory Reserved (MB)
|mean|std|mean|std|mean|std
Optimizer Name||||||
AMSGrad|3376.18|0.06|233.29|0.34|2209.0|23.69
AMSGradCurvature|3375.96|0.05|232.73|1.04|2419.0|29.64
Adadelta|3308.6|0.18|189.39|1.39|2203.0|36.02
AdadeltaCurvature|3300.43|14.87|188.95|1.55|2207.0|11.83
Adagrad|3312.71|8.11|147.66|1.92|2208.0|20.85
AdagradCurvature|3324.43|17.98|146.7|1.18|2216.0|12.75
Adam|3318.18|18.4|190.81|0.78|2225.0|15.87
AdamCurvature|3308.88|0.1|190.83|1.83|2264.0|80.7
AdamW|3364.3|0.24|189.75|0.38|2216.5|23.97
AdamWCurvature|3370.7|0.11|190.05|1.25|2219.5|29.27
HeavyBall|3309.15|0.16|147.95|1.16|2203.5|18.79
HeavyBallCurvature|3309.19|0.22|146.04|0.5|2196.5|25.58
NAG|3305.56|0.24|146.71|0.98|2192.0|30.64
NAGCurvature|3305.46|0.02|146.31|0.31|2211.0|33.88
NAdam|3370.94|0.05|188.69|0.78|2175.5|27.59
NAdamCurvature|3370.85|0.17|190.58|2.08|2219.0|10.89
NAdamW|3372.97|1.6|189.17|1.15|2207.0|22.77
NAdamWCurvature|3373.65|0.06|190.14|1.96|2314.5|76.01
RMSProp|3297.68|19.48|146.57|1.16|2209.0|13.71
RMSPropCurvature|3291.46|17.52|145.74|0.54|2211.5|18.65
RMSPropMomentum|3315.89|11.02|189.91|1.05|2198.5|34.5
RMSPropMomentumCurvature|3341.11|28.14|190.2|0.46|2225.0|18.51
SimpleSGD|3246.5|5.81|104.25|0.86|2185.5|19.96
SimpleSGDCurvature|3314.66|19.78|103.3|0.68|2192.5|31.26
