,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,3.6701161491459815
1,SimpleSGD,1,2,3.619817672104671
2,SimpleSGD,1,3,3.594915480449282
3,SimpleSGD,1,4,3.583561950716479
4,SimpleSGD,1,5,3.570079910344091
5,SimpleSGD,1,6,3.5615405460883833
6,SimpleSGD,1,7,3.553747764949141
7,SimpleSGD,1,8,3.5433722076744867
8,SimpleSGD,1,9,3.5355045055520944
9,SimpleSGD,1,10,3.5286804972023798
10,SimpleSGD,2,1,3.670854354726857
11,SimpleSGD,2,2,3.6193992187236916
12,SimpleSGD,2,3,3.5958642918488075
13,SimpleSGD,2,4,3.5831626160391448
14,SimpleSGD,2,5,3.5727003689469963
15,SimpleSGD,2,6,3.5613178713568328
16,SimpleSGD,2,7,3.5547739842842363
17,SimpleSGD,2,8,3.5458567183593224
18,SimpleSGD,2,9,3.5372115743571313
19,SimpleSGD,2,10,3.5293252344789177
20,SimpleSGD,3,1,3.7069832744269537
21,SimpleSGD,3,2,3.629857219498733
22,SimpleSGD,3,3,3.5981885564738305
23,SimpleSGD,3,4,3.5810952268797775
24,SimpleSGD,3,5,3.565542512926562
25,SimpleSGD,3,6,3.555896080773452
26,SimpleSGD,3,7,3.5456492284248613
27,SimpleSGD,3,8,3.536259581302774
28,SimpleSGD,3,9,3.5270149584474235
29,SimpleSGD,3,10,3.518776100257347
30,SimpleSGD,4,1,3.698128634485705
31,SimpleSGD,4,2,3.619676109017997
32,SimpleSGD,4,3,3.5926838044462532
33,SimpleSGD,4,4,3.575448673346947
34,SimpleSGD,4,5,3.563070297241211
35,SimpleSGD,4,6,3.549935147680085
36,SimpleSGD,4,7,3.5419735785188347
37,SimpleSGD,4,8,3.5322982155043503
38,SimpleSGD,4,9,3.5243656594177772
39,SimpleSGD,4,10,3.514517566253399
40,SimpleSGDCurvature,1,1,3.6200159870345017
41,SimpleSGDCurvature,1,2,3.557126793368109
42,SimpleSGDCurvature,1,3,3.520608166168476
43,SimpleSGDCurvature,1,4,3.487030362260753
44,SimpleSGDCurvature,1,5,3.451471110870098
45,SimpleSGDCurvature,1,6,3.4129923828716935
46,SimpleSGDCurvature,1,7,3.381429754454514
47,SimpleSGDCurvature,1,8,3.3493275025795244
48,SimpleSGDCurvature,1,9,3.3105071043146066
49,SimpleSGDCurvature,1,10,3.272818557147322
50,SimpleSGDCurvature,2,1,3.6250881367716294
51,SimpleSGDCurvature,2,2,3.5657183671819754
52,SimpleSGDCurvature,2,3,3.5166852679745904
53,SimpleSGDCurvature,2,4,3.4796256649083106
54,SimpleSGDCurvature,2,5,3.43435000551158
55,SimpleSGDCurvature,2,6,3.3992323176614168
56,SimpleSGDCurvature,2,7,3.355036834190632
57,SimpleSGDCurvature,2,8,3.316286226798748
58,SimpleSGDCurvature,2,9,3.281495349160556
59,SimpleSGDCurvature,2,10,3.2424639833384545
60,SimpleSGDCurvature,3,1,3.625932372849563
61,SimpleSGDCurvature,3,2,3.5700771233131148
62,SimpleSGDCurvature,3,3,3.527116002707646
63,SimpleSGDCurvature,3,4,3.4886189986919534
64,SimpleSGDCurvature,3,5,3.4460058787773393
65,SimpleSGDCurvature,3,6,3.409051932137588
66,SimpleSGDCurvature,3,7,3.3703376095870445
67,SimpleSGDCurvature,3,8,3.328911781311035
68,SimpleSGDCurvature,3,9,3.289078605586085
69,SimpleSGDCurvature,3,10,3.248307943344116
70,SimpleSGDCurvature,4,1,3.615461629012535
71,SimpleSGDCurvature,4,2,3.5583149687997224
72,SimpleSGDCurvature,4,3,3.524926991298281
73,SimpleSGDCurvature,4,4,3.4933819935239594
74,SimpleSGDCurvature,4,5,3.457528517164033
75,SimpleSGDCurvature,4,6,3.421247091786615
76,SimpleSGDCurvature,4,7,3.3864487162951766
77,SimpleSGDCurvature,4,8,3.3491804928615174
78,SimpleSGDCurvature,4,9,3.316470877877597
79,SimpleSGDCurvature,4,10,3.28123598674248
80,Adam,1,1,3.5142941269381294
81,Adam,1,2,3.169523498107647
82,Adam,1,3,2.966053243341117
83,Adam,1,4,2.7628934712245545
84,Adam,1,5,2.553630072495033
85,Adam,1,6,2.33740280619983
86,Adam,1,7,2.1361310584791777
87,Adam,1,8,1.9558282309565052
88,Adam,1,9,1.6921776964746673
89,Adam,1,10,1.4553034572765744
90,Adam,2,1,3.525212863395954
91,Adam,2,2,3.147742986679077
92,Adam,2,3,2.9266744769852737
93,Adam,2,4,2.774083918538587
94,Adam,2,5,2.5488917704286247
95,Adam,2,6,2.3528727786294343
96,Adam,2,7,2.082707536631617
97,Adam,2,8,1.8540404253992542
98,Adam,2,9,1.5804823554795364
99,Adam,2,10,1.2119635281891659
100,Adam,3,1,3.5471855073139587
101,Adam,3,2,3.189280160542192
102,Adam,3,3,2.921544001020234
103,Adam,3,4,2.7222336325152168
104,Adam,3,5,2.4958365251278054
105,Adam,3,6,2.289661236878099
106,Adam,3,7,2.078009477977095
107,Adam,3,8,1.8125967383384705
108,Adam,3,9,1.5546758133789589
109,Adam,3,10,1.2246416601641426
110,Adam,4,1,3.5465314306061844
111,Adam,4,2,3.2213759422302246
112,Adam,4,3,3.0086853627500862
113,Adam,4,4,2.8311953133550185
114,Adam,4,5,2.6246563237288902
115,Adam,4,6,2.4300042390823364
116,Adam,4,7,2.2457066692154983
117,Adam,4,8,2.019163092662548
118,Adam,4,9,1.777568338246181
