|Optimizer Name|Running loop number|Epoch number|Average Training Loss
0|SimpleSGD|1|1|3.7474
1|SimpleSGD|1|2|3.5671
2|SimpleSGD|1|3|3.3998
3|SimpleSGD|1|4|3.2481
4|SimpleSGD|1|5|3.1143
5|SimpleSGD|1|6|3.0002
6|SimpleSGD|1|7|2.9059
7|SimpleSGD|1|8|2.8302
8|SimpleSGD|1|9|2.7706
9|SimpleSGD|1|10|2.7243
10|SimpleSGD|1|11|2.6882
11|SimpleSGD|1|12|2.6598
12|SimpleSGD|1|13|2.6371
13|SimpleSGD|1|14|2.6186
14|SimpleSGD|1|15|2.6033
15|SimpleSGD|1|16|2.5903
16|SimpleSGD|1|17|2.5792
17|SimpleSGD|1|18|2.5694
18|SimpleSGD|1|19|2.5607
19|SimpleSGD|1|20|2.5528
20|SimpleSGD|1|21|2.5456
21|SimpleSGD|1|22|2.539
22|SimpleSGD|1|23|2.5328
23|SimpleSGD|1|24|2.527
24|SimpleSGD|1|25|2.5216
25|SimpleSGD|1|26|2.5164
26|SimpleSGD|1|27|2.5115
27|SimpleSGD|1|28|2.5069
28|SimpleSGD|1|29|2.5025
29|SimpleSGD|1|30|2.4983
30|SimpleSGD|1|31|2.4943
31|SimpleSGD|1|32|2.4905
32|SimpleSGD|1|33|2.4868
33|SimpleSGD|1|34|2.4834
34|SimpleSGD|1|35|2.48
35|SimpleSGD|1|36|2.4769
36|SimpleSGD|1|37|2.4738
37|SimpleSGD|1|38|2.4709
38|SimpleSGD|1|39|2.4681
39|SimpleSGD|1|40|2.4655
40|SimpleSGD|1|41|2.4629
41|SimpleSGD|1|42|2.4605
42|SimpleSGD|1|43|2.4582
43|SimpleSGD|1|44|2.4559
44|SimpleSGD|1|45|2.4538
45|SimpleSGD|1|46|2.4517
46|SimpleSGD|1|47|2.4497
47|SimpleSGD|1|48|2.4478
48|SimpleSGD|1|49|2.446
49|SimpleSGD|1|50|2.4443
50|SimpleSGDCurvature|1|1|4.2627
51|SimpleSGDCurvature|1|2|3.017
52|SimpleSGDCurvature|1|3|2.5626
53|SimpleSGDCurvature|1|4|2.4535
54|SimpleSGDCurvature|1|5|2.4443
55|SimpleSGDCurvature|1|6|2.4353
56|SimpleSGDCurvature|1|7|2.4225
57|SimpleSGDCurvature|1|8|2.4342
58|SimpleSGDCurvature|1|9|2.3887
59|SimpleSGDCurvature|1|10|2.4263
60|SimpleSGDCurvature|1|11|2.3936
61|SimpleSGDCurvature|1|12|2.3954
62|SimpleSGDCurvature|1|13|2.3631
63|SimpleSGDCurvature|1|14|2.3527
64|SimpleSGDCurvature|1|15|2.3441
65|SimpleSGDCurvature|1|16|2.3006
66|SimpleSGDCurvature|1|17|2.162
67|SimpleSGDCurvature|1|18|2.1391
68|SimpleSGDCurvature|1|19|2.4645
69|SimpleSGDCurvature|1|20|2.1891
70|SimpleSGDCurvature|1|21|2.055
71|SimpleSGDCurvature|1|22|2.0546
72|SimpleSGDCurvature|1|23|2.0573
73|SimpleSGDCurvature|1|24|2.0461
74|SimpleSGDCurvature|1|25|2.2772
75|SimpleSGDCurvature|1|26|2.0151
76|SimpleSGDCurvature|1|27|1.9992
