Optimizer Name|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Mean_Training_Loss_epoch6|Mean_Training_Loss_epoch7|Mean_Training_Loss_epoch8|Mean_Training_Loss_epoch9|Mean_Training_Loss_epoch10|Mean_Training_Loss_epoch11|Mean_Training_Loss_epoch12|Mean_Training_Loss_epoch13|Mean_Training_Loss_epoch14|Mean_Training_Loss_epoch15|Mean_Training_Loss_epoch16|Mean_Training_Loss_epoch17|Mean_Training_Loss_epoch18|Mean_Training_Loss_epoch19|Mean_Training_Loss_epoch20|Mean_Training_Loss_epoch21|Mean_Training_Loss_epoch22|Mean_Training_Loss_epoch23|Mean_Training_Loss_epoch24|Mean_Training_Loss_epoch25|Mean_Training_Loss_epoch26|Mean_Training_Loss_epoch27|Mean_Training_Loss_epoch28|Mean_Training_Loss_epoch29|Mean_Training_Loss_epoch30|Mean_Training_Loss_epoch31|Mean_Training_Loss_epoch32|Mean_Training_Loss_epoch33|Mean_Training_Loss_epoch34|Mean_Training_Loss_epoch35|Mean_Training_Loss_epoch36|Mean_Training_Loss_epoch37|Mean_Training_Loss_epoch38|Mean_Training_Loss_epoch39|Mean_Training_Loss_epoch40|Mean_Training_Loss_epoch41|Mean_Training_Loss_epoch42|Mean_Training_Loss_epoch43|Mean_Training_Loss_epoch44|Mean_Training_Loss_epoch45|Mean_Training_Loss_epoch46|Mean_Training_Loss_epoch47|Mean_Training_Loss_epoch48|Mean_Training_Loss_epoch49|Mean_Training_Loss_epoch50|Std_Training_Loss_epoch1|Std_Training_Loss_epoch2|Std_Training_Loss_epoch3|Std_Training_Loss_epoch4|Std_Training_Loss_epoch5|Std_Training_Loss_epoch6|Std_Training_Loss_epoch7|Std_Training_Loss_epoch8|Std_Training_Loss_epoch9|Std_Training_Loss_epoch10|Std_Training_Loss_epoch11|Std_Training_Loss_epoch12|Std_Training_Loss_epoch13|Std_Training_Loss_epoch14|Std_Training_Loss_epoch15|Std_Training_Loss_epoch16|Std_Training_Loss_epoch17|Std_Training_Loss_epoch18|Std_Training_Loss_epoch19|Std_Training_Loss_epoch20|Std_Training_Loss_epoch21|Std_Training_Loss_epoch22|Std_Training_Loss_epoch23|Std_Training_Loss_epoch24|Std_Training_Loss_epoch25|Std_Training_Loss_epoch26|Std_Training_Loss_epoch27|Std_Training_Loss_epoch28|Std_Training_Loss_epoch29|Std_Training_Loss_epoch30|Std_Training_Loss_epoch31|Std_Training_Loss_epoch32|Std_Training_Loss_epoch33|Std_Training_Loss_epoch34|Std_Training_Loss_epoch35|Std_Training_Loss_epoch36|Std_Training_Loss_epoch37|Std_Training_Loss_epoch38|Std_Training_Loss_epoch39|Std_Training_Loss_epoch40|Std_Training_Loss_epoch41|Std_Training_Loss_epoch42|Std_Training_Loss_epoch43|Std_Training_Loss_epoch44|Std_Training_Loss_epoch45|Std_Training_Loss_epoch46|Std_Training_Loss_epoch47|Std_Training_Loss_epoch48|Std_Training_Loss_epoch49|Std_Training_Loss_epoch50
AMSGrad|2.8795|2.425|2.2236|2.0894|2.4789|2.3327|2.2095|2.1965|2.1249|2.0131|2.0542|2.0558|1.8899|1.8136|1.8|1.7837|1.6732|1.573|1.4787|1.4516|1.4106|1.5478|1.413|1.3246|1.2222|1.122|1.0464|0.9812|0.8944|0.8172|0.7646|0.7282|0.7009|0.6177|0.5423|0.4575|0.3904|0.3292|0.2833|0.2504|0.2229|0.2294|0.2083|0.1766|0.1567|0.1357|0.1213|0.111|0.1015|0.0963||||||||||||||||||||||||||||||||||||||||||||||||||
AMSGradCurvature|2.8795|2.4248|2.2259|2.0918|2.0277|2.0214|2.0696|2.0237|1.9492|1.9024|1.8748|1.8219|1.821|1.8423|1.872|1.75|1.6661|1.7572|1.7367|1.6184|1.5192|1.4206|1.3294|1.2356|1.1994|1.1538|1.0922|1.1256|1.3439|1.3729|1.2365|1.0686|0.9361|0.8472|0.7377|0.6581|0.5884|0.5228|0.474|0.4395|0.4159|0.4013|0.3674|0.37|0.3198|0.2791|0.3252|0.2751|0.232|0.197||||||||||||||||||||||||||||||||||||||||||||||||||
Adadelta|3.8044|3.7599|3.7152|3.6706|3.6263|3.5824|3.5389|3.496|3.4536|3.4118|3.3708|3.3305|3.291|3.2523|3.2146|3.1779|3.1421|3.1075|3.074|3.0416|3.0104|2.9805|2.9518|2.9243|2.8981|2.8731|2.8494|2.8269|2.8056|2.7854|2.7664|2.7485|2.7316|2.7156|2.7007|2.6866|2.6734|2.6609|2.6492|2.6382|2.6278|2.6181|2.6089|2.6003|2.5921|2.5844|2.5771|2.5702|2.5637|2.5575||||||||||||||||||||||||||||||||||||||||||||||||||
AdadeltaCurvature|3.8129|3.7856|3.7529|3.716|3.6755|3.6319|3.5857|3.5372|3.4867|3.4346|3.3813|3.327|3.2722|3.2171|3.1623|3.108|3.0546|3.0027|2.9526|2.9047|2.8593|2.8168|2.7772|2.7409|2.7077|2.6777|2.6507|2.6265|2.605|2.5859|2.5689|2.5537|2.5402|2.528|2.517|2.5069|2.4977|2.4891|2.4812|2.4738|2.4668|2.4603|2.4542|2.4484|2.443|2.4378|2.433|2.4284|2.4241|2.4201||||||||||||||||||||||||||||||||||||||||||||||||||
Adagrad|2.9355|2.3554|2.3073|2.2294|2.3323|2.1222|2.0665|2.0655|2.1294|2.1435|2.0591|2.0347|2.0265|2.0197|2.0113|2.0051|2.0021|2.0022|1.9921|1.9975|1.9835|1.9798|2.0066|2.0876|2.1502|1.9924|1.9477|1.9725|1.9343|1.9098|1.9837|1.9065|1.8876|1.9758|1.9075|1.9485|1.9101|1.9055|2.0268|2.2406|2.0489|1.9919|1.9769|1.9669|1.9562|1.9534|1.943|1.9338|1.9277|1.9244||||||||||||||||||||||||||||||||||||||||||||||||||
AdagradCurvature|2.9374|2.3431|2.2758|2.2473|2.1313|2.0734|2.041|2.0303|2.1301|2.0168|1.9839|2.0473|1.975|1.9726|2.1141|2.0039|1.9791|1.9505|1.9386|1.9427|1.9123|1.9222|1.8901|1.8907|1.887|1.8735|1.8572|1.9381|1.832|1.8214|1.805|1.8645|1.8702|1.8008|1.8011|1.8175|1.7894|1.7826|1.7874|1.7554|1.768|1.7437|1.7271|1.7715|1.7133|1.7652|1.7136|1.6762|1.7524|1.6748||||||||||||||||||||||||||||||||||||||||||||||||||
Adam|2.8795|2.4251|2.2236|2.0778|2.0247|1.9928|2.0091|2.0004|1.9286|1.9024|1.8446|1.8021|1.7408|1.8756|1.8723|1.7177|1.6268|1.5426|1.464|1.3923|1.312|1.4225|1.6905|1.5484|1.4201|1.3037|1.2005|1.1064|1.0137|0.9323|0.8589|0.7748|0.7211|0.6803|0.6271|0.6508|0.5887|0.5169|0.4897|0.4442|0.5135|0.4431|0.3659|0.2964|0.2497|0.211|0.1825|0.1597|0.1402|0.1257||||||||||||||||||||||||||||||||||||||||||||||||||
AdamCurvature|2.8795|2.4248|2.226|2.1081|2.0385|1.9923|1.9669|1.9241|1.9218|1.9413|1.9903|1.8337|1.7611|1.6907|1.6484|1.578|1.4871|1.429|1.3467|1.2635|1.1776|1.1087|1.1479|1.116|1.0506|0.914|0.8276|0.7341|0.6548|0.5931|0.5068|0.4566|0.4293|0.3901|0.3674|0.2951|0.2813|0.2531|0.2686|0.2149|0.1848|0.1571|0.1306|0.1177|0.1061|0.0945|0.087|0.0834|0.0766|0.0734||||||||||||||||||||||||||||||||||||||||||||||||||
AdamW|2.8795|2.425|2.2242|2.1769|2.2264|2.1808|2.1415|2.0963|2.0698|2.0441|2.0274|2.0197|2.0044|1.9924|1.9723|1.9641|1.9492|1.9342|1.918|1.9454|1.9112|1.8677|1.8447|1.8133|1.7721|1.7335|1.7277|1.6638|1.6516|1.5816|1.5616|1.5488|1.5066|1.4492|1.4315|1.422|1.3948|1.3388|1.2649|1.2332|1.175|1.1407|1.1089|1.0904|1.0963|1.0104|0.9344|0.903|0.8626|0.8814||||||||||||||||||||||||||||||||||||||||||||||||||
AdamWCurvature|2.8795|2.4248|2.226|2.0934|2.0843|2.0481|1.9915|1.9569|1.9167|1.8885|1.854|1.7961|1.7661|2.0028|2.2602|1.9754|1.8685|1.7676|1.6722|1.5822|1.4885|1.4669|1.4092|1.3026|1.2479|1.222|1.1225|1.0539|0.9554|0.8671|0.814|0.7322|0.6639|0.6208|0.5879|0.589|0.6135|0.6085|0.515|0.4213|0.3567|0.3234|0.2698|0.2198|0.1885|0.1613|0.1453|0.1284|0.1128|0.1042||||||||||||||||||||||||||||||||||||||||||||||||||
