Optimizer Name|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Mean_Training_Loss_epoch6|Mean_Training_Loss_epoch7|Mean_Training_Loss_epoch8|Mean_Training_Loss_epoch9|Mean_Training_Loss_epoch10|Mean_Training_Loss_epoch11|Mean_Training_Loss_epoch12|Mean_Training_Loss_epoch13|Mean_Training_Loss_epoch14|Mean_Training_Loss_epoch15|Mean_Training_Loss_epoch16|Mean_Training_Loss_epoch17|Mean_Training_Loss_epoch18|Mean_Training_Loss_epoch19|Mean_Training_Loss_epoch20|Mean_Training_Loss_epoch21|Mean_Training_Loss_epoch22|Mean_Training_Loss_epoch23|Mean_Training_Loss_epoch24|Mean_Training_Loss_epoch25|Mean_Training_Loss_epoch26|Mean_Training_Loss_epoch27|Mean_Training_Loss_epoch28|Mean_Training_Loss_epoch29|Mean_Training_Loss_epoch30|Mean_Training_Loss_epoch31|Mean_Training_Loss_epoch32|Mean_Training_Loss_epoch33|Mean_Training_Loss_epoch34|Mean_Training_Loss_epoch35|Mean_Training_Loss_epoch36|Mean_Training_Loss_epoch37|Mean_Training_Loss_epoch38|Mean_Training_Loss_epoch39|Mean_Training_Loss_epoch40|Mean_Training_Loss_epoch41|Mean_Training_Loss_epoch42|Mean_Training_Loss_epoch43|Mean_Training_Loss_epoch44|Mean_Training_Loss_epoch45|Mean_Training_Loss_epoch46|Mean_Training_Loss_epoch47|Mean_Training_Loss_epoch48|Mean_Training_Loss_epoch49|Mean_Training_Loss_epoch50|Std_Training_Loss_epoch1|Std_Training_Loss_epoch2|Std_Training_Loss_epoch3|Std_Training_Loss_epoch4|Std_Training_Loss_epoch5|Std_Training_Loss_epoch6|Std_Training_Loss_epoch7|Std_Training_Loss_epoch8|Std_Training_Loss_epoch9|Std_Training_Loss_epoch10|Std_Training_Loss_epoch11|Std_Training_Loss_epoch12|Std_Training_Loss_epoch13|Std_Training_Loss_epoch14|Std_Training_Loss_epoch15|Std_Training_Loss_epoch16|Std_Training_Loss_epoch17|Std_Training_Loss_epoch18|Std_Training_Loss_epoch19|Std_Training_Loss_epoch20|Std_Training_Loss_epoch21|Std_Training_Loss_epoch22|Std_Training_Loss_epoch23|Std_Training_Loss_epoch24|Std_Training_Loss_epoch25|Std_Training_Loss_epoch26|Std_Training_Loss_epoch27|Std_Training_Loss_epoch28|Std_Training_Loss_epoch29|Std_Training_Loss_epoch30|Std_Training_Loss_epoch31|Std_Training_Loss_epoch32|Std_Training_Loss_epoch33|Std_Training_Loss_epoch34|Std_Training_Loss_epoch35|Std_Training_Loss_epoch36|Std_Training_Loss_epoch37|Std_Training_Loss_epoch38|Std_Training_Loss_epoch39|Std_Training_Loss_epoch40|Std_Training_Loss_epoch41|Std_Training_Loss_epoch42|Std_Training_Loss_epoch43|Std_Training_Loss_epoch44|Std_Training_Loss_epoch45|Std_Training_Loss_epoch46|Std_Training_Loss_epoch47|Std_Training_Loss_epoch48|Std_Training_Loss_epoch49|Std_Training_Loss_epoch50
SimpleSGD|3.8365813732147216|3.664514350891113|3.50244083404541|3.352223587036133|3.215884065628052|3.095259761810303|2.9915645599365237|2.9049925327301027|2.834576463699341|2.7783896923065186|2.7339921474456785|2.6989039897918703|2.670934820175171|2.6483192443847656|2.629714059829712|2.6141279697418214|2.600837850570678|2.5893141746521|2.5791666984558104|2.570104551315308|2.561910104751587|2.5544182777404787|2.5475048542022707|2.541075134277344|2.535057163238525|2.529395008087158|2.524046850204468|2.518979072570801|2.514165687561035|2.5095849990844727|2.5052209854125977|2.5010578632354736|2.497084426879882|2.4932891845703127|2.489662456512451|2.486195945739746|2.482880878448486|2.4797104358673097|2.4766767978668214|2.4737739086151125|2.470995092391968|2.4683345317840577|2.465786361694336|2.4633448123931885|2.461004877090454|2.45876145362854|2.456609678268433|2.4545452117919924|2.4525634765625|2.4506601333618163||||||||||||||||||||||||||||||||||||||||||||||||||
SimpleSGDCurvature|2.933160400390625|2.4456789016723635|2.4004119873046874|2.381508731842041|2.367567825317382|2.3540687084198|2.3431303977966307|2.330807256698608|2.320774793624878|2.3089170455932617|2.299327754974365|2.2876586437225344|2.278208827972412|2.2663636684417723|2.256439733505249|2.243492126464844|2.231135129928589|2.213253402709961|2.18565731048584|2.122526836395264|2.0615094184875487|2.033127546310425|2.0168911457061767|2.00966591835022|1.998573350906372|1.9963000297546387|1.9912946462631225|1.9881946325302124|1.9876997470855715|1.97906334400177|1.977606511116028|1.9724849224090577|1.9715625286102292|1.9665621757507323|1.9633165836334228|1.960990881919861|1.959287977218628|1.9554458379745483|1.9534462690353396|1.9578288555145265|1.949859356880188|1.9458642482757569|1.9462443113327024|1.9426457166671756|1.9408041715621949|1.945368671417236|1.936495852470398|1.936749315261841|1.9322612047195435|1.9314120054244996||||||||||||||||||||||||||||||||||||||||||||||||||
Adam|2.881411361694336|2.3963320732116697|2.214400386810303|2.0703076839447023|2.021059823036194|1.9766404628753664|2.0159856557846068|2.1698482036590576|2.036361241340637|1.928436541557312|2.0064043045043944|1.8938056230545044|1.8674638748168944|1.775037741661072|1.720962858200073|1.6578423500061037|1.5861055850982666|1.576473927497864|1.5873504161834715|1.510261607170105|1.7598944902420044|1.6606360912322995|1.4558620572090148|1.340097200870514|1.604097270965576|1.975998330116272|1.751483941078186|1.5966888666152954|1.4531061172485351|1.3490169525146485|1.247439205646515|1.153498387336731|1.0612435698509215|0.9836458086967468|1.008490604162216|0.9148426353931428|0.8374480426311492|0.7693234324455261|0.7114922165870666|0.6693347871303559|0.6170266747474671|0.5703051567077637|0.4832462102174759|0.4274806439876556|0.3806226268410683|0.3278387889266014|0.2869064390659332|0.2556939646601677|0.2281722605228424|0.2088608756661415||||||||||||||||||||||||||||||||||||||||||||||||||
AdamCurvature|3.047840404510498|2.4508687973022463|2.2623214721679688|2.696815490722656|2.640034055709839|2.4401916027069093|2.322505331039429|2.239048337936401|2.1851908206939696|2.1287224292755127|2.0636400461196898|2.059124517440796|2.220550060272217|2.0121492624282835|1.9633084535598757|1.9446073532104493|1.86226966381073|1.806352758407593|1.7601441144943235|1.7305076122283936|1.7247282028198243|1.7064471244812012|1.849319863319397|1.8977070093154904|1.734444522857666|1.7819289684295654|2.04473774433136|2.161815810203552|2.041343832015991|2.208522725105285|1.9026196718215944|1.814142084121704|1.8158891916275024|1.8474648475646973|1.7529974460601807|1.6795562028884887|1.5869998693466187|1.5297848224639892|1.6197296857833865|2.001020383834839|1.8653379917144772|1.6236308574676517|1.5315988779067993|1.5337562322616578|1.6833486318588258|1.7642646312713623|1.6271373271942138|1.546266531944275|1.5680320501327514|1.4773414134979248||||||||||||||||||||||||||||||||||||||||||||||||||
HeavyBall|3.78139123916626|3.1199403285980223|2.648031949996948|2.630821418762207|2.578458404541016|2.477949619293213|2.4409671306610106|2.4446735858917235|2.424301767349243|2.4084279537200928|2.405479001998901|2.40112681388855|2.394701051712036|2.3905045986175537|2.38755841255188|2.3840368747711183|2.380790090560913|2.37796401977539|2.375208044052124|2.3724523067474363|2.369783449172973|2.3671611309051515|2.364562654495239|2.361997175216674|2.3594478130340577|2.3569026947021485|2.3543629169464118|2.3518259525299072|2.34928503036499|2.346739912033081|2.3441908836364744|2.341636371612549|2.3390740394592284|2.336501932144165|2.333920431137085|2.3313302040100097|2.328731155395508|2.3261225700378416|2.3235053062438964|2.320879316329956|2.318245077133178|2.3156028747558595|2.312953472137451|2.310297155380249|2.307634735107422|2.304966354370117|2.3022931098937987|2.2996148586273195|2.2969326972961426|2.2942469120025635||||||||||||||||||||||||||||||||||||||||||||||||||
HeavyBallCurvature|2.9695817947387697|2.481019115447998|2.398725986480713|2.368351697921753|2.340676784515381|2.309406280517578|2.2805908203125|2.251704692840576|2.1985517501831056|2.071258306503296|2.023625135421753|2.0046662092208862|1.992929410934448|1.9871546506881717|1.977128005027771|1.970997405052185|1.9608980417251587|1.9586958646774293|1.9536359786987303|1.95803656578064|1.961383056640625|1.9377700805664064|1.9364264726638796|1.934299731254577|1.9273307561874389|1.9157093524932864|1.9110525846481323|1.9098180294036864|1.9096421241760253|1.9074278116226195|1.902048921585083|1.9003347396850585|1.902634716033936|1.9015414237976076|1.8930455923080445|1.897603702545166|1.8908562898635863|1.8898346185684205|1.8982445001602173|1.8990965604782104|1.8852182149887085|1.8790066242218015|1.881471538543701|1.881881880760193|1.8740883827209476|1.8802840948104855|1.8672582149505612|1.8767196416854857|1.885559320449829|1.8622800588607789||||||||||||||||||||||||||||||||||||||||||||||||||
NAG|3.67627158164978|3.1306829929351805|2.69036922454834|2.608707046508789|2.579081630706787|2.4992680072784426|2.4366455078125|2.434925889968872|2.4262287616729736|2.408136987686157|2.39943208694458|2.396330499649048|2.391332674026489|2.385922622680664|2.382285737991333|2.3789865493774416|2.3754891395568847|2.3722956657409666|2.3693959712982178|2.36655068397522|2.363717269897461|2.360950565338135|2.3582281112670898|2.3555323123931884|2.352862739562988|2.3502118587493896|2.347570466995239|2.344936418533325|2.342307376861572|2.33967981338501|2.3370519638061524|2.3344248294830323|2.3317972660064696|2.329166936874389|2.3265334129333497|2.3238962650299078|2.321255731582641|2.318611812591553|2.315964365005493|2.313313341140747|2.310658693313598|2.3080007076263427|2.305339097976685|2.3026741981506347|2.3000065326690677|2.297335481643677|2.294661617279053|2.291984272003174|2.289303731918335|2.28661994934082||||||||||||||||||||||||||||||||||||||||||||||||||
NAGCurvature|2.99779019355774|2.4683253288269045|2.378316593170166|2.3449274063110352|2.3130939960479737|2.2860997200012205|2.2633606433868407|2.239394760131836|2.212687301635742|2.1562191963195803|2.044117927551269|1.994963812828064|1.9603013515472407|1.947670125961304|1.937269997596741|1.9328349828720093|1.9262783765792848|1.920613431930542|1.9093854427337649|1.906839656829834|1.909206795692444|1.9060473680496213|1.9009620666503904|1.895097255706787|1.9000985145568847|1.888394331932068|1.889684867858887|1.8839794397354128|1.9279425621032715|1.8812217712402344|1.881280517578125|1.8783805131912232|1.875460433959961|1.866971969604492|1.863942766189575|1.8623607873916623|1.8576976299285888|1.8692244291305544|1.8558467149734497|1.858253788948059|1.9507490634918208|1.881039905548096|1.8552642345428467|1.852042818069458|1.8676655054092408|1.8534539937973025|1.8388267278671264|1.8450571060180665|1.837818431854248|1.8315533876419068||||||||||||||||||||||||||||||||||||||||||||||||||
Adagrad|2.945321798324585|2.350199127197265|2.297516918182373|2.216169261932373|2.1597569465637205|2.434176588058472|2.085821437835693|2.0376728534698487|2.0619153022766112|2.1507247924804687|2.0303627967834474|2.0269188404083254|2.009227085113525|2.0037523984909056|1.9950878858566283|1.9770607948303225|1.969357657432556|1.9559234142303468|1.990107321739197|2.012911438941956|1.9650758504867556|1.973549199104309|1.941796469688416|1.969906759262085|1.934763240814209|1.99111647605896|2.0530283212661744|1.9263837337493896|1.929439568519592|1.9361732721328733|1.897356176376343|1.9229823350906368|1.9315678596496584|1.9053093194961548|1.8976847171783449|1.8857345819473263|1.9140102863311768|1.8737950563430783|1.8913188934326173|1.9274086236953736|1.867008280754089|1.853981184959412|1.9204578399658203|1.88122398853302|1.8711369037628172|1.849125862121582|1.8551085948944093|1.863539981842041|1.8733166933059693|1.8525808811187745||||||||||||||||||||||||||||||||||||||||||||||||||
AdagradCurvature|2.833647060394287|2.436832332611084|2.337735319137573|2.230564832687378|2.125844955444336|2.077615118026733|2.2443127632141118|2.0366130113601684|2.004182958602905|1.999744725227356|1.991175150871277|1.9769911289215087|1.969889187812805|1.9621899843215944|1.9733792543411253|1.9557507514953612|1.9681525468826293|1.978456211090088|1.938594889640808|1.919696044921875|1.921697020530701|1.926209855079651|1.9571757555007931|1.906851100921631|1.9068642854690552|1.925626850128174|1.8931214332580568|1.8868786334991452|1.896662163734436|1.8760645389556885|1.9012441396713256|1.865044403076172|2.0155230522155763|1.8655781507492064|1.846260929107666|1.843515348434448|1.8504982233047484|1.8560487508773804|1.8416077136993407|1.8685999631881716|1.8287595748901369|1.822144603729248|1.823357367515564|1.97824547290802|1.826573729515076|1.8426576614379884|1.7947486162185669|1.9094426155090327|1.7729558229446412|1.76490318775177||||||||||||||||||||||||||||||||||||||||||||||||||
