Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,2538.7734375,2897.53125,461.142578125,938.97802734375,480.0,17030.0
SimpleSGDCurvature,1,2900.98046875,2900.98046875,477.548828125,938.3330078125,5772.0,16462.0
Adam,1,2902.12890625,2902.12890625,477.3125,1861.59375,5314.0,16004.0
AdamCurvature,1,2902.5703125,2902.5703125,477.3125,1860.890625,5314.0,16008.0
HeavyBall,1,2902.5703125,2902.5703125,477.3125,1399.984375,5316.0,16002.0
HeavyBallCurvature,1,2902.578125,2902.578125,477.3125,1399.984375,5312.0,16006.0
NAG,1,2902.58203125,2902.58203125,477.3125,1399.984375,5316.0,16002.0
NAGCurvature,1,2902.5859375,2902.5859375,477.3125,1399.984375,5312.0,16006.0
Adagrad,1,2902.5859375,2902.5859375,477.3125,1399.984375,5314.0,16002.0
AdagradCurvature,1,2902.58984375,2902.58984375,477.3125,1399.984375,5312.0,16006.0
Adadelta,1,2902.59765625,2902.59765625,477.3125,1861.59375,5314.0,16004.0
AdadeltaCurvature,1,2902.72265625,2902.72265625,477.3125,1860.890625,5314.0,16008.0
RMSProp,1,2902.72265625,2902.72265625,477.3125,1399.984375,5316.0,16002.0
RMSPropCurvature,1,2902.7265625,2902.7265625,477.3125,1399.984375,5312.0,16006.0
RMSPropMomentum,1,2902.7265625,2902.7265625,477.3125,1861.59375,5314.0,16004.0
RMSPropMomentumCurvature,1,2902.7265625,2902.7265625,477.3125,1860.890625,5314.0,16008.0
AdamW,1,2902.73046875,2902.73046875,477.3125,1861.59375,5316.0,16004.0
AdamWCurvature,1,2902.73046875,2902.73046875,477.3125,1860.890625,5314.0,16008.0
NAdam,1,2902.73046875,2902.73046875,477.3125,1861.59375,5316.0,16004.0
NAdamCurvature,1,2902.73046875,2902.73046875,477.3125,1860.890625,5314.0,16008.0
NAdamW,1,2902.734375,2902.734375,477.3125,1861.59375,5316.0,16004.0
NAdamWCurvature,1,2902.734375,2902.734375,477.3125,1860.890625,5314.0,16008.0
AMSGrad,1,2902.734375,2902.734375,477.3125,2321.796875,5316.0,16004.0
AMSGradCurvature,1,2902.921875,2902.921875,477.3125,2321.796875,5314.0,21280.0
