,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,3.8365813732147216
1,SimpleSGD,1,2,3.664514350891113
2,SimpleSGD,1,3,3.50244083404541
3,SimpleSGD,1,4,3.352223587036133
4,SimpleSGD,1,5,3.215884065628052
5,SimpleSGD,1,6,3.095259761810303
6,SimpleSGD,1,7,2.9915645599365233
7,SimpleSGD,1,8,2.9049925327301027
8,SimpleSGD,1,9,2.834576463699341
9,SimpleSGD,1,10,2.7783896923065186
10,SimpleSGD,1,11,2.7339921474456785
11,SimpleSGD,1,12,2.6989039897918703
12,SimpleSGD,1,13,2.670934820175171
13,SimpleSGD,1,14,2.6483192443847656
14,SimpleSGD,1,15,2.6297140598297117
15,SimpleSGD,1,16,2.6141279697418214
16,SimpleSGD,1,17,2.6008378505706786
17,SimpleSGD,1,18,2.5893141746521
18,SimpleSGD,1,19,2.5791666984558104
19,SimpleSGD,1,20,2.570104551315308
20,SimpleSGD,1,21,2.561910104751587
21,SimpleSGD,1,22,2.5544182777404787
22,SimpleSGD,1,23,2.5475048542022707
23,SimpleSGD,1,24,2.5410751342773437
24,SimpleSGD,1,25,2.5350571632385255
25,SimpleSGD,1,26,2.529395008087158
26,SimpleSGD,1,27,2.524046850204468
27,SimpleSGD,1,28,2.518979072570801
28,SimpleSGD,1,29,2.514165687561035
29,SimpleSGD,1,30,2.5095849990844727
30,SimpleSGD,1,31,2.5052209854125977
31,SimpleSGD,1,32,2.5010578632354736
32,SimpleSGD,1,33,2.4970844268798826
33,SimpleSGD,1,34,2.4932891845703127
34,SimpleSGD,1,35,2.489662456512451
35,SimpleSGD,1,36,2.486195945739746
36,SimpleSGD,1,37,2.482880878448486
37,SimpleSGD,1,38,2.4797104358673097
38,SimpleSGD,1,39,2.4766767978668214
39,SimpleSGD,1,40,2.4737739086151125
40,SimpleSGD,1,41,2.4709950923919677
41,SimpleSGD,1,42,2.4683345317840577
42,SimpleSGD,1,43,2.465786361694336
43,SimpleSGD,1,44,2.4633448123931885
44,SimpleSGD,1,45,2.461004877090454
45,SimpleSGD,1,46,2.45876145362854
46,SimpleSGD,1,47,2.456609678268433
47,SimpleSGD,1,48,2.4545452117919924
48,SimpleSGD,1,49,2.4525634765625
49,SimpleSGD,1,50,2.4506601333618163
50,SimpleSGDCurvature,1,1,2.933160400390625
51,SimpleSGDCurvature,1,2,2.4456789016723635
52,SimpleSGDCurvature,1,3,2.4004119873046874
53,SimpleSGDCurvature,1,4,2.381508731842041
54,SimpleSGDCurvature,1,5,2.3675678253173826
55,SimpleSGDCurvature,1,6,2.3540687084198
56,SimpleSGDCurvature,1,7,2.3431303977966307
57,SimpleSGDCurvature,1,8,2.330807256698608
58,SimpleSGDCurvature,1,9,2.320774793624878
59,SimpleSGDCurvature,1,10,2.3089170455932617
60,SimpleSGDCurvature,1,11,2.299327754974365
61,SimpleSGDCurvature,1,12,2.2876586437225344
62,SimpleSGDCurvature,1,13,2.278208827972412
63,SimpleSGDCurvature,1,14,2.2663636684417723
64,SimpleSGDCurvature,1,15,2.256439733505249
65,SimpleSGDCurvature,1,16,2.2434921264648438
66,SimpleSGDCurvature,1,17,2.231135129928589
67,SimpleSGDCurvature,1,18,2.213253402709961
68,SimpleSGDCurvature,1,19,2.1856573104858397
69,SimpleSGDCurvature,1,20,2.122526836395264
70,SimpleSGDCurvature,1,21,2.0615094184875487
71,SimpleSGDCurvature,1,22,2.033127546310425
72,SimpleSGDCurvature,1,23,2.0168911457061767
73,SimpleSGDCurvature,1,24,2.00966591835022
74,SimpleSGDCurvature,1,25,1.9985733509063721
75,SimpleSGDCurvature,1,26,1.9963000297546387
76,SimpleSGDCurvature,1,27,1.9912946462631225
