optimizer,momentum,mean_accuracy,std_accuracy
SimpleSGD,,0.3603563474387528,0.0
SimpleSGDCurvature,,0.3465478841870824,0.0
Adam,,0.4552338530066815,0.0
AdamCurvature,,0.49443207126948774,0.0
HeavyBall,,0.37683741648106905,0.0
HeavyBallCurvature,,0.5256124721603563,0.0
NAG,,0.37683741648106905,0.0
NAGCurvature,,0.5296213808463252,0.0
Adagrad,,0.4374164810690423,0.0
AdagradCurvature,,0.510467706013363,0.0
Adadelta,,0.3603563474387528,0.0
AdadeltaCurvature,,0.36124721603563476,0.0
RMSProp,,0.45434298440979953,0.0
RMSPropCurvature,,0.488195991091314,0.0
RMSPropMomentum,,0.4734966592427617,0.0
RMSPropMomentumCurvature,,0.35144766146993317,0.0
AdamW,,0.5131403118040089,0.0
AdamWCurvature,,0.49933184855233853,0.0
NAdam,,0.311804008908686,0.0
NAdamCurvature,,0.4873051224944321,0.0
NAdamW,,0.4971046770601336,0.0
NAdamWCurvature,,0.39242761692650335,0.0
AMSGrad,,0.46815144766146993,0.0
AMSGradCurvature,,0.4463251670378619,0.0
