|Optimizer Name|Running loop number|Epoch number|Average Training Loss
0|SimpleSGD|1|1|1.2863
1|SimpleSGD|1|2|1.2852
2|SimpleSGD|1|3|1.2736
3|SimpleSGD|1|4|1.2654
4|SimpleSGD|1|5|1.2595
5|SimpleSGD|1|6|1.2551
6|SimpleSGD|1|7|1.2514
7|SimpleSGD|1|8|1.2481
8|SimpleSGD|1|9|1.245
9|SimpleSGD|1|10|1.2419
10|SimpleSGD|2|1|1.2764
11|SimpleSGD|2|2|1.2763
12|SimpleSGD|2|3|1.266
13|SimpleSGD|2|4|1.2589
14|SimpleSGD|2|5|1.2538
15|SimpleSGD|2|6|1.2501
16|SimpleSGD|2|7|1.2472
17|SimpleSGD|2|8|1.2448
18|SimpleSGD|2|9|1.2424
19|SimpleSGD|2|10|1.24
20|SimpleSGDCurvature|1|1|4.0604
21|SimpleSGDCurvature|1|2|12.3906
22|SimpleSGDCurvature|1|3|10.5376
23|SimpleSGDCurvature|1|4|10.0825
24|SimpleSGDCurvature|1|5|8.5562
25|SimpleSGDCurvature|1|6|9.9884
26|SimpleSGDCurvature|1|7|9.7533
27|SimpleSGDCurvature|1|8|9.7084
28|SimpleSGDCurvature|1|9|9.6212
29|SimpleSGDCurvature|1|10|9.4345
30|Adam|1|1|1.3497
31|Adam|1|2|1.3432
32|Adam|1|3|1.3085
33|Adam|1|4|1.2801
34|Adam|1|5|1.2563
35|Adam|1|6|1.2457
36|Adam|1|7|1.2485
37|Adam|1|8|1.2333
38|Adam|1|9|1.2447
39|Adam|1|10|1.2399
40|Adam|2|1|1.279
41|Adam|2|2|1.2617
42|Adam|2|3|1.315
43|Adam|2|4|1.3457
44|Adam|2|5|1.3558
45|Adam|2|6|1.3269
46|Adam|2|7|1.3055
47|Adam|2|8|1.3659
48|Adam|2|9|1.4044
49|Adam|2|10|1.3524
50|AdamCurvature|1|1|1.3838
51|AdamCurvature|1|2|1.3565
52|AdamCurvature|1|3|1.3622
53|AdamCurvature|1|4|1.3462
54|AdamCurvature|1|5|1.326
55|AdamCurvature|1|6|1.3136
56|AdamCurvature|1|7|1.3074
57|AdamCurvature|1|8|1.2982
58|AdamCurvature|1|9|1.2838
59|AdamCurvature|1|10|1.2721
60|AdamCurvature|2|1|1.354
61|AdamCurvature|2|2|1.3842
62|AdamCurvature|2|3|1.3907
63|AdamCurvature|2|4|1.3807
64|AdamCurvature|2|5|1.3528
65|AdamCurvature|2|6|1.333
66|AdamCurvature|2|7|1.3115
67|AdamCurvature|2|8|1.2941
68|AdamCurvature|2|9|1.287
69|AdamCurvature|2|10|1.2805
70|HeavyBall|1|1|1.2384
71|HeavyBall|1|2|1.2144
72|HeavyBall|1|3|1.2009
73|HeavyBall|1|4|1.198
74|HeavyBall|1|5|1.1949
75|HeavyBall|1|6|1.1906
76|HeavyBall|1|7|1.1867
77|HeavyBall|1|8|1.182
78|HeavyBall|1|9|1.179
79|HeavyBall|1|10|1.1762
80|HeavyBall|2|1|1.2398
81|HeavyBall|2|2|1.2204
82|HeavyBall|2|3|1.2035
83|HeavyBall|2|4|1.1979
84|HeavyBall|2|5|1.1957
85|HeavyBall|2|6|1.1932
86|HeavyBall|2|7|1.1879
87|HeavyBall|2|8|1.1836
88|HeavyBall|2|9|1.1809
89|HeavyBall|2|10|1.1775
90|HeavyBallCurvature|1|1|4.5107
91|HeavyBallCurvature|1|2|6.6258
92|HeavyBallCurvature|1|3|6.2822
93|HeavyBallCurvature|1|4|5.7739
94|HeavyBallCurvature|1|5|11.0259
95|HeavyBallCurvature|1|6|13.6127
96|HeavyBallCurvature|1|7|14.8169
97|HeavyBallCurvature|1|8|13.8047
98|HeavyBallCurvature|1|9|13.3316
99|HeavyBallCurvature|1|10|13.2365
100|HeavyBallCurvature|2|1|2.6197
101|HeavyBallCurvature|2|2|5.4687
102|HeavyBallCurvature|2|3|5.305
103|HeavyBallCurvature|2|4|12.3924
104|HeavyBallCurvature|2|5|12.5902
105|HeavyBallCurvature|2|6|12.7618
106|HeavyBallCurvature|2|7|12.9582
107|HeavyBallCurvature|2|8|12.6062
108|HeavyBallCurvature|2|9|12.4475
109|HeavyBallCurvature|2|10|12.6456
110|NAG|1|1|1.2384
111|NAG|1|2|1.2144
112|NAG|1|3|1.2009
113|NAG|1|4|1.198
114|NAG|1|5|1.1949
115|NAG|1|6|1.1906
116|NAG|1|7|1.1867
117|NAG|1|8|1.182
118|NAG|1|9|1.179
119|NAG|1|10|1.1762
120|NAG|2|1|1.2398
121|NAG|2|2|1.2204
122|NAG|2|3|1.2035
123|NAG|2|4|1.1979
124|NAG|2|5|1.1957
125|NAG|2|6|1.1932
126|NAG|2|7|1.1879
127|NAG|2|8|1.1836
128|NAG|2|9|1.1809
129|NAG|2|10|1.1775
130|NAGCurvature|1|1|4.9766
