Optimizer Name|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Mean_Training_Loss_epoch6|Mean_Training_Loss_epoch7|Mean_Training_Loss_epoch8|Mean_Training_Loss_epoch9|Mean_Training_Loss_epoch10|Std_Training_Loss_epoch1|Std_Training_Loss_epoch2|Std_Training_Loss_epoch3|Std_Training_Loss_epoch4|Std_Training_Loss_epoch5|Std_Training_Loss_epoch6|Std_Training_Loss_epoch7|Std_Training_Loss_epoch8|Std_Training_Loss_epoch9|Std_Training_Loss_epoch10
SimpleSGD|1.2825219833363055|1.2820526066122828|1.271487704525883|1.2642406437056515|1.258988060825319|1.2549460299558879|1.2516125114857133|1.2486103917784623|1.2456225871062911|1.2424180605824913|0.0018934410723836378|0.002991226283279445|0.0030730246510221417|0.0028189245753425544|0.0025592141215039018|0.0023629293418870596|0.0022177623587959425|0.0021027104347490764|0.0019911390135752085|0.0018011131803129644
SimpleSGDCurvature|1.2010974307926334|1.165277931671802|1.149014741864889|1.1475736458198218|1.163383283468995|1.1675187704338654|1.1663194802241215|1.159032882276338|1.1525160600802926|1.1376657111444723|0.0009804448397058804|0.0006804113792362177|0.0026786542110088314|0.010076455436022733|0.023936724050821492|0.04844646685526524|0.04461163241431666|0.04957192555673027|0.049562656204898164|0.0388790875420376
Adam|1.3535203568926564|1.340907555619839|1.3723152096985318|1.3355423523361236|1.3076105510485818|1.2748861511476295|1.2769968686191469|1.2659443029287516|1.2583649699913448|1.2559091876126753|0.0051406654220411355|0.05258953928723604|0.005871083368406317|0.036387793735469916|0.027070834600063425|0.03810888271592364|0.02266944734488025|0.014013740197497876|0.016485544311613785|0.01927792470564968
AdamCurvature|1.2594795662324523|1.2715938107453946|1.2850186411109723|1.2884200489128035|1.295100669406772|1.28910203820574|1.2854749678992632|1.2788677971545699|1.2746056421428995|1.270248440692223|0.0005766702720736385|0.004331428654977028|0.006286520046106045|0.011537126058896197|0.018253749827541542|0.0011468052000760311|0.007699551287184515|0.007644692016748978|0.003482100522052839|0.01046049410491298
HeavyBall|1.2383170709540656|1.2193382743941923|1.2020926947557413|1.1968840192785222|1.192655610485315|1.1892706243882947|1.1850994395255066|1.180575987944785|1.1767214130892922|1.1741401990445666|0.00047527077520162026|0.0016432862246590837|0.000909562211331087|0.0018496987790875593|0.0020145418533670375|0.0011413912364474671|0.00177869274163942|0.00132747781679138|0.002317782841169792|0.0018817259595473165
HeavyBallCurvature|1.209954630975723|1.1713254087146685|1.1470760852248971|1.1264540746298333|1.1166960300558246|1.1104057411096984|1.0981583789840532|1.1112855983681695|1.0982854871522711|1.0909799840602106|0.0025217909576007616|0.00032054875416018827|0.005184526876946355|0.0001463584056259245|0.004059375552180979|0.012677598294740992|0.006112712780560105|0.01998963076853618|0.005171388019044718|0.002831590232783831
NAG|1.2386213260108891|1.216008696217059|1.2017815655956043|1.1981537213221358|1.194400093637361|1.190897992418583|1.1875335991163278|1.183929211249788|1.17956053745331|1.1763500489183083|0.0010898808931718415|0.0023152801424105307|0.0007535258380770469|0.0014350519560798107|0.00045119434959339647|0.0015219652022581821|0.0007374701763281216|0.0019576958146441453|0.0005829798400708414|0.0013801697568511806
NAGCurvature|1.2119748994051267|1.1674264886382155|1.1549599422084578|1.1332817911635071|1.112902339050287|1.1085607350595763|1.0967904401020236|1.1320609343485435|1.110562324529691|1.087446673610736|0.0010850441865213232|0.0017867742960805677|0.024615446487953673|0.004289314786314831|0.006381812695300287|0.025617554645491813|0.011345649699364344|0.025143589784340847|0.0014277117141179396|0.016439488176542002
Adagrad|1.195391973873484|1.21085507903763|1.2210232672120382|1.2240503055543615|1.222717162859769|1.2149595820457029|1.2049321071755998|1.197596480033442|1.1927056591094294|1.1890966787105754|0.0004059098735706699|0.0008889786910666784|0.002635070840817721|0.0035940244618615745|0.005832124911792854|0.008778229109339945|0.005249103992035043|0.0025039793448316484|0.0017934712822504232|0.001606770071604265
AdagradCurvature|1.1921058081654183|1.1940409727113144|1.2004788857237734|1.1989836978288837|1.1921327106365063|1.1700686718501068|1.1679890787444025|1.187433836005931|1.1831665459432068|1.177704027176671|0.0009732904284339382|0.002069546844034521|0.018153067635063788|0.01824532635387977|0.026438092672320147|0.05651556214906183|0.05835143237809673|0.029959234430615992|0.03528328713495371|0.04234482532931572
