Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,3074.79296875,3375.5234375,461.025390625,939.04052734375,480.0,3466.0
SimpleSGD,2,3378.48046875,3378.48046875,478.01513671875,939.04052734375,1472.0,2428.0
SimpleSGDCurvature,1,3397.22265625,3397.22265625,478.01513671875,939.04052734375,1396.0,3728.0
SimpleSGDCurvature,2,3399.27734375,3399.27734375,478.01513671875,939.04052734375,1856.0,3728.0
Adam,1,3400.0234375,3400.27734375,478.01513671875,1861.09130859375,1396.0,2812.0
Adam,2,3403.234375,3403.234375,478.01513671875,1861.09130859375,2774.0,2812.0
AdamCurvature,1,3403.1484375,3403.1484375,478.01513671875,1861.09130859375,2314.0,5564.0
AdamCurvature,2,3403.2734375,3403.2734375,478.01513671875,1861.09130859375,2774.0,5564.0
HeavyBall,1,3403.26953125,3403.26953125,478.01513671875,1400.06591796875,2316.0,2810.0
HeavyBall,2,3403.375,3403.375,478.01513671875,1400.06591796875,2314.0,2810.0
HeavyBallCurvature,1,3403.26953125,3403.26953125,478.01513671875,1400.06591796875,1854.0,5104.0
HeavyBallCurvature,2,3403.3828125,3403.3828125,478.01513671875,1400.06591796875,2314.0,5562.0
NAG,1,3403.2734375,3403.2734375,478.01513671875,1400.06591796875,1856.0,2352.0
NAG,2,3403.40625,3403.40625,478.01513671875,1400.06591796875,2314.0,2352.0
NAGCurvature,1,3403.2890625,3403.2890625,478.01513671875,1400.06591796875,1854.0,4646.0
NAGCurvature,2,3403.40234375,3403.40234375,478.01513671875,1400.06591796875,2314.0,4646.0
Adagrad,1,3403.296875,3403.296875,478.01513671875,1400.06591796875,1856.0,2352.0
Adagrad,2,3403.39453125,3403.39453125,478.01513671875,1400.06591796875,2314.0,2352.0
AdagradCurvature,1,3403.38671875,3403.38671875,478.01513671875,1400.06591796875,1854.0,4646.0
AdagradCurvature,2,3403.5,3403.5,478.01513671875,1400.06591796875,2314.0,4646.0
Adadelta,1,3403.421875,3403.421875,478.01513671875,1861.09130859375,1856.0,3270.0
Adadelta,2,3403.53515625,3403.53515625,478.01513671875,1861.09130859375,2774.0,3270.0
AdadeltaCurvature,1,3403.39453125,3403.39453125,478.01513671875,1861.09130859375,2314.0,6022.0
