|Optimizer Name|Running loop number|Epoch number|Average Training Loss
0|SimpleSGD|1|1|2.2701
1|SimpleSGD|1|2|2.1613
2|SimpleSGD|1|3|2.0816
3|SimpleSGD|1|4|2.0041
4|SimpleSGD|1|5|1.9431
5|SimpleSGD|1|6|1.8903
6|SimpleSGD|1|7|1.8383
7|SimpleSGD|1|8|1.8037
8|SimpleSGD|1|9|1.7662
9|SimpleSGD|1|10|1.7373
10|SimpleSGD|2|1|2.2618
11|SimpleSGD|2|2|2.1692
12|SimpleSGD|2|3|2.0823
13|SimpleSGD|2|4|2.0084
14|SimpleSGD|2|5|1.931
15|SimpleSGD|2|6|1.8758
16|SimpleSGD|2|7|1.8322
17|SimpleSGD|2|8|1.784
18|SimpleSGD|2|9|1.7579
19|SimpleSGD|2|10|1.7185
20|SimpleSGD|3|1|2.2687
21|SimpleSGD|3|2|2.1782
22|SimpleSGD|3|3|2.0998
23|SimpleSGD|3|4|2.0285
24|SimpleSGD|3|5|1.9595
25|SimpleSGD|3|6|1.8975
26|SimpleSGD|3|7|1.8381
27|SimpleSGD|3|8|1.7977
28|SimpleSGD|3|9|1.7613
29|SimpleSGD|3|10|1.7254
30|SimpleSGDCurvature|1|1|2.2977
31|SimpleSGDCurvature|1|2|1.7391
32|SimpleSGDCurvature|1|3|1.5768
33|SimpleSGDCurvature|1|4|1.4482
34|SimpleSGDCurvature|1|5|1.3477
35|SimpleSGDCurvature|1|6|1.2508
36|SimpleSGDCurvature|1|7|1.1828
37|SimpleSGDCurvature|1|8|1.041
38|SimpleSGDCurvature|1|9|0.9132
39|SimpleSGDCurvature|1|10|0.7876
40|SimpleSGDCurvature|2|1|2.4168
41|SimpleSGDCurvature|2|2|1.7045
42|SimpleSGDCurvature|2|3|1.5833
43|SimpleSGDCurvature|2|4|1.4974
44|SimpleSGDCurvature|2|5|1.3972
45|SimpleSGDCurvature|2|6|1.315
46|SimpleSGDCurvature|2|7|1.1992
47|SimpleSGDCurvature|2|8|1.0965
48|SimpleSGDCurvature|2|9|1.0348
49|SimpleSGDCurvature|2|10|0.9063
50|SimpleSGDCurvature|3|1|2.4568
51|SimpleSGDCurvature|3|2|1.7433
52|SimpleSGDCurvature|3|3|1.6137
53|SimpleSGDCurvature|3|4|1.5423
54|SimpleSGDCurvature|3|5|1.4148
55|SimpleSGDCurvature|3|6|1.349
56|SimpleSGDCurvature|3|7|1.2432
57|SimpleSGDCurvature|3|8|1.1273
58|SimpleSGDCurvature|3|9|1.0659
59|SimpleSGDCurvature|3|10|0.9966
60|Adam|1|1|1.7548
61|Adam|1|2|1.5078
62|Adam|1|3|1.3937
63|Adam|1|4|1.2464
64|Adam|1|5|1.1422
65|Adam|1|6|1.0219
66|Adam|1|7|0.9547
67|Adam|1|8|0.8885
68|Adam|1|9|0.8027
69|Adam|1|10|0.7644
70|Adam|2|1|1.7861
71|Adam|2|2|1.5115
72|Adam|2|3|1.3911
73|Adam|2|4|1.2805
74|Adam|2|5|1.172
75|Adam|2|6|1.0499
76|Adam|2|7|0.9618
77|Adam|2|8|0.8818
78|Adam|2|9|0.7591
79|Adam|2|10|0.6938
80|Adam|3|1|1.7966
81|Adam|3|2|1.4988
82|Adam|3|3|1.3847
83|Adam|3|4|1.2143
84|Adam|3|5|1.0965
85|Adam|3|6|0.9834
86|Adam|3|7|0.9173
87|Adam|3|8|0.8351
88|Adam|3|9|0.7566
89|Adam|3|10|0.6976
90|HeavyBall|1|1|2.0719
91|HeavyBall|1|2|1.75
92|HeavyBall|1|3|1.6378
93|HeavyBall|1|4|1.5398
94|HeavyBall|1|5|1.4781
95|HeavyBall|1|6|1.4333
96|HeavyBall|1|7|1.3498
97|HeavyBall|1|8|1.3045
98|HeavyBall|1|9|1.2353
99|HeavyBall|1|10|1.1725
100|HeavyBall|2|1|2.0928
101|HeavyBall|2|2|1.755
102|HeavyBall|2|3|1.619
103|HeavyBall|2|4|1.5644
104|HeavyBall|2|5|1.5035
105|HeavyBall|2|6|1.4267
106|HeavyBall|2|7|1.376
107|HeavyBall|2|8|1.3075
108|HeavyBall|2|9|1.2508
109|HeavyBall|2|10|1.1769
110|HeavyBall|3|1|2.0842
111|HeavyBall|3|2|1.7365
112|HeavyBall|3|3|1.6138
113|HeavyBall|3|4|1.5568
114|HeavyBall|3|5|1.4752
115|HeavyBall|3|6|1.4254
116|HeavyBall|3|7|1.3578
117|HeavyBall|3|8|1.3091
118|HeavyBall|3|9|1.2754
119|HeavyBall|3|10|1.1937
120|HeavyBallCurvature|1|1|2.3305
121|HeavyBallCurvature|1|2|1.7188
122|HeavyBallCurvature|1|3|1.5975
123|HeavyBallCurvature|1|4|1.4413
124|HeavyBallCurvature|1|5|1.3128
125|HeavyBallCurvature|1|6|1.1908
126|HeavyBallCurvature|1|7|1.143
127|HeavyBallCurvature|1|8|0.9777
128|HeavyBallCurvature|1|9|0.8625
129|HeavyBallCurvature|1|10|0.6841
130|HeavyBallCurvature|2|1|2.3342
131|HeavyBallCurvature|2|2|1.7065
132|HeavyBallCurvature|2|3|1.568
133|HeavyBallCurvature|2|4|1.4371
134|HeavyBallCurvature|2|5|1.3586
135|HeavyBallCurvature|2|6|1.2434
136|HeavyBallCurvature|2|7|1.0806
137|HeavyBallCurvature|2|8|0.9485
138|HeavyBallCurvature|2|9|0.8111
139|HeavyBallCurvature|2|10|0.6716
140|HeavyBallCurvature|3|1|2.6251
141|HeavyBallCurvature|3|2|1.7308
142|HeavyBallCurvature|3|3|1.6312
143|HeavyBallCurvature|3|4|1.5988
144|HeavyBallCurvature|3|5|1.4512
145|HeavyBallCurvature|3|6|1.3891
146|HeavyBallCurvature|3|7|1.2709
147|HeavyBallCurvature|3|8|1.1904
148|HeavyBallCurvature|3|9|1.1147
149|HeavyBallCurvature|3|10|1.0098
150|NAG|1|1|2.0681
151|NAG|1|2|1.7417
152|NAG|1|3|1.6286
153|NAG|1|4|1.5393
154|NAG|1|5|1.4812
155|NAG|1|6|1.4356
156|NAG|1|7|1.3669
157|NAG|1|8|1.3211
158|NAG|1|9|1.2526
159|NAG|1|10|1.195
160|NAG|2|1|2.0874
161|NAG|2|2|1.7539
162|NAG|2|3|1.6105
163|NAG|2|4|1.5546
164|NAG|2|5|1.4871
165|NAG|2|6|1.4154
166|NAG|2|7|1.3621
167|NAG|2|8|1.291
168|NAG|2|9|1.2306
169|NAG|2|10|1.1441
170|NAG|3|1|2.0834
171|NAG|3|2|1.7419
172|NAG|3|3|1.6252
173|NAG|3|4|1.5654
174|NAG|3|5|1.4805
175|NAG|3|6|1.4256
176|NAG|3|7|1.3691
177|NAG|3|8|1.3174
178|NAG|3|9|1.2738
179|NAG|3|10|1.2114
180|NAGCurvature|1|1|2.3463
181|NAGCurvature|1|2|1.724
182|NAGCurvature|1|3|1.6211
183|NAGCurvature|1|4|1.5297
184|NAGCurvature|1|5|1.3818
185|NAGCurvature|1|6|1.2926
186|NAGCurvature|1|7|1.1977
187|NAGCurvature|1|8|1.0736
188|NAGCurvature|1|9|0.9949
189|NAGCurvature|1|10|0.8653
190|NAGCurvature|2|1|2.2904
191|NAGCurvature|2|2|1.6822
192|NAGCurvature|2|3|1.5504
193|NAGCurvature|2|4|1.3963
194|NAGCurvature|2|5|1.3186
195|NAGCurvature|2|6|1.2153
196|NAGCurvature|2|7|1.0383
197|NAGCurvature|2|8|0.8997
198|NAGCurvature|2|9|0.7593
199|NAGCurvature|2|10|0.6075
200|NAGCurvature|3|1|2.6294
201|NAGCurvature|3|2|1.7466
202|NAGCurvature|3|3|1.6421
203|NAGCurvature|3|4|1.5963
204|NAGCurvature|3|5|1.4916
205|NAGCurvature|3|6|1.4458
206|NAGCurvature|3|7|1.3286
207|NAGCurvature|3|8|1.2604
208|NAGCurvature|3|9|1.203
209|NAGCurvature|3|10|1.0899
210|Adagrad|1|1|2.1186
211|Adagrad|1|2|1.7418
212|Adagrad|1|3|1.6228
213|Adagrad|1|4|1.5253
214|Adagrad|1|5|1.4573
215|Adagrad|1|6|1.3705
216|Adagrad|1|7|1.2938
217|Adagrad|1|8|1.2055
218|Adagrad|1|9|1.1139
219|Adagrad|1|10|1.0549
220|Adagrad|2|1|2.1236
221|Adagrad|2|2|1.7004
222|Adagrad|2|3|1.6021
223|Adagrad|2|4|1.5341
224|Adagrad|2|5|1.4462
225|Adagrad|2|6|1.3893
226|Adagrad|2|7|1.3099
227|Adagrad|2|8|1.2212
228|Adagrad|2|9|1.1652
229|Adagrad|2|10|1.0919
230|Adagrad|3|1|2.11
231|Adagrad|3|2|1.6769
232|Adagrad|3|3|1.5793
233|Adagrad|3|4|1.5446
234|Adagrad|3|5|1.3982
235|Adagrad|3|6|1.3292
236|Adagrad|3|7|1.2285
237|Adagrad|3|8|1.1573
238|Adagrad|3|9|1.1159
239|Adagrad|3|10|1.0255
240|Adadelta|1|1|2.126
241|Adadelta|1|2|1.7228
242|Adadelta|1|3|1.5842
243|Adadelta|1|4|1.432
244|Adadelta|1|5|1.3438
245|Adadelta|1|6|1.2377
246|Adadelta|1|7|1.1721
247|Adadelta|1|8|1.0638
248|Adadelta|1|9|0.9477
249|Adadelta|1|10|0.8793
250|Adadelta|2|1|2.1039
251|Adadelta|2|2|1.701
252|Adadelta|2|3|1.5499
253|Adadelta|2|4|1.4647
254|Adadelta|2|5|1.3561
255|Adadelta|2|6|1.2437
256|Adadelta|2|7|1.1475
257|Adadelta|2|8|1.0367
258|Adadelta|2|9|0.96
259|Adadelta|2|10|0.8366
260|Adadelta|3|1|2.0927
261|Adadelta|3|2|1.7118
262|Adadelta|3|3|1.5549
263|Adadelta|3|4|1.5317
264|Adadelta|3|5|1.3262
265|Adadelta|3|6|1.2465
266|Adadelta|3|7|1.1436
267|Adadelta|3|8|1.046
268|Adadelta|3|9|0.98
269|Adadelta|3|10|0.8656
270|RMSProp|1|1|2.6999
271|RMSProp|1|2|1.8454
272|RMSProp|1|3|1.7041
273|RMSProp|1|4|1.6077
274|RMSProp|1|5|1.54
275|RMSProp|1|6|1.4848
276|RMSProp|1|7|1.3991
277|RMSProp|1|8|1.3169
278|RMSProp|1|9|1.1985
279|RMSProp|1|10|1.1413
280|RMSProp|2|1|2.5702
281|RMSProp|2|2|1.8629
282|RMSProp|2|3|1.71
283|RMSProp|2|4|1.6349
284|RMSProp|2|5|1.514
285|RMSProp|2|6|1.4431
286|RMSProp|2|7|1.3527
287|RMSProp|2|8|1.2404
288|RMSProp|2|9|1.1731
289|RMSProp|2|10|1.0796
290|RMSProp|3|1|2.5481
291|RMSProp|3|2|1.8366
292|RMSProp|3|3|1.7268
293|RMSProp|3|4|1.6428
294|RMSProp|3|5|1.5583
295|RMSProp|3|6|1.499
296|RMSProp|3|7|1.4237
297|RMSProp|3|8|1.3643
298|RMSProp|3|9|1.3026
299|RMSProp|3|10|1.2018
300|RMSPropMomentum|1|1|2.7045
301|RMSPropMomentum|1|2|1.8723
302|RMSPropMomentum|1|3|1.7261
303|RMSPropMomentum|1|4|1.6166
304|RMSPropMomentum|1|5|1.5493
305|RMSPropMomentum|1|6|1.4688
306|RMSPropMomentum|1|7|1.4096
307|RMSPropMomentum|1|8|1.3123
308|RMSPropMomentum|1|9|1.2093
309|RMSPropMomentum|1|10|1.1509
310|RMSPropMomentum|2|1|2.5744
311|RMSPropMomentum|2|2|1.8453
312|RMSPropMomentum|2|3|1.7201
313|RMSPropMomentum|2|4|1.6568
314|RMSPropMomentum|2|5|1.5805
315|RMSPropMomentum|2|6|1.5148
316|RMSPropMomentum|2|7|1.4281
317|RMSPropMomentum|2|8|1.3196
318|RMSPropMomentum|2|9|1.2402
319|RMSPropMomentum|2|10|1.1448
320|RMSPropMomentum|3|1|2.5519
321|RMSPropMomentum|3|2|1.8414
322|RMSPropMomentum|3|3|1.7344
323|RMSPropMomentum|3|4|1.6442
324|RMSPropMomentum|3|5|1.5537
325|RMSPropMomentum|3|6|1.4856
326|RMSPropMomentum|3|7|1.385
327|RMSPropMomentum|3|8|1.3096
328|RMSPropMomentum|3|9|1.221
329|RMSPropMomentum|3|10|1.1194
330|AdamW|1|1|1.76
331|AdamW|1|2|1.5096
332|AdamW|1|3|1.3975
333|AdamW|1|4|1.2471
334|AdamW|1|5|1.1372
335|AdamW|1|6|1.0427
336|AdamW|1|7|0.9498
337|AdamW|1|8|0.8667
338|AdamW|1|9|0.7975
339|AdamW|1|10|0.7592
340|AdamW|2|1|1.7796
341|AdamW|2|2|1.5154
342|AdamW|2|3|1.372
343|AdamW|2|4|1.2731
344|AdamW|2|5|1.1652
345|AdamW|2|6|1.0396
346|AdamW|2|7|0.9353
347|AdamW|2|8|0.8576
348|AdamW|2|9|0.7509
349|AdamW|2|10|0.6595
350|AdamW|3|1|1.796
351|AdamW|3|2|1.4958
352|AdamW|3|3|1.3544
353|AdamW|3|4|1.2081
354|AdamW|3|5|1.1005
355|AdamW|3|6|0.9994
356|AdamW|3|7|0.8811
357|AdamW|3|8|0.8345
358|AdamW|3|9|0.7476
359|AdamW|3|10|0.6861
360|NAdam|1|1|1.9209
361|NAdam|1|2|1.6694
362|NAdam|1|3|1.5428
363|NAdam|1|4|1.4241
364|NAdam|1|5|1.3105
365|NAdam|1|6|1.2161
366|NAdam|1|7|1.1964
367|NAdam|1|8|1.0611
368|NAdam|1|9|0.9908
369|NAdam|1|10|0.9177
370|NAdam|2|1|1.9159
371|NAdam|2|2|1.6393
372|NAdam|2|3|1.505
373|NAdam|2|4|1.4087
374|NAdam|2|5|1.3022
375|NAdam|2|6|1.1978
376|NAdam|2|7|1.0966
377|NAdam|2|8|1.0001
378|NAdam|2|9|0.913
379|NAdam|2|10|0.8395
380|NAdam|3|1|1.9863
381|NAdam|3|2|1.6512
382|NAdam|3|3|1.5127
383|NAdam|3|4|1.4394
384|NAdam|3|5|1.2753
385|NAdam|3|6|1.1892
386|NAdam|3|7|1.0928
387|NAdam|3|8|0.9952
388|NAdam|3|9|0.9515
389|NAdam|3|10|0.8633
390|NAdamW|1|1|1.907
391|NAdamW|1|2|1.6574
392|NAdamW|1|3|1.5343
393|NAdamW|1|4|1.4163
394|NAdamW|1|5|1.302
395|NAdamW|1|6|1.2047
396|NAdamW|1|7|1.1755
397|NAdamW|1|8|1.0617
398|NAdamW|1|9|0.9647
399|NAdamW|1|10|0.912
400|NAdamW|2|1|1.8953
401|NAdamW|2|2|1.6284
402|NAdamW|2|3|1.4698
403|NAdamW|2|4|1.3791
404|NAdamW|2|5|1.2675
405|NAdamW|2|6|1.1633
406|NAdamW|2|7|1.0691
407|NAdamW|2|8|0.9833
408|NAdamW|2|9|0.8942
409|NAdamW|2|10|0.8223
410|NAdamW|3|1|1.9837
411|NAdamW|3|2|1.6657
412|NAdamW|3|3|1.5129
413|NAdamW|3|4|1.4159
414|NAdamW|3|5|1.2644
415|NAdamW|3|6|1.2105
416|NAdamW|3|7|1.0835
417|NAdamW|3|8|0.983
418|NAdamW|3|9|0.9484
419|NAdamW|3|10|0.8758
420|AMSGrad|1|1|1.7566
421|AMSGrad|1|2|1.5276
422|AMSGrad|1|3|1.3948
423|AMSGrad|1|4|1.2475
424|AMSGrad|1|5|1.131
425|AMSGrad|1|6|1.0258
426|AMSGrad|1|7|0.9433
427|AMSGrad|1|8|0.881
428|AMSGrad|1|9|0.7853
429|AMSGrad|1|10|0.7593
430|AMSGrad|2|1|1.7851
431|AMSGrad|2|2|1.4931
432|AMSGrad|2|3|1.3462
433|AMSGrad|2|4|1.2288
434|AMSGrad|2|5|1.1379
435|AMSGrad|2|6|1.0248
436|AMSGrad|2|7|0.936
437|AMSGrad|2|8|0.8478
438|AMSGrad|2|9|0.7349
439|AMSGrad|2|10|0.6742
440|AMSGrad|3|1|1.7902
441|AMSGrad|3|2|1.4947
442|AMSGrad|3|3|1.3852
443|AMSGrad|3|4|1.2279
444|AMSGrad|3|5|1.1102
445|AMSGrad|3|6|1.027
446|AMSGrad|3|7|0.9229
447|AMSGrad|3|8|0.8637
448|AMSGrad|3|9|0.7749
449|AMSGrad|3|10|0.7253
450|Shampoo|1|1|2.29
451|Shampoo|1|2|2.2107
452|Shampoo|1|3|2.1593
453|Shampoo|1|4|2.1184
454|Shampoo|1|5|2.0824
455|Shampoo|1|6|2.0512
456|Shampoo|1|7|2.0169
457|Shampoo|1|8|1.9948
458|Shampoo|1|9|1.9645
459|Shampoo|1|10|1.9358
460|Shampoo|2|1|2.2485
461|Shampoo|2|2|2.1995
462|Shampoo|2|3|2.1664
463|Shampoo|2|4|2.1335
464|Shampoo|2|5|2.099
465|Shampoo|2|6|2.0784
466|Shampoo|2|7|2.0513
467|Shampoo|2|8|2.0209
468|Shampoo|2|9|1.9992
469|Shampoo|2|10|1.9684
470|Shampoo|3|1|2.632
471|Shampoo|3|2|2.5036
472|Shampoo|3|3|2.3666
473|Shampoo|3|4|2.2743
474|Shampoo|3|5|2.2022
475|Shampoo|3|6|2.141
476|Shampoo|3|7|2.0939
477|Shampoo|3|8|2.0532
478|Shampoo|3|9|2.0231
479|Shampoo|3|10|1.9888
