|Optimizer Name|Running loop number|Epoch number|Average Training Loss
0|SimpleSGD|1|1|2.2705
1|SimpleSGD|1|2|2.2005
2|SimpleSGD|1|3|2.1206
3|SimpleSGD|1|4|2.0316
4|SimpleSGD|1|5|1.9559
5|SimpleSGD|1|6|1.8913
6|SimpleSGD|1|7|1.8448
7|SimpleSGD|1|8|1.8125
8|SimpleSGD|1|9|1.7778
9|SimpleSGD|1|10|1.7483
10|SimpleSGD|2|1|2.2841
11|SimpleSGD|2|2|2.2402
12|SimpleSGD|2|3|2.1883
13|SimpleSGD|2|4|2.1303
14|SimpleSGD|2|5|2.0669
15|SimpleSGD|2|6|2.0007
16|SimpleSGD|2|7|1.9478
17|SimpleSGD|2|8|1.8961
18|SimpleSGD|2|9|1.8571
19|SimpleSGD|2|10|1.8132
20|SimpleSGD|3|1|2.2837
21|SimpleSGD|3|2|2.2314
22|SimpleSGD|3|3|2.1728
23|SimpleSGD|3|4|2.1036
24|SimpleSGD|3|5|2.0362
25|SimpleSGD|3|6|1.979
26|SimpleSGD|3|7|1.9252
27|SimpleSGD|3|8|1.8801
28|SimpleSGD|3|9|1.8418
29|SimpleSGD|3|10|1.812
30|SimpleSGDCurvature|1|1|2.0128
31|SimpleSGDCurvature|1|2|1.7581
32|SimpleSGDCurvature|1|3|1.4541
33|SimpleSGDCurvature|1|4|1.1858
34|SimpleSGDCurvature|1|5|1.0187
35|SimpleSGDCurvature|1|6|0.7272
36|SimpleSGDCurvature|1|7|0.4277
37|SimpleSGDCurvature|1|8|0.1513
38|SimpleSGDCurvature|1|9|0.0448
39|SimpleSGDCurvature|1|10|0.0156
40|SimpleSGDCurvature|2|1|1.9892
41|SimpleSGDCurvature|2|2|1.6159
42|SimpleSGDCurvature|2|3|1.3839
43|SimpleSGDCurvature|2|4|1.2762
44|SimpleSGDCurvature|2|5|0.8873
45|SimpleSGDCurvature|2|6|0.6053
46|SimpleSGDCurvature|2|7|0.2707
47|SimpleSGDCurvature|2|8|0.1322
48|SimpleSGDCurvature|2|9|0.0331
49|SimpleSGDCurvature|2|10|0.016
50|SimpleSGDCurvature|3|1|1.9596
51|SimpleSGDCurvature|3|2|1.677
52|SimpleSGDCurvature|3|3|1.4586
53|SimpleSGDCurvature|3|4|1.2001
54|SimpleSGDCurvature|3|5|0.9355
55|SimpleSGDCurvature|3|6|0.7174
56|SimpleSGDCurvature|3|7|0.3257
57|SimpleSGDCurvature|3|8|0.2189
58|SimpleSGDCurvature|3|9|0.0379
59|SimpleSGDCurvature|3|10|0.0734
60|Adam|1|1|2.0524
61|Adam|1|2|1.4507
62|Adam|1|3|1.1515
63|Adam|1|4|0.8147
64|Adam|1|5|0.4651
65|Adam|1|6|0.2052
66|Adam|1|7|0.1227
67|Adam|1|8|0.0317
68|Adam|1|9|0.0068
69|Adam|1|10|0.0024
70|Adam|2|1|2.0879
71|Adam|2|2|1.4825
72|Adam|2|3|1.1666
73|Adam|2|4|0.8993
74|Adam|2|5|0.6092
75|Adam|2|6|0.339
76|Adam|2|7|0.1423
77|Adam|2|8|0.0958
78|Adam|2|9|0.0208
79|Adam|2|10|0.0063
80|Adam|3|1|2.1485
81|Adam|3|2|1.5939
82|Adam|3|3|1.2713
83|Adam|3|4|1.005
84|Adam|3|5|0.7355
85|Adam|3|6|0.441
86|Adam|3|7|0.1972
87|Adam|3|8|0.0825
88|Adam|3|9|0.0325
89|Adam|3|10|0.0123
90|AdamCurvature|1|1|2.0563
91|AdamCurvature|1|2|1.4603
92|AdamCurvature|1|3|1.1543
93|AdamCurvature|1|4|0.8083
94|AdamCurvature|1|5|0.4686
95|AdamCurvature|1|6|0.2164
96|AdamCurvature|1|7|0.1141
97|AdamCurvature|1|8|0.039
98|AdamCurvature|1|9|0.0168
99|AdamCurvature|1|10|0.0307
100|AdamCurvature|2|1|2.0859
101|AdamCurvature|2|2|1.477
102|AdamCurvature|2|3|1.1457
103|AdamCurvature|2|4|0.873
104|AdamCurvature|2|5|0.5732
105|AdamCurvature|2|6|0.3089
106|AdamCurvature|2|7|0.1228
107|AdamCurvature|2|8|0.0714
108|AdamCurvature|2|9|0.0171
109|AdamCurvature|2|10|0.0099
110|AdamCurvature|3|1|2.1507
111|AdamCurvature|3|2|1.6032
112|AdamCurvature|3|3|1.2831
113|AdamCurvature|3|4|1.0232
114|AdamCurvature|3|5|0.7429
115|AdamCurvature|3|6|0.4486
116|AdamCurvature|3|7|0.1995
117|AdamCurvature|3|8|0.074
118|AdamCurvature|3|9|0.0284
119|AdamCurvature|3|10|0.0074
120|HeavyBall|1|1|2.0983
121|HeavyBall|1|2|1.7727
122|HeavyBall|1|3|1.6258
123|HeavyBall|1|4|1.5036
124|HeavyBall|1|5|1.3881
125|HeavyBall|1|6|1.2979
126|HeavyBall|1|7|1.2439
127|HeavyBall|1|8|1.1575
128|HeavyBall|1|9|1.0856
129|HeavyBall|1|10|0.977
130|HeavyBall|2|1|2.1481
131|HeavyBall|2|2|1.8086
132|HeavyBall|2|3|1.6212
133|HeavyBall|2|4|1.4772
134|HeavyBall|2|5|1.3745
135|HeavyBall|2|6|1.2786
136|HeavyBall|2|7|1.1817
137|HeavyBall|2|8|1.1105
138|HeavyBall|2|9|1.0718
139|HeavyBall|2|10|0.9516
140|HeavyBall|3|1|2.1334
141|HeavyBall|3|2|1.8115
142|HeavyBall|3|3|1.6551
143|HeavyBall|3|4|1.5276
144|HeavyBall|3|5|1.426
145|HeavyBall|3|6|1.3215
146|HeavyBall|3|7|1.236
147|HeavyBall|3|8|1.1722
148|HeavyBall|3|9|1.0883
149|HeavyBall|3|10|1.0126
150|HeavyBallCurvature|1|1|2.1351
151|HeavyBallCurvature|1|2|1.8033
152|HeavyBallCurvature|1|3|1.58
153|HeavyBallCurvature|1|4|1.2574
154|HeavyBallCurvature|1|5|0.9106
155|HeavyBallCurvature|1|6|0.5297
156|HeavyBallCurvature|1|7|0.3517
157|HeavyBallCurvature|1|8|0.2413
158|HeavyBallCurvature|1|9|0.0888
159|HeavyBallCurvature|1|10|0.0487
160|HeavyBallCurvature|2|1|2.1872
161|HeavyBallCurvature|2|2|2.1517
162|HeavyBallCurvature|2|3|1.7672
163|HeavyBallCurvature|2|4|1.5082
164|HeavyBallCurvature|2|5|1.1838
165|HeavyBallCurvature|2|6|0.8369
166|HeavyBallCurvature|2|7|0.4786
167|HeavyBallCurvature|2|8|0.2915
168|HeavyBallCurvature|2|9|0.1512
169|HeavyBallCurvature|2|10|0.0955
170|HeavyBallCurvature|3|1|2.1451
171|HeavyBallCurvature|3|2|2.1024
172|HeavyBallCurvature|3|3|1.9826
173|HeavyBallCurvature|3|4|1.736
174|HeavyBallCurvature|3|5|1.4775
175|HeavyBallCurvature|3|6|1.1241
176|HeavyBallCurvature|3|7|0.8866
177|HeavyBallCurvature|3|8|0.4889
178|HeavyBallCurvature|3|9|0.2277
179|HeavyBallCurvature|3|10|0.1935
180|NAG|1|1|2.0983
181|NAG|1|2|1.7731
182|NAG|1|3|1.6269
183|NAG|1|4|1.5035
184|NAG|1|5|1.3885
185|NAG|1|6|1.2986
186|NAG|1|7|1.2442
187|NAG|1|8|1.1592
188|NAG|1|9|1.0875
189|NAG|1|10|0.9795
190|NAG|2|1|2.1481
191|NAG|2|2|1.8085
192|NAG|2|3|1.6206
193|NAG|2|4|1.4766
194|NAG|2|5|1.3733
195|NAG|2|6|1.2784
196|NAG|2|7|1.1812
197|NAG|2|8|1.1092
198|NAG|2|9|1.0712
199|NAG|2|10|0.9512
200|NAG|3|1|2.1334
201|NAG|3|2|1.8115
202|NAG|3|3|1.6549
203|NAG|3|4|1.5278
204|NAG|3|5|1.4264
205|NAG|3|6|1.3223
206|NAG|3|7|1.2375
207|NAG|3|8|1.1748
208|NAG|3|9|1.0922
209|NAG|3|10|1.0146
210|NAGCurvature|1|1|2.1321
211|NAGCurvature|1|2|2.1545
212|NAGCurvature|1|3|1.9805
213|NAGCurvature|1|4|1.6724
214|NAGCurvature|1|5|1.4265
215|NAGCurvature|1|6|1.23
216|NAGCurvature|1|7|0.9194
217|NAGCurvature|1|8|0.5113
218|NAGCurvature|1|9|0.2073
219|NAGCurvature|1|10|0.147
220|NAGCurvature|2|1|2.0306
221|NAGCurvature|2|2|1.556
222|NAGCurvature|2|3|1.2722
223|NAGCurvature|2|4|1.3587
224|NAGCurvature|2|5|0.8247
225|NAGCurvature|2|6|0.3969
226|NAGCurvature|2|7|0.1774
227|NAGCurvature|2|8|0.0935
228|NAGCurvature|2|9|0.0533
229|NAGCurvature|2|10|0.0719
230|NAGCurvature|3|1|2.1645
231|NAGCurvature|3|2|2.1981
232|NAGCurvature|3|3|2.0982
233|NAGCurvature|3|4|1.7087
234|NAGCurvature|3|5|1.8232
235|NAGCurvature|3|6|1.866
236|NAGCurvature|3|7|1.4183
237|NAGCurvature|3|8|1.2621
238|Adagrad|1|1|1.9769
239|Adagrad|1|2|1.4794
240|Adagrad|1|3|1.3286
241|Adagrad|1|4|1.2249
242|Adagrad|1|5|1.1591
243|Adagrad|1|6|1.1024
244|Adagrad|1|7|1.0464
245|Adagrad|1|8|1.0128
246|Adagrad|1|9|0.9702
247|Adagrad|1|10|0.9353
248|Adagrad|2|1|1.9609
249|Adagrad|2|2|1.4747
250|Adagrad|2|3|1.3307
251|Adagrad|2|4|1.2333
252|Adagrad|2|5|1.1665
253|Adagrad|2|6|1.1085
254|Adagrad|2|7|1.0625
255|Adagrad|2|8|1.0182
256|Adagrad|2|9|0.9865
257|Adagrad|2|10|0.9403
258|Adagrad|3|1|1.9321
259|Adagrad|3|2|1.4715
260|Adagrad|3|3|1.3306
261|Adagrad|3|4|1.229
262|Adagrad|3|5|1.1661
263|Adagrad|3|6|1.0979
264|Adagrad|3|7|1.0452
265|Adagrad|3|8|1.0011
266|Adagrad|3|9|0.965
267|Adagrad|3|10|0.9224
268|AdagradCurvature|1|1|1.9521
269|AdagradCurvature|1|2|1.3805
270|AdagradCurvature|1|3|1.1928
271|AdagradCurvature|1|4|1.0659
272|AdagradCurvature|1|5|0.9764
273|AdagradCurvature|1|6|0.9022
274|AdagradCurvature|1|7|0.8256
275|AdagradCurvature|1|8|0.7776
276|AdagradCurvature|1|9|0.7197
277|AdagradCurvature|1|10|0.6755
278|AdagradCurvature|2|1|1.9309
279|AdagradCurvature|2|2|1.3872
280|AdagradCurvature|2|3|1.2101
281|AdagradCurvature|2|4|1.093
282|AdagradCurvature|2|5|1.0006
283|AdagradCurvature|2|6|0.9258
284|AdagradCurvature|2|7|0.8646
285|AdagradCurvature|2|8|0.8023
286|AdagradCurvature|2|9|0.7582
287|AdagradCurvature|2|10|0.7033
288|AdagradCurvature|3|1|1.907
289|AdagradCurvature|3|2|1.3819
290|AdagradCurvature|3|3|1.2062
291|AdagradCurvature|3|4|1.0831
292|AdagradCurvature|3|5|1.0034
293|AdagradCurvature|3|6|0.9202
294|AdagradCurvature|3|7|0.8527
295|AdagradCurvature|3|8|0.7972
296|AdagradCurvature|3|9|0.7494
297|AdagradCurvature|3|10|0.6956
298|Adadelta|1|1|2.2741
299|Adadelta|1|2|2.2138
300|Adadelta|1|3|2.1517
301|Adadelta|1|4|2.0837
302|Adadelta|1|5|2.0229
303|Adadelta|1|6|1.9663
304|Adadelta|1|7|1.9187
305|Adadelta|1|8|1.8825
306|Adadelta|1|9|1.8491
307|Adadelta|1|10|1.8202
308|Adadelta|2|1|2.2851
309|Adadelta|2|2|2.2442
310|Adadelta|2|3|2.1985
311|Adadelta|2|4|2.1507
312|Adadelta|2|5|2.1004
313|Adadelta|2|6|2.0479
314|Adadelta|2|7|2.0041
315|Adadelta|2|8|1.96
316|Adadelta|2|9|1.9265
317|Adadelta|2|10|1.8879
318|Adadelta|3|1|2.285
319|Adadelta|3|2|2.2368
320|Adadelta|3|3|2.1871
321|Adadelta|3|4|2.1314
322|Adadelta|3|5|2.0778
323|Adadelta|3|6|2.0304
324|Adadelta|3|7|1.9835
325|Adadelta|3|8|1.9437
326|Adadelta|3|9|1.9091
327|Adadelta|3|10|1.8843
328|AdadeltaCurvature|1|1|2.2526
329|AdadeltaCurvature|1|2|2.1507
330|AdadeltaCurvature|1|3|2.0594
331|AdadeltaCurvature|1|4|1.9785
332|AdadeltaCurvature|1|5|1.9171
333|AdadeltaCurvature|1|6|1.8613
334|AdadeltaCurvature|1|7|1.8151
335|AdadeltaCurvature|1|8|1.7788
336|AdadeltaCurvature|1|9|1.7436
337|AdadeltaCurvature|1|10|1.712
338|AdadeltaCurvature|2|1|2.2555
339|AdadeltaCurvature|2|2|2.1565
340|AdadeltaCurvature|2|3|2.0664
341|AdadeltaCurvature|2|4|1.994
342|AdadeltaCurvature|2|5|1.9314
343|AdadeltaCurvature|2|6|1.875
344|AdadeltaCurvature|2|7|1.8366
345|AdadeltaCurvature|2|8|1.7965
346|AdadeltaCurvature|2|9|1.7657
347|AdadeltaCurvature|2|10|1.73
348|AdadeltaCurvature|3|1|2.2563
349|AdadeltaCurvature|3|2|2.1496
350|AdadeltaCurvature|3|3|2.062
351|AdadeltaCurvature|3|4|1.9868
352|AdadeltaCurvature|3|5|1.9283
353|AdadeltaCurvature|3|6|1.8825
354|AdadeltaCurvature|3|7|1.8376
355|AdadeltaCurvature|3|8|1.8
356|AdadeltaCurvature|3|9|1.7673
357|AdadeltaCurvature|3|10|1.7417
358|RMSProp|1|1|4.635
359|RMSProp|1|2|1.2978
360|RMSProp|1|3|0.8693
361|RMSProp|1|4|0.5167
362|RMSProp|1|5|0.2817
363|RMSProp|1|6|0.112
364|RMSProp|1|7|0.0961
365|RMSProp|1|8|0.2582
366|RMSProp|1|9|0.0153
367|RMSProp|1|10|0.0037
368|RMSProp|2|1|5.8129
369|RMSProp|2|2|1.3234
370|RMSProp|2|3|0.9503
371|RMSProp|2|4|0.6027
372|RMSProp|2|5|0.3422
373|RMSProp|2|6|0.1475
374|RMSProp|2|7|0.2093
375|RMSProp|2|8|0.2561
376|RMSProp|2|9|0.0397
377|RMSProp|2|10|0.0047
378|RMSProp|3|1|4.9868
379|RMSProp|3|2|1.3558
380|RMSProp|3|3|1.0556
381|RMSProp|3|4|0.7273
382|RMSProp|3|5|0.4343
383|RMSProp|3|6|0.1871
384|RMSProp|3|7|0.4433
385|RMSProp|3|8|0.0437
386|RMSProp|3|9|0.0133
387|RMSProp|3|10|0.4539
388|RMSPropCurvature|1|1|4.7239
389|RMSPropCurvature|1|2|1.2879
390|RMSPropCurvature|1|3|0.8927
391|RMSPropCurvature|1|4|0.5327
392|RMSPropCurvature|1|5|0.2792
393|RMSPropCurvature|1|6|0.149
394|RMSPropCurvature|1|7|0.0515
395|RMSPropCurvature|1|8|0.3933
396|RMSPropCurvature|1|9|0.0763
397|RMSPropCurvature|1|10|0.0951
398|RMSPropCurvature|2|1|6.0553
399|RMSPropCurvature|2|2|1.3516
400|RMSPropCurvature|2|3|0.9468
401|RMSPropCurvature|2|4|0.5675
402|RMSPropCurvature|2|5|0.3061
403|RMSPropCurvature|2|6|0.2188
404|RMSPropCurvature|2|7|0.0771
405|RMSPropCurvature|2|8|0.0231
406|RMSPropCurvature|2|9|0.269
407|RMSPropCurvature|2|10|0.0754
408|RMSPropCurvature|3|1|5.177
409|RMSPropCurvature|3|2|1.3726
410|RMSPropCurvature|3|3|1.0491
411|RMSPropCurvature|3|4|0.7348
412|RMSPropCurvature|3|5|0.4453
413|RMSPropCurvature|3|6|0.2152
414|RMSPropCurvature|3|7|0.1714
415|RMSPropCurvature|3|8|0.1103
416|RMSPropCurvature|3|9|0.0593
417|RMSPropCurvature|3|10|0.0323
418|RMSPropMomentum|1|1|4.9289
419|RMSPropMomentum|1|2|1.4431
420|RMSPropMomentum|1|3|1.0251
421|RMSPropMomentum|1|4|0.6969
422|RMSPropMomentum|1|5|0.3474
423|RMSPropMomentum|1|6|0.1468
424|RMSPropMomentum|1|7|0.0616
425|RMSPropMomentum|1|8|0.1529
426|RMSPropMomentum|1|9|0.3131
427|RMSPropMomentum|1|10|0.0314
428|RMSPropMomentum|2|1|6.211
429|RMSPropMomentum|2|2|1.4653
430|RMSPropMomentum|2|3|1.0699
431|RMSPropMomentum|2|4|0.7145
