Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,2060.26171875,3460.41015625,72.0966796875,160.443359375,74.0,528.0
SimpleSGD,2,3462.54296875,3475.9453125,88.3466796875,160.443359375,254.0,508.0
SimpleSGD,3,3476.1796875,3476.1796875,88.3466796875,160.443359375,254.0,508.0
SimpleSGDCurvature,1,3477.58984375,3477.58984375,88.3466796875,160.443359375,182.0,652.0
SimpleSGDCurvature,2,3478.6875,3485.38671875,88.3466796875,160.443359375,254.0,652.0
SimpleSGDCurvature,3,3485.48828125,3492.1875,88.3466796875,160.443359375,254.0,652.0
Adam,1,3492.609375,3492.609375,88.3466796875,304.63671875,182.0,652.0
Adam,2,3493.2421875,3506.64453125,88.3466796875,304.63671875,398.0,652.0
Adam,3,3506.7578125,3506.7578125,88.3466796875,304.63671875,398.0,652.0
AdamCurvature,1,3506.8125,3506.8125,88.3466796875,304.63671875,326.0,868.0
AdamCurvature,2,3506.875,3506.875,88.3466796875,304.63671875,398.0,868.0
AdamCurvature,3,3506.87890625,3506.87890625,88.3466796875,304.63671875,398.0,868.0
HeavyBall,1,3506.93359375,3506.93359375,88.3466796875,232.5400390625,326.0,508.0
HeavyBall,2,3506.9453125,3506.9453125,88.3466796875,232.5400390625,326.0,508.0
HeavyBall,3,3506.94921875,3506.94921875,88.3466796875,232.5400390625,326.0,508.0
HeavyBallCurvature,1,3506.96484375,3506.96484375,88.3466796875,232.5400390625,254.0,868.0
HeavyBallCurvature,2,3506.98046875,3506.98046875,88.3466796875,232.5400390625,326.0,796.0
HeavyBallCurvature,3,3507.03515625,3507.03515625,88.3466796875,232.5400390625,326.0,796.0
NAG,1,3507.03515625,3507.03515625,88.3466796875,232.5400390625,254.0,580.0
NAG,2,3507.03515625,3507.03515625,88.3466796875,232.5400390625,326.0,508.0
NAG,3,3507.04296875,3507.04296875,88.3466796875,232.5400390625,326.0,508.0
NAGCurvature,1,3507.05859375,3507.05859375,88.3466796875,232.5400390625,254.0,796.0
NAGCurvature,2,3507.05859375,3507.05859375,88.3466796875,232.5400390625,326.0,724.0
NAGCurvature,3,3507.05859375,3507.05859375,88.3466796875,232.5400390625,326.0,724.0
Adagrad,1,3507.05859375,3507.05859375,88.3466796875,232.5400390625,254.0,580.0
