,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,2.276235468779938
1,SimpleSGD,1,2,2.212455646901191
2,SimpleSGD,1,3,2.1402341504640217
3,SimpleSGD,1,4,2.06076052973542
4,SimpleSGD,1,5,1.983594147464897
5,SimpleSGD,1,6,1.9197758737998674
6,SimpleSGD,1,7,1.8640057391758207
7,SimpleSGD,1,8,1.8188813698442676
8,SimpleSGD,1,9,1.7831829258158236
9,SimpleSGD,1,10,1.7484801539891883
10,SimpleSGD,2,1,2.2847234931173204
11,SimpleSGD,2,2,2.2439666337604764
12,SimpleSGD,2,3,2.196746506268465
13,SimpleSGD,2,4,2.13859060746205
14,SimpleSGD,2,5,2.0702943077570275
15,SimpleSGD,2,6,1.9966348786897297
16,SimpleSGD,2,7,1.9347591128530381
17,SimpleSGD,2,8,1.8811934748782386
18,SimpleSGD,2,9,1.8413014864619774
19,SimpleSGD,2,10,1.8008763790130615
20,SimpleSGD,3,1,2.275493063504183
21,SimpleSGD,3,2,2.208651065826416
22,SimpleSGD,3,3,2.133552656898016
23,SimpleSGD,3,4,2.0526628916776635
24,SimpleSGD,3,5,1.9787485931493058
25,SimpleSGD,3,6,1.9193390456936028
26,SimpleSGD,3,7,1.868965065931972
27,SimpleSGD,3,8,1.8343255399148675
28,SimpleSGD,3,9,1.7939243241201472
29,SimpleSGD,3,10,1.772789283643795
30,SimpleSGDCurvature,1,1,2.1557367889187002
31,SimpleSGDCurvature,1,2,1.897143620478956
32,SimpleSGDCurvature,1,3,1.8029109315027165
33,SimpleSGDCurvature,1,4,1.7506999516788917
34,SimpleSGDCurvature,1,5,1.715340425696554
35,SimpleSGDCurvature,1,6,1.6849784745445735
36,SimpleSGDCurvature,1,7,1.6642894292179542
37,SimpleSGDCurvature,1,8,1.6379803313484675
38,SimpleSGDCurvature,1,9,1.6194961176642888
39,SimpleSGDCurvature,1,10,1.607752125474471
40,SimpleSGDCurvature,2,1,2.1567005567912814
41,SimpleSGDCurvature,2,2,1.9342524250851403
42,SimpleSGDCurvature,2,3,1.8568874295753768
43,SimpleSGDCurvature,2,4,1.8045447823367542
44,SimpleSGDCurvature,2,5,1.7574749837947796
45,SimpleSGDCurvature,2,6,1.7271738097637515
46,SimpleSGDCurvature,2,7,1.704332692713677
47,SimpleSGDCurvature,2,8,1.6836637650864035
48,SimpleSGDCurvature,2,9,1.66424268106871
49,SimpleSGDCurvature,2,10,1.6480802222143245
50,SimpleSGDCurvature,3,1,2.1213796274571477
51,SimpleSGDCurvature,3,2,1.8892266705066343
52,SimpleSGDCurvature,3,3,1.836299491834037
53,SimpleSGDCurvature,3,4,1.8040782333929328
54,SimpleSGDCurvature,3,5,1.767338229131095
55,SimpleSGDCurvature,3,6,1.743085707290263
56,SimpleSGDCurvature,3,7,1.7268141749538952
57,SimpleSGDCurvature,3,8,1.7118306099614011
58,SimpleSGDCurvature,3,9,1.6931164143960686
59,SimpleSGDCurvature,3,10,1.6771154720571977
60,Adam,1,1,2.198262382157241
61,Adam,1,2,1.5529731089555765
62,Adam,1,3,1.170327283913576
63,Adam,1,4,0.8640593282784088
64,Adam,1,5,0.5399632125715667
65,Adam,1,6,0.25831931989781465
66,Adam,1,7,0.09164334413937375
67,Adam,1,8,0.032447602004520126
68,Adam,1,9,0.010443262484726271
69,Adam,1,10,0.005548716849895029
70,Adam,2,1,2.210363718527782
71,Adam,2,2,1.6195175044144257
72,Adam,2,3,1.3650373861759524
73,Adam,2,4,1.1133155958561958
74,Adam,2,5,0.8533375074591818
75,Adam,2,6,0.5599455995650231
76,Adam,2,7,0.3420884545090832
77,Adam,2,8,0.14931004381255258
78,Adam,2,9,0.09603013161899923
79,Adam,2,10,0.027906947122309123
80,Adam,3,1,2.273619657830347
81,Adam,3,2,1.7447126983087273
82,Adam,3,3,1.5855193198481692
83,Adam,3,4,1.3173582946197897
84,Adam,3,5,1.0019083558758604
85,Adam,3,6,0.6520511032659796
86,Adam,3,7,0.35235237773460676
87,Adam,3,8,0.1568818594553048
88,Adam,3,9,0.054675888883162146
89,Adam,3,10,0.09094673571990261
90,AdamCurvature,1,1,2.0356645282310777
91,AdamCurvature,1,2,1.1160526992399482
92,AdamCurvature,1,3,0.7729334171059765
93,AdamCurvature,1,4,0.4757639162148101
94,AdamCurvature,1,5,0.2409903100231969
95,AdamCurvature,1,6,0.12253366993103601
96,AdamCurvature,1,7,0.0803036389966743
97,AdamCurvature,1,8,0.055223961838202766
98,AdamCurvature,1,9,0.051456120740504395
99,AdamCurvature,1,10,0.05164290352170415
100,AdamCurvature,2,1,1.8110803969298737
101,AdamCurvature,2,2,1.0878909735739986
102,AdamCurvature,2,3,0.7177187962622582
103,AdamCurvature,2,4,0.3781892574286159
104,AdamCurvature,2,5,0.1930290096545521
105,AdamCurvature,2,6,0.12789234618915693
106,AdamCurvature,2,7,0.06935312372596958
107,AdamCurvature,2,8,0.052347914807946434
108,AdamCurvature,2,9,0.05917633002803696
109,AdamCurvature,2,10,0.03524337682572394
110,AdamCurvature,3,1,1.9385955680774738
111,AdamCurvature,3,2,1.1350329820113847
112,AdamCurvature,3,3,0.7069301967379413
113,AdamCurvature,3,4,0.38112813338071483
114,AdamCurvature,3,5,0.2168948599432088
115,AdamCurvature,3,6,0.13594284542848037
116,AdamCurvature,3,7,0.08918424464078455
117,AdamCurvature,3,8,0.07292610029631023
118,AdamCurvature,3,9,0.05289465279017776
119,AdamCurvature,3,10,0.039547377130417505
120,HeavyBall,1,1,2.109519978112812
