Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,2069.6953125,3572.30078125,42.70654296875,103.3642578125,64.0,2164.0
SimpleSGD,2,3575.546875,3575.390625,59.36279296875,103.8330078125,242.0,2172.0
SimpleSGD,3,3575.609375,3575.58203125,59.14404296875,102.9892578125,242.0,2172.0
SimpleSGDCurvature,1,3576.93359375,3577.734375,58.95654296875,102.1455078125,356.0,2218.0
SimpleSGDCurvature,2,3577.984375,3577.609375,60.33154296875,104.6455078125,314.0,2244.0
SimpleSGDCurvature,3,3577.9296875,3577.97265625,59.36279296875,102.8017578125,264.0,2196.0
Adam,1,3578.29296875,3579.17578125,58.95654296875,189.6171875,290.0,2214.0
Adam,2,3579.34765625,3579.0703125,61.08154296875,189.8671875,424.0,2242.0
Adam,3,3579.23046875,3579.2421875,60.01904296875,189.2109375,296.0,2198.0
AdamCurvature,1,3578.9609375,3579.03515625,58.95654296875,190.2421875,480.0,2376.0
AdamCurvature,2,3579.2265625,3579.36328125,59.08154296875,188.5859375,568.0,2394.0
